WKT_GEOM;ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;COORD_X;COORD_Y
POLYGON ((1396369.313 4991697.521,1396397.414 4991684.155,1396397.383 4991683.782,1396398.414 4991683.835,1396399.209 4991683.341,1396400.131 4991682.175,1396400.546 4991680.934,1396400.138 4991679.338,1396399.439 4991678.354,1396398.521 4991677.694,1396397.822 4991677.686,1396397.806 4991677.245,1396427.94 4991680.31,1396393.298 4991697.685,1396374.329 4991707.199,1396374.118 4991708.095,1396369.313 4991697.521));11;garibaldi;1;2526;571;1396391,375;4991692,5
POLYGON ((1392250.621 4995328.422,1392254.575 4995329.057,1392263.835 4995335.35,1392269.794 4995341.334,1392275.183 4995350.072,1392279.227 4995357.001,1392287.162 4995365.651,1392294.483 4995370.561,1392299.853 4995372.964,1392308.393 4995375.154,1392315.10965794 4995375.61230009,1392315.37934083 4995388.61897347,1392315.97797222 4995418.87249595,1392309.2839496 4995419.00524847,1392254.811 4995420.161,1392254.565 4995410.751,1392263.35765266 4995409.85081277,1392259.653 4995388.125,1392257.372 4995377.925,1392256.091 4995376.663,1392258.72 4995376.15,1392253.329 4995341.834,1392252.583 4995341.982,1392251.04200925 4995332.69154058,1392250.621 4995328.422));12;montale;5;15;3546;1392283,25;4995390,5
POLYGON ((1396409.694 4992557.854,1396414.222 4992583.033,1396404.979 4992584.202,1396395.105 4992602.514,1396392.645 4992614.982,1396395.644 4992628.588,1396401.694 4992635.867,1396410.369 4992643.294,1396397.248 4992649.661,1396382.403 4992629.909,1396380.432 4992623.838,1396381.64159377 4992614,1396384.487 4992599.022,1396393.862 4992578.749,1396399.518 4992570.444,1396406.364 4992561.379,1396409.694 4992557.854));13;molassi;7;642;1162;1396397,375;4992586
POLYGON ((1393467.11307294 4989107.41156676,1393393.06 4989080.74,1393405.004 4989071.984,1393462.057 4989093.343,1393467.11307294 4989107.41156676));14;santa rita;2;2100;831;1393435,125;4989089,5
POLYGON ((1398224.287 4996782.077,1398242.332 4996788.879,1398246.228 4996792.627,1398260.488 4996798.177,1398273.999 4996798.104,1398266.275 4996818.149,1398276.35905263 4996834.86502075,1398275.262 4996837.647,1398274.228 4996840.247,1398273.619 4996840.45,1398268.633 4996838.483,1398267.62723344 4996839.87443282,1398217.157 4996819.594,1398216.376 4996817.846,1398217.773 4996805.008,1398220.35893976 4996781.64227238,1398224.287 4996782.077));15;san michele;6;2514;2113;1398243,0625;4996811
POLYGON ((1398522.05505153 4997799.16083764,1398521.782 4997798.328,1398530.203 4997784.816,1398527.268 4997776.931,1398528.103 4997776.223,1398502.535 4997746.063,1398508.488 4997737.556,1398509.366 4997735.752,1398567.695 4997809.509,1398587.546 4997798.081,1398594.133 4997799.467,1398591.84 4997803.74,1398592.882 4997825.098,1398582.00017891 4997831.34867599,1398582.124 4997831.676,1398568.96 4997835.569,1398578.858 4997877.116,1398587.732 4997914.545,1398577.532 4997915.283,1398577.302 4997908.472,1398572.158 4997903.497,1398568.891 4997899.235,1398567.42 4997900.362,1398565.665 4997901.767,1398557.915 4997892.854,1398559.268 4997891.206,1398555.323 4997887.075,1398550.781 4997887.153,1398547.952 4997891.561,1398547.801 4997891.796,1398548.975 4997893.106,1398546.853 4997893.077,1398545.802 4997894.763,1398546.709 4997896.061,1398518.268 4997898.138,1398500.292 4997876.108,1398501.029 4997871.941,1398503.611 4997871.669,1398503.999 4997869.565,1398505.902 4997869.636,1398506.429 4997867.151,1398505.318 4997865.434,1398498.918 4997863.222,1398499.728 4997861.836,1398506.414 4997862.701,1398522.05505153 4997799.16083764));16;falchera;6;2148;7868;1398546,5;4997838
POLYGON ((1396461.303 4991972.686,1396459.492 4991968.7,1396459.217 4991966.761,1396469.943 4991963.253,1396485.609 4991955.693,1396515.534 4992019.012,1396516.643 4992021.306,1396515.508 4992021.812,1396482.917 4992038.085,1396478.626 4992029.381,1396479.961 4992028.689,1396478.374 4992025.628,1396483.301 4992023.795,1396489.349 4992020.381,1396466.718 4991971.956,1396461.303 4991972.686));17;san giovanni;1;141;1962;1396487,875;4991989
POLYGON ((1394170.474 4991407.333,1394231.089 4991375.807,1394240.267 4991393.418,1394173.24 4991428.308,1394172.066 4991425.832,1394170.431 4991420.701,1394169.731 4991415.362,1394169.988 4991409.984,1394170.474 4991407.333));18;avezzana;3;2016;1455;1394202,125;4991402
POLYGON ((1393170.80869096 4990784.57569562,1393155.854 4990786.717,1393145.858 4990755.869,1393159.459 4990751.064,1393170.80869096 4990784.57569562));19;chiribiri;3;3316;497;1393158,375;4990769
POLYGON ((1394184.452 4992881.763,1394188.152 4992884.728,1394193.698 4992890.49,1394208.324 4992885.704,1394212.284 4992882.736,1394213.537 4992879.786,1394216.08 4992878.466,1394220.478 4992877.123,1394218.866 4992897.017,1394217.919 4992900.964,1394216.195 4992903.484,1394214.399 4992904.98,1394197.934 4992913.511,1394195.073 4992914.109,1394192.72 4992913.536,1394190.038 4992911.13,1394180.40267407 4992883.13805244,1394184.452 4992881.763));20;cibrario;4;4906;832;1394201,875;4992895,5
