WKT_GEOM;ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;COORD_X;COORD_Y
POLYGON ((1395572.472 4994193.761,1395589.332 4994185.87,1395611.825 4994175.177,1395623.175 4994171.008,1395624.25 4994177.58,1395625.12 4994186.46,1395695.59 4994184.34,1395686.76365641 4994199.44987451,1395677.07 4994193.78,1395582.8 4994196.73,1395572.472 4994193.761));41;gramegna;5;1004;1387;1395607,8125;4994185
POLYGON ((1396333.279 4991162.19,1396343.05818285 4991156.96372369,1396372.21 4991211.51,1396362.5 4991216.69,1396333.279 4991162.19));42;lagrange;1;5096;683;1396352,75;4991186,75
POLYGON ((1395615.72694858 4995289.7773311,1395612.56689483 4995265.4496043,1395753.95 4995251.222,1395756.77897865 4995274.32001249,1395615.72694858 4995289.7773311));43;sospello;5;;3393;1395684,75;4995270,5
POLYGON ((1396314.50684667 4995539.27521864,1396312.26 4995521.44,1396345.45 4995517.5,1396349.044 4995517.073,1396350.467 4995516.637,1396351.054 4995516.206,1396351.42 4995515.623,1396360.76477588 4995487.50664898,1396366.527 4995489.332,1396368.453 4995489.64,1396383.159 4995494.748,1396383.176 4995497.254,1396370.038 4995537.107,1396357.918 4995573.865,1396366.406 4995583.521,1396325.323 4995592.383,1396343.349 4995539.906,1396341.419 4995536.078,1396314.50684667 4995539.27521864));44;gandino;5;;3246;1396347,75;4995552,25
POLYGON ((1396411.526 4995506.826,1396424.06 4995507.64,1396427.882 4995545.271,1396425.74 4995545.66,1396427.72 4995565.92,1396417.5 4995568.901,1396411.526 4995506.826));45;gandino;5;;710;1396419,75;4995538
POLYGON ((1395173.608 4993313.817,1395175.209 4993302.469,1395222.534 4993280.929,1395227.66 4993290.815,1395225.005 4993291.174,1395173.608 4993313.817));46;umbria;4;;557;1395198,625;4993297,5
POLYGON ((1395290.341 4993191.026,1395232.468 4993219.319,1395222.05628065 4993224.54520985,1395237.687 4993194.742,1395246.716 4993199.887,1395249.561 4993198.981,1395285.504 4993181.714,1395290.341 4993191.026));47;umbria;4;;816;1395249,4375;4993203
POLYGON ((1397648.061 4993271.735,1397655.298 4993258.835,1397722.787 4993300.495,1397715.391 4993313.085,1397648.061 4993271.735));48;tollegno;6;2550;1163;1397685,25;4993286
POLYGON ((1392510.708 4987873.178,1392508.932 4987867.325,1392506.84 4987860.724,1392505.415 4987856.446,1392500.229 4987840.448,1392499.062 4987834.051,1392493.64 4987822.658,1392493.793 4987820.472,1392486.473 4987807.519,1392485.641 4987805.104,1392489.244 4987803.401,1392493.284 4987801.491,1392511.06267153 4987793.08329435,1392507.35 4987785.1,1392521.551 4987778.315,1392509.149 4987755.331,1392507.6 4987752.391,1392506.327 4987749.975,1392492.738 4987724.18,1392486.378 4987712.109,1392523.03793116 4987694.54085586,1392494.20513995 4987639.9315644,1392510.81 4987633.411,1392522.859 4987656.71,1392532.677 4987675.606,1392539.225 4987688.064,1392544.709 4987698.471,1392556.683 4987721.197,1392563.866 4987734.923,1392573.212 4987752.618,1392577.75629907 4987761.24789488,1392580.907 4987767.232,1392582.005 4987769.316,1392586.57 4987777.987,1392592.221 4987788.718,1392593.02 4987790.245,1392605.878 4987814.623,1392608.96 4987820.466,1392614.277 4987830.629,1392609.665 4987832.666,1392604.637 4987831.619,1392600.334 4987833.716,1392528.173 4987866.93,1392524.206 4987868.744,1392510.708 4987873.178));49;livio bianco;2;;13958;1392550;4987782,75
POLYGON ((1396600.752 4991778.55,1396522.141 4991819.344,1396512.843 4991800.963,1396509.93 4991795.89,1396483.864 4991746.215,1396478.641 4991735.872,1396470.278 4991719.806,1396469.476 4991718.266,1396451.3 4991683.351,1396450.856 4991682.462,1396453.434 4991682.746,1396455.117 4991682.665,1396464.497 4991682.911,1396470.26 4991682.502,1396479.717 4991680.838,1396487.394 4991678.59,1396493.119 4991676.478,1396598.011 4991622.254,1396605.39 4991620.289,1396609.88 4991620.229,1396618.48 4991623.147,1396624.059 4991627.531,1396625.528 4991629.756,1396658.999 4991693.387,1396640.385 4991701.629,1396628.587 4991708.241,1396625.265 4991708.482,1396627.758 4991701.588,1396627.271 4991693.395,1396624.046 4991685.68,1396622.301 4991684.114,1396625.11360178 4991682.6150162,1396610.049 4991654.348,1396607.362 4991655.785,1396605.967 4991650.927,1396602.509 4991646.162,1396600.879 4991643.916,1396597.285 4991643.924,1396544.489 4991671.381,1396544.97426645 4991672.22159029,1396536.16 4991677.31,1396536.451 4991677.799,1396536.219 4991677.932,1396536.489 4991678.402,1396536.158 4991678.577,1396538.642 4991683.044,1396538.222 4991683.232,1396542.517 4991690.856,1396542.747 4991690.643,1396545.717 4991695.919,1396544.391 4991696.86,1396554.726 4991714.863,1396556.047 4991714.266,1396558.884 4991719.304,1396558.595 4991719.394,1396562.405 4991726.156,1396562.738 4991725.958,1396565.573 4991731.471,1396565.974 4991731.275,1396566.142 4991731.566,1396566.54 4991731.38,1396566.67 4991731.61,1396574.101 4991727.454,1396574.975 4991729.143,1396579.128 4991726.892,1396584.29 4991735.707,1396588.217 4991733.559,1396601.68216285 4991759.02149069,1396605.931 4991767.056,1396597.37 4991771.63,1396601 4991777.85,1396600.504 4991778.058,1396600.752 4991778.55));50;castello;1;444;15954;1396514,5625;4991720
POLYGON ((1396522.141 4991819.344,1396600.752 4991778.55,1396600.917 4991778.852,1396601.215 4991778.747,1396644.896 4991862.811,1396632.802 4991868.924,1396632.807 4991869.224,1396579.079 4991896.369,1396578.774 4991896.074,1396565.293 4991902.911,1396561.027 4991896.302,1396522.141 4991819.344));51;castello;1;;8474;1396583,5;4991840,75
POLYGON ((1396044.5 4991629.742,1396042.166 4991625.625,1396031.065 4991606.602,1396020.122 4991587.187,1396030.951 4991581.483,1396031.47432024 4991582.4847574,1396045.891 4991611.163,1396054.454 4991627.181,1396054.437 4991630.251,1396044.888 4991629.357,1396044.5 4991629.742));52;san francesco d'assisi;1;1120;567;1396037,25;4991605,75
POLYGON ((1397287.14 4992149.63,1397284.37905164 4992147.91999854,1397289.53483486 4992139.62629142,1397292.29325915 4992135.30649137,1397296.21300512 4992137.73988902,1397307 4992144.732,1397318.663 4992153.908,1397319.878 4992158.295,1397320.133 4992160.56,1397319.447 4992165.959,1397315.68 4992166.98,1397298.36 4992156.451,1397292.982 4992153.181,1397287.14 4992149.63));53;catania;7;;517;1397302,375;4992151
POLYGON ((1397424.264 4990889.785,1397420.786 4990890.891,1397415.024 4990890.087,1397411.039 4990887.065,1397408.058 4990883.765,1397407.648 4990882.752,1397405.706 4990879.877,1397402.62909167 4990876.73344384,1397398.7443731 4990872.68026835,1397396.455 4990871.024,1397384.952 4990858.876,1397336.85 4990808.43,1397317.32503923 4990787.86188546,1397283.35 4990750.401,1397287.006 4990746.932,1397280.84349271 4990739.60828084,1397278.85109961 4990741.32105447,1397269.111 4990729.835,1397270.891 4990728.094,1397264.72 4990720.911,1397260.446 4990724.144,1397231.294 4990689.042,1397215.457 4990669.049,1397208.801 4990660.103,1397184.456 4990625.975,1397172.581 4990609.882,1397168.41 4990603.668,1397162.929 4990599.035,1397129.279 4990550.456,1397133.78751014 4990547.41216158,1397128.409 4990539.444,1397126.034 4990541.064,1397110.537 4990517.302,1397113.048 4990515.621,1397108.202 4990508.07,1397103.301 4990510.879,1397069.945 4990454.316,1397068.061 4990450.389,1397051.567 4990427.84,1397041.136 4990411.708,1397027.601 4990388.573,1397026.419 4990386.473,1397018.313 4990370.348,1397004.946 4990349.886,1397001.215 4990345.141,1396989.734 4990333.33,1396975.90611935 4990324.02244712,1396969.86 4990327.72,1396965.96206312 4990320.93396444,1396974.348 4990319.323,1396979.332 4990319.943,1396989.156 4990326.016,1396979.332 4990319.943,1396989.156 4990326.016,1397005.838 4990342.438,1397011.999 4990350.936,1397022.453 4990367.429,1397035.217 4990391.712,1397040.222 4990400.881,1397052.351 4990419.691,1397067.089 4990439.843,1397076.227 4990449.768,1397077.906 4990449.968,1397083.132 4990447.216,1397111.672 4990496.758,1397117.764 4990493.105,1397123.875 4990502.374,1397133.451 4990512.152,1397141.263 4990524.041,1397144.662 4990534.502,1397151.203 4990544.267,1397191.876 4990601.8,1397211.72 4990628.457,1397242.473 4990667.779,1397253.913 4990682.406,1397250.90216411 4990684.92124929,1397254.627 4990689.38,1397257.602 4990687.071,1397275.847 4990708.636,1397270.165 4990713.25,1397280.847 4990718.408,1397289.201 4990726.385,1397293.672 4990732.732,1397296.422 4990741.683,1397296.368 4990745.181,1397310.349 4990762.217,1397326.445 4990782.845,1397335.075 4990792.144,1397402.412 4990865.475,1397403.707 4990867.937,1397424.264 4990889.785));54;murazzi sud;1;5086;9847;1397195,125;4990623,5
POLYGON ((1395228.2975996 4994742.97330171,1395182.82769286 4994721.41178526,1395211.92294317 4994662.96067253,1395257.8749107 4994684.9937168,1395228.2975996 4994742.97330171));55;mattirolo;5;;3301;1395220,375;4994703
POLYGON ((1395023.91971546 4992732.36463024,1395022.38989882 4992731.58479576,1395022.19469872 4992731.34097155,1395021.97509859 4992729.0979231,1395030.53902175 4992721.90551176,1395033.73510247 4992722.24686566,1395039.42881351 4992717.55227555,1395039.59961361 4992714.33399741,1395042.61927581 4992711.88413498,1395043.0758129 4992711.76591718,1395043.38017096 4992711.85881219,1395044.15792139 4992712.43331041,1395046.42551739 4992716.81428749,1395064.47366158 4992751.56427591,1395064.63354588 4992752.16120864,1395064.56628532 4992752.76653752,1395064.28857464 4992753.29623388,1395063.97731394 4992753.50640632,1395063.75851645 4992753.65773854,1395062.84175015 4992754.16929921,1395058.87096901 4992756.24885781,1395058.46146615 4992756.29507022,1395057.92643164 4992756.13661807,1395057.609392 4992755.77363568,1395056.45344136 4992753.5295797,1395056.76261521 4992746.70189714,1395056.66806516 4992743.39153002,1395055.61998826 4992739.9808121,1395054.27622173 4992738.39629055,1395052.09932316 4992737.13404684,1395049.81487189 4992736.40895527,1395047.42302846 4992736.22094866,1395044.70868749 4992737.29518576,1395046.83180972 4992741.37732705,1395048.68621074 4992741.02818152,1395050.11056153 4992741.35045937,1395051.72304926 4992742.55896771,1395052.2874601 4992744.81484548,1395051.96737045 4992753.37495619,1395051.13423841 4992755.09374898,1395040.80580901 4992759.57917418,1395027.22399097 4992733.81662695,1395023.91971546 4992732.36463024));56;paravia;4;;913;1395043,25;4992735,25
POLYGON ((1394390.16227269 4989464.40969169,1394391.31838385 4989422.48556194,1394416.26466871 4989423.01371341,1394415.73605526 4989456.51616817,1394390.16227269 4989464.40969169));57;pascoli;1;;950;1394403,25;4989441,5
POLYGON ((1394390.58943345 4989248.99569899,1394390.70597562 4989248.72997762,1394390.90149678 4989247.81855867,1394392.33483705 4989247.36281561,1394403.0843272 4989249.83672462,1394405.95084721 4989250.87831748,1394407.57954811 4989251.72464947,1394409.01288838 4989253.54755454,1394409.85982569 4989256.47713943,1394408.67032503 4989301.7249358,1394397.48179516 4989302.19370969,1394395.56157831 4989302.24489262,1394393.28290599 4989301.40057571,1394391.61872876 4989299.94233226,1394390.41542283 4989298.02350957,1394390.06354895 4989296.0887006,1394390.58943345 4989248.99569899));58;pascoli;1;;990;1394400;4989275,5
POLYGON ((1396263.5850356 4990540.53801006,1396301.71647775 4990520.37448629,1396307.27727293 4990530.85315101,1396268.74868845 4990550.93728078,1396263.5850356 4990540.53801006));59;primo levi;1;;508;1396285,5;4990535,5
POLYGON ((1396648.67455657 4991065.8060326,1396585.88031919 4990942.75083923,1396666.40453743 4990899.79895347,1396666.78482448 4990902.38268413,1396727.62609762 4991019.50179897,1396729.28256959 4991021.39355247,1396650.53136549 4991063.01884642,1396649.6322571 4991065.43082542,1396648.67455657 4991065.8060326));60;valdo fusi;1;;12432;1396657,625;4990982
POLYGON ((1396584.912 4991395.029,1396544.644 4991314.989,1396554.583 4991310.092,1396595.002 4991389.426,1396584.912 4991395.029));61;carlo alberto;1;6255;1010;1396569,875;4991352,5
POLYGON ((1396539.87 4991305.58,1396470.54 4991171.41,1396480.11 4991166.21,1396549.22 4991300.82,1396539.87 4991305.58));62;carlo alberto;1;6255;1616;1396509,875;4991235,75
POLYGON ((1396465.66 4991161.68,1396403.33 4991039.32,1396412.76 4991035.51,1396471.677 4991149.408,1396481.88 4991152.93,1396465.66 4991161.68));63;carlo alberto;1;6255;1473;1396442,625;4991104,75
POLYGON ((1396389.85 4991013.275,1396344.833 4990926.763,1396357.339 4990929.239,1396401.646 4991014.369,1396404.031 4991019.148,1396408.3855 4991023.3465,1396390.9 4991033.57,1396382.07 4991017.57,1396389.85 4991013.275));64;carlo alberto;1;6255;1271;1396376,625;4990977,25
POLYGON ((1396250.7903127 4990897.67444018,1396232.26730745 4990860.91688827,1396240.29116035 4990856.73566561,1396253.921 4990883.462,1396307.9 4990855.33,1396312.84 4990864.93,1396250.7903127 4990897.67444018));65;lagrange;1;324;1043;1396279,0625;4990876,5
POLYGON ((1396312.84 4990864.93,1396322.12 4990859.99,1396329.78 4990875.116,1396328.928 4990875.543,1396332.877 4990883.321,1396333.72 4990882.899,1396341.096 4990897.462,1396364.77359914 4990884.78493561,1396370.17157903 4990894.91796545,1396366.446 4990896.9,1396362.828 4990904.408,1396367.521 4990913.959,1396341.1424788 4990920.63371077,1396340.116 4990917.867,1396312.84 4990864.93));66;carlo alberto;1;6255;1194;1396341,5;4990908,75
POLYGON ((1395741.22056868 4994120.4586968,1395740.82709723 4994113.92251573,1395736.52795758 4994109.12075414,1395735.86 4994101.276,1395739.881 4994096.824,1395766.995 4994051.938,1395765.58164397 4994050.79777825,1395767.44030093 4994048.90976141,1395780.18429545 4994055.62578658,1395785.144 4994058.394,1395785.84 4994061.14,1395755.07638536 4994113.61795029,1395741.22056868 4994120.4586968));67;giachino;5;135;1480;1395760,875;4994083
POLYGON ((1395770.49507074 4994044.88064275,1395774.959 4994038.756,1395794.936 4994005.63,1395793.541843 4994004.35572608,1395798.173 4993997.628,1395801.29895853 4993996.38467684,1395804.749 4993997.358,1395808.59977955 4994000.91366681,1395809.90073017 4994002.63983718,1395815.298 4994003.422,1395820.787 4994003.705,1395806.34 4994026.658,1395788.99833 4994055.75800037,1395776.533 4994048.5635,1395770.49507074 4994044.88064275));68;giachino;5;135;1224;1395795,625;4994023
POLYGON ((1390722.259 4987591.339,1390648.391 4987479.476,1390653.325 4987475.457,1390687.511 4987527.654,1390718.50958419 4987507.88334382,1390723.41659623 4987516.60279804,1390693.02668477 4987535.98276769,1390727.50076916 4987588.31087667,1390722.259 4987591.339));69;portone;10;227;1190;1390690,5625;4987533,5
POLYGON ((1390719.356 4987491.782,1390741.32014911 4987477.73166775,1390760.046 4987507.051,1390790.2158898 4987487.81737808,1390792.471 4987490.613,1390740.475 4987523.688,1390719.356 4987491.782));70;portone;10;227;1114;1390740,625;4987500,5
POLYGON ((1396231.58462479 4991024.363369,1396225.93990486 4991013.74869537,1396248.083 4991001.779,1396231.82473058 4990971.26641294,1396241.243 4990966.248,1396302.72617892 4991081.24290947,1396292.976 4991086.035,1396276.253 4991054.649,1396254.00119848 4991066.51685334,1396248.38017386 4991055.94673783,1396264.44329506 4991047.37591328,1396247.338 4991015.72,1396231.58462479 4991024.363369));71;lagrange;1;5096;2260;1396264,375;4991028,25
POLYGON ((1395847.38 4994198.19,1395857.19057186 4994191.20834724,1395868.628 4994224.344,1395885.052 4994271.194,1395890.53430363 4994287.93878512,1395886.91630778 4994290.1251727,1395886.34 4994288.49,1395869.811 4994241.607,1395867.415 4994241.165,1395855.733 4994215.052,1395851.96 4994204.642,1395847.38 4994198.19));72;valfenera;5;1512;662;1395869;4994233,5
POLYGON ((1395888.94823127 4994299.11577755,1395892.38195657 4994296.91617298,1395914.918 4994364.943,1395911.37917975 4994366.67638432,1395903.867 4994344.06,1395888.94823127 4994299.11577755));73;valfenera;5;1512;281;1395901,875;4994331,75
POLYGON ((1394022.288 4992952.25,1394022.03045161 4992951.43479388,1394023.066 4992951.075,1394054.605 4992940.117,1394056.275 4992945.734,1394055.167 4992946.132,1394024.797 4992956.455,1394022.288 4992952.25));74;rocciamelone;4;2914;196;1394040;4992948,5
POLYGON ((1394059.21 4992944.68,1394057.947 4992938.962,1394095.221 4992926.248,1394097.32 4992931.843,1394059.21 4992944.68));75;rocciamelone;4;2914;235;1394077,4375;4992935,5
POLYGON ((1394098.682 4992924.989,1394133.32 4992913.278,1394134.8 4992918.951,1394100.517 4992930.635,1394098.682 4992924.989));76;rocciamelone;4;2914;214;1394116,8125;4992922
POLYGON ((1394138.266 4992917.705,1394136.529 4992912.042,1394178.488 4992898.092,1394180.467 4992903.692,1394138.266 4992917.705));77;rocciamelone;4;2914;263;1394158,375;4992908
POLYGON ((1396487.79775531 4998380.70342831,1396527.25587491 4998375.78230146,1396523.28623538 4998356.25650342,1396568.36753485 4998353.69341795,1396569.63780257 4998359.53527954,1396574.7189581 4998365.75811937,1396577.38654571 4998400.30129493,1396678.9662334 4998397.78295951,1396715.92520897 4998396.54012092,1396716.33171665 4998408.12221774,1396744.78598446 4998407.30944808,1396745.80223249 4998411.77973288,1396716.94141468 4998412.38931874,1396717.14468968 4998426.20657518,1396682.38978562 4998427.01937929,1396681.78266926 4998463.25303169,1396692.14817068 4998460.40828621,1396692.96114371 4998471.38083163,1396675.48207534 4998472.80318715,1396675.22919836 4998406.08541898,1396565.02198301 4998409.61378252,1396563.39599462 4998376.77748181,1396506.16225284 4998384.58018077,1396505.9470429 4998396.65724959,1396503.73806197 4998396.60202687,1396504.29028604 4998392.57162915,1396504.23505517 4998390.19753424,1396502.02607425 4998386.60881498,1396499.54098129 4998384.23475452,1396494.34987189 4998381.86065962,1396492.08566009 4998381.52939217,1396487.88857941 4998381.58461489,1396487.79775531 4998380.70342831));78;villaretto;6;4441;4359;1396696,125;4998413
POLYGON ((1396381.08422149 4990921.05320368,1396437.16283219 4990893.34328059,1396438.80108422 4990893.72115836,1396452.03311435 4990916.77077261,1396450.89891792 4990917.77842371,1396381.4622632 4990922.69062811,1396381.08422149 4990921.05320368));79;carlo alberto;1;;970;1396427,25;4990908
POLYGON ((1396317.79356641 4992134.91344126,1396304.36343594 4992107.46313043,1396309.36244275 4992108.95497081,1396321.67333478 4992119.92021291,1396338.26633341 4992110.34546043,1396363.11197978 4992095.5013989,1396366.17106586 4992101.02129443,1396333.41656813 4992119.74420985,1396322.70655105 4992125.31746782,1396320.56074716 4992131.8056041,1396317.79356641 4992134.91344126));80;basilica;1;;482;1396335,625;4992115
POLYGON ((1398568.04955652 4994220.90452756,1398544.97654267 4994186.45020277,1398564.034 4994187.796,1398581.474 4994214.23,1398568.04955652 4994220.90452756));81;ancina;6;;548;1398563,25;4994200,5
POLYGON ((1394549.32736865 4992903.35816914,1394559.602 4992897.3555,1394583.98968864 4992944.66946503,1394574.03969782 4992951.49028855,1394549.32736865 4992903.35816914));82;durandi;4;;640;1394566,625;4992924
POLYGON ((1397144.09162317 4991517.07576739,1397154.468 4991511.114,1397201.99741238 4991599.01550654,1397194.5425 4991610.05,1397144.09162317 4991517.07576739));83;montebello;1;3638;1223;1397173;4991558
POLYGON ((1391479.90047179 4992669.57966342,1391483.17778747 4992734.98422967,1391471.97622405 4992736.65308678,1391466.80978441 4992670.45365377,1391479.90047179 4992669.57966342));84;buffa di perrero;4;;805;1391475;4992703
POLYGON ((1396943.605 4992694.507,1396927.281 4992683.803,1396937.788 4992681.439,1396968.6036893 4992632.54431914,1396978.431 4992639.447,1396943.605 4992694.507));85;pisa;7;;810;1396952,875;4992668,75
POLYGON ((1396406.279 4989445.493,1396418.419 4989463.267,1396430.467 4989485.914,1396445.376 4989479.427,1396470.661 4989533.978,1396522.705 4989645.026,1396522.561 4989647.507,1396519.886 4989654.561,1396521.677 4989657.382,1396524.372 4989655.99,1396528.052 4989650.326,1396530.619 4989643.39,1396532.737 4989632.511,1396533.336 4989623.963,1396533.215 4989609,1396531.833 4989584.131,1396530.183 4989566.75,1396528.64 4989551.922,1396523.519 4989530.636,1396517.313 4989514.266,1396514.156 4989502.179,1396511.651 4989482.697,1396511.725 4989479.233,1396512.518 4989467.333,1396514.064 4989454.869,1396515.13 4989444.96,1396515.907 4989436.652,1396515.795 4989431.179,1396515.536 4989428.983,1396515.036 4989425.746,1396514.097 4989419.68,1396512.531 4989413.708,1396509.807 4989405.329,1396507.868 4989400.825,1396503.342 4989392.128,1396501.966 4989390.824,1396500.042 4989390.229,1396499.029 4989390.285,1396496.812 4989385.682,1396497.485 4989385.136,1396497.984 4989384.427,1396498.271 4989383.608,1396498.137 4989381.896,1396491.885 4989370.283,1396485.792 4989359.516,1396477.176 4989346.635,1396466.731 4989333.373,1396454.391 4989319.304,1396452.381 4989318.332,1396450.15 4989318.28,1396446.321 4989313.359,1396446.482 4989313.02,1396446.721 4989311.204,1396446.028 4989309.508,1396435.438 4989297.664,1396411.062 4989272.664,1396404.492 4989262.072,1396402.527 4989248.252,1396400.51 4989238.109,1396396.821 4989220.624,1396396.838 4989210.032,1396397.794 4989194.281,1396404.586 4989168.471,1396409.576 4989154.818,1396421.968 4989133.201,1396438.864 4989106.109,1396445.484 4989094.527,1396451.555 4989078.393,1396454.636 4989059.983,1396467.6 4989064.648,1396463.481 4989082.624,1396452.59 4989110.383,1396448.211 4989116.153,1396430.803 4989142.845,1396418.717 4989165.655,1396413.225 4989182.344,1396409.652 4989203.579,1396410.747 4989226.57,1396413.37 4989237.058,1396416.923 4989248.817,1396420.094 4989255.119,1396436.56 4989274.043,1396464.697 4989302.259,1396486.157 4989327.713,1396498.925 4989347.092,1396525.54 4989389.25,1396529.704 4989400.536,1396539.191 4989425.782,1396546.172 4989450.197,1396554.036 4989482.095,1396560.026 4989505.386,1396567.291 4989533.986,1396572.567 4989558.175,1396577.679 4989576.63,1396594.709 4989637.073,1396607.85 4989678.91,1396616.038 4989704.158,1396628.159 4989738.364,1396638.278 4989763.694,1396641.516 4989770.036,1396640.816 4989770.841,1396642.883 4989774.136,1396644.729 4989775.338,1396644.358 4989777.042,1396645.141 4989780.083,1396647.907 4989784.727,1396649.872 4989788.758,1396651.101 4989789.521,1396652.481 4989789.653,1396658.886 4989803.029,1396657.5 4989805.846,1396657.631 4989806.952,1396658.596 4989808.051,1396658.915 4989809.665,1396660.463 4989811.028,1396660.916 4989812.676,1396662.745 4989816.753,1396664.446 4989822.307,1396669.17 4989831.68,1396673.224 4989840.456,1396679.193 4989853.193,1396704.083 4989904.361,1396727.042 4989949.529,1396737.818 4989972.476,1396740.179 4989977.658,1396752.138 4990007.754,1396755.286 4990018.408,1396757.625 4990028.738,1396759.576 4990039.422,1396760.861 4990046.173,1396764.291 4990065.735,1396764.102 4990069.15,1396764.646 4990072.422,1396766.391 4990076.613,1396769.029 4990077.709,1396770.527 4990086.333,1396771.425 4990088.326,1396779.136 4990095.9,1396780.181 4990096.017,1396782.026 4990098.366,1396787.965 4990100.867,1396794.848 4990106.742,1396802.776 4990113.871,1396818.082 4990129.625,1396803.512 4990140.915,1396798.251 4990135.225,1396796.482 4990131.656,1396776.716 4990114.178,1396769.548 4990110.201,1396763.885 4990107.6,1396756.643 4990105.418,1396748.372 4990104.444,1396708.911 4990107.456,1396705.303 4990107.573,1396689.948 4990110.259,1396675.669 4990112.006,1396665.247 4990112.471,1396660.208 4990112.154,1396635.406 4990107.777,1396630.901 4990106.334,1396626.818 4990104.023,1396623.277 4990100.483,1396617.357 4990093.463,1396614.68 4990089.731,1396603.419 4990069.307,1396553.82529156 4989979.35142542,1396574.896 4989967.738,1396638.518 4990083.01,1396640.954 4990086.549,1396645.916 4990090.637,1396648.498 4990091.876,1396649.627 4990093.09,1396650.373 4990093.54,1396652.96 4990094.693,1396655.629 4990095.342,1396663.054 4990096.097,1396670.234 4990096.119,1396674.935 4990095.934,1396682.385 4990095.18,1396694.883 4990092.968,1396704.432 4990090.745,1396710.248 4990088.519,1396711.097 4990087.37,1396711.601 4990086.273,1396711.918 4990083.891,1396711.719 4990082.7,1396710.065 4990079.014,1396712.663 4990077.226,1396715.727 4990080.427,1396718.324 4990082.195,1396721.674 4990082.402,1396723.035 4990081.901,1396724.351 4990081.197,1396727.439 4990078.4,1396730.792 4990074.458,1396733.827 4990070.081,1396736.786 4990065.024,1396741.093 4990056.322,1396743.369 4990047.831,1396743.933 4990044.868,1396744.1 4990040.528,1396743.554 4990034.963,1396741.899 4990025.858,1396738.725 4990014.353,1396735.692 4990005.738,1396732.428 4989997.24,1396727.06 4989984.475,1396715.88338755 4989960.31620975,1396702.81 4989935.25,1396680.374 4989891.308,1396670.899 4989872.801,1396656.844 4989846.453,1396651.637 4989837.611,1396654.08695767 4989833.31172425,1396637.17 4989798.03,1396622.186 4989767.309,1396610.399 4989734.997,1396594.692 4989691.724,1396594.361 4989689.435,1396590.966 4989682.085,1396591.41 4989676.283,1396578.138 4989635.775,1396573.372 4989619.155,1396559.637 4989570.557,1396548.61 4989521.788,1396540.871 4989491.098,1396537.802 4989478.856,1396536.671 4989477.109,1396535.802 4989476.383,1396533.709 4989475.553,1396532.578 4989475.486,1396531.459 4989475.657,1396529.459 4989476.591,1396527.61 4989478.402,1396526.918 4989480.055,1396526.527 4989484.387,1396528.571 4989500.169,1396533.537 4989513.754,1396538.431 4989529.475,1396542.141 4989545.026,1396543.573 4989553.567,1396545.118 4989566.538,1396547.028 4989588.353,1396548.075 4989608.051,1396548.291 4989615.804,1396548.199 4989628.57,1396547.734 4989636.388,1396547.088 4989642.959,1396545.297 4989649.859,1396544.297 4989652.83,1396541.537 4989659.333,1396534.204 4989670.584,1396524.516 4989680.824,1396500.292 4989697.731,1396501.626 4989703.624,1396484.809 4989711.392,1396483.372 4989709.624,1396481.852 4989708.689,1396480.103 4989708.695,1396477.161 4989709.647,1396475.182 4989710.607,1396468.5524384 4989695.51292731,1396476.28330201 4989692.42459474,1396494.264 4989682.822,1396499.408 4989679.496,1396513.966 4989669.425,1396503.044 4989643.668,1396485.377 4989605.631,1396482.211 4989604.385,1396467.875 4989610.977,1396450.314 4989596.011,1396452.761 4989592.269,1396453.935 4989587.489,1396454.182 4989581.708,1396452.916 4989576.353,1396439.313 4989547.043,1396427.632 4989521.387,1396416.183 4989496.782,1396409.272 4989482.329,1396407.185 4989478.592,1396398.633 4989464.516,1396397.371 4989462.696,1396394.6425 4989459.3195,1396391.914 4989455.943,1396406.279 4989445.493));86;valentino;8;3457;36415;1396605;4989695
POLYGON ((1393524.43654858 4990754.29439453,1393523.654 4990743.082,1393545.716 4990740.953,1393546.703 4990751.917,1393524.43654858 4990754.29439453));87;di nanni;3;3551;248;1393535,1875;4990747,5
POLYGON ((1393562.005 4990849.287,1393549.26123063 4990858.29529554,1393540.95872286 4990845.6666632,1393553.923 4990836.548,1393516.064 4990777.491,1393528.76477749 4990757.61449921,1393545.53473946 4990756.37352605,1393546.618 4990780.606,1393549.522 4990780.374,1393550.96 4990795.05,1393602.55 4990876.08,1393609.992 4990876.357,1393594.08014228 4990900.03334382,1393588.11966397 4990890.25106816,1393562.005 4990849.287));88;di nanni;3;3551;3482;1393563;4990832,5
POLYGON ((1393654.166 4990993.139,1393602.111 4990912.128,1393599.288 4990912.925,1393612.986 4990892.006,1393664.97 4990973.014,1393668.676 4990973.316,1393654.166 4990993.139));89;di nanni;3;3551;1988;1393634;4990943
POLYGON ((1393662.461 4991005.457,1393658.992 4991006.452,1393673.613 4990986.87,1393686.257 4991006.772,1393687.40683463 4991008.79483793,1393670.60287085 4991018.34665584,1393669.52624303 4991016.46214637,1393662.461 4991005.457));90;di nanni;3;3551;425;1393673,25;4991002,25
