WKT_GEOM;ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;COORD_X;COORD_Y
POINT (1393249.292 4993301.626);437;competenza della Circoscrizione;Bocciofila Carrara;NO;;CORSO APPIO CLAUDIO 110;TORINO;10143;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=268;EDIFICI DI PERTINENZA;1393249,292;4993301,626
POINT (1393249.292 4993301.626);327;competenza della Circoscrizione;Bocciofila Carrara;NO;;CORSO APPIO CLAUDIO 110;TORINO;10143;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=268;CALCETTO;1393249,292;4993301,626
POINT (1391258.859375 4993126.46979167);249;competenza della Circoscrizione;Palestra E18;NO;;VIA MARIO E PIER LUIGI PASSONI 13;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=76;PALESTRA;1391258,859375;4993126,46979167
POINT (1393213.76 4992790.351);152;competenza della Circoscrizione;Palestra scolastica Zumaglia;NO;;VIA DOMODOSSOLA 54;TORINO;10145;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=75;PALESTRA;1393213,76;4992790,351
POINT (1393213.76 4992790.351);328;competenza della Circoscrizione;Palestra scolastica Zumaglia;NO;;VIA DOMODOSSOLA 54;TORINO;10145;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=75;CALCETTO;1393213,76;4992790,351
POINT (1393052.679 4993282.241);7;competenza della Circoscrizione;Piscina Pellerina;NO;;CORSO APPIO CLAUDIO 116;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=94;PISCINA SCOPERTA;1393052,679;4993282,241
POINT (1393052.679 4993282.241);438;competenza della Circoscrizione;Piscina Pellerina;NO;;CORSO APPIO CLAUDIO 116;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=94;EDIFICI DI PERTINENZA;1393052,679;4993282,241
POINT (1393052.679 4993282.241);439;competenza della Circoscrizione;Piscina Pellerina;NO;;CORSO APPIO CLAUDIO 116;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=94;EDIFICI DI PERTINENZA;1393052,679;4993282,241
POINT (1393052.679 4993282.241);446;competenza della Circoscrizione;Piscina Pellerina;NO;;CORSO APPIO CLAUDIO 116;TORINO;10146;4;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=94;EDIFICI DI PERTINENZA;1393052,679;4993282,241
POINT (1394903.44 4985976.371);700;;Piastra libera per pattinaggio a rotelle;NO;;VIA VENTIMIGLIA 208;TORINO;10127;8;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=233;ROLLER;1394903,44;4985976,371
