Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;2;UNIONE SOVIETICA/(CORSO)                                              ;;16/01/2015;
Convivenza Civile;Altro;3;PALMIERI/PIETRO (VIA)                                                 ;;16/01/2015;
Convivenza Civile;Altro;6;PALESTRINA/PIER LUIGI (VIA)                                           ;;18/01/2015;
Convivenza Civile;Altro;1;POMBA/GIUSEPPE (VIA)                                                  ;;19/01/2015;
Convivenza Civile;Altro;;;;20/01/2015;
Convivenza Civile;Altro;4;CIBRARIO/LUIGI (VIA)                                                  ;;20/01/2015;
Convivenza Civile;Altro;7;VAL S. MARTINO SUPERIORE/(STRADA)                                     ;;20/01/2015;
Convivenza Civile;Altro;1;RE UMBERTO/(CORSO)                                                    ;;20/01/2015;16.55
Convivenza Civile;Altro;2;DINA/GIACOMO (VIA)                                                    ;;22/01/2015;
Convivenza Civile;Altro;3;VALDIERI/(VIA)                                                        ;;22/01/2015;
Convivenza Civile;Altro;7;S. PIETRO IN VINCOLI/(VIA)                                            ;;22/01/2015;
Convivenza Civile;Altro;4;FRANCIA/(CORSO)                                                       ;;23/01/2015;
Convivenza Civile;Altro;6;PALERMO/(CORSO)                                                       ;;26/01/2015;11.00
Convivenza Civile;Altro;9;ARNALDO DA BRESCIA/(VIA)                                              ;;26/01/2015;11.08
Convivenza Civile;Altro;;;Area Verde;29/01/2015;
Convivenza Civile;Altro;4;CLEMENTE/STEFANO (VIA)                                                ;;30/01/2015;
Convivenza Civile;Altro;3;VILLA GIUSTI/(VIA)                                                    ;;31/01/2015;
Convivenza Civile;Altro;5;COSSA/PIETRO (VIA)                                                    ;;31/01/2015;
Convivenza Civile;Altro;7;BELLARDO/(STRADA DEL)                                                 ;;01/02/2015;
Convivenza Civile;Altro;7;MARTINI/LORENZO (VIA)                                                 ;;01/02/2015;
Convivenza Civile;Altro;;;;02/02/2015;
Convivenza Civile;Altro;1;BATTISTI/CESARE (VIA)                                                 ;;02/02/2015;
Convivenza Civile;Altro;2;COSENZA/(CORSO)                                                       ;;02/02/2015;
Convivenza Civile;Altro;3;SERAO/MATILDE (VIA)                                                   ;;02/02/2015;
Convivenza Civile;Altro;6;VALPRATO/(VIA)                                                        ;;02/02/2015;
Convivenza Civile;Altro;3;S. MARIA MAZZARELLO/(VIA)                                             ;;02/02/2015;10.00
Convivenza Civile;Altro;5;SAORGIO/(VIA)                                                         ;;02/02/2015;12.10
Convivenza Civile;Altro;3;ADAMELLO/(VIA)                                                        ;;03/02/2015;
Convivenza Civile;Altro;8;SALUZZO/(VIA)                                                         ;;03/02/2015;
Convivenza Civile;Altro;6;LAZIO/(LUNGO STURA)                                                   ;;04/02/2015;
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;06/02/2015;
Convivenza Civile;Altro;6;BIASONI/(STRADA DEI)                                                  ;;06/02/2015;
Convivenza Civile;Altro;9;LAVAGNA/(VIA)                                                         ;;06/02/2015;
Convivenza Civile;Altro;4;PRINCIPI D'ACAJA/(VIA)                                                ;;09/02/2015;08.44
Convivenza Civile;Altro;1;RE UMBERTO/(CORSO)                                                    ;;10/02/2015;
Convivenza Civile;Altro;6;VIGEVANO/(CORSO)                                                      ;;10/02/2015;
Convivenza Civile;Altro;8;MONCALIERI/(CORSO)                                                    ;;10/02/2015;
Convivenza Civile;Altro;3;MONTE ORTIGARA/(VIA)                                                  ;;12/02/2015;
Convivenza Civile;Altro;6;S. MAURO/(STRADA)                                                     ;;13/02/2015;
Convivenza Civile;Altro;6;CAMPOBASSO/(VIA)                                                      ;;16/02/2015;
Convivenza Civile;Altro;5;VEROLENGO/(VIA)                                                       ;;17/02/2015;
Convivenza Civile;Altro;6;LAZIO/(LUNGO STURA)                                                   ;;17/02/2015;
Convivenza Civile;Altro;1;VOLTA/ALESSANDRO (VIA)                                                ;;18/02/2015;
Convivenza Civile;Altro;6;MERCADANTE/SAVERIO (VIA)                                              ;;18/02/2015;
Convivenza Civile;Altro;7;ANTONELLI/ALESSANDRO (LUNGO PO)                                       ;;18/02/2015;
Convivenza Civile;Altro;8;TADINI/(STRADA DEI)                                                   ;;18/02/2015;
Convivenza Civile;Altro;8;GALILEO GALILEI/(CORSO)                                               ;;19/02/2015;
Convivenza Civile;Altro;7;BRESCIA/(CORSO)                                                       ;;22/02/2015;
