Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Allarme Sociale;Altro;1;MASSENA/ANDREA (VIA);;08/01/2014;
Allarme Sociale;Altro;1;REGINA MARGHERITA/(CORSO);;16/01/2014;
Allarme Sociale;Altro;6;VIGEVANO/(CORSO);;16/01/2014;
Allarme Sociale;Altro;9;VENTIMIGLIA/(VIA);;16/01/2014;
Allarme Sociale;Altro;7;REPUBBLICA/(PIAZZA DELLA);;17/01/2014;
Allarme Sociale;Altro;1;ROMA/(VIA);;23/01/2014;
Allarme Sociale;Altro;1;SACCHI/PAOLO (VIA);;24/01/2014;
Allarme Sociale;Altro;5;CASTELDELFINO/(VIA);;27/01/2014;
Allarme Sociale;Altro;8;BRAMANTE/(CORSO);;27/01/2014;
Allarme Sociale;Altro;2;DE CANAL/BERNARDO (VIA);;30/01/2014;
Allarme Sociale;Altro;8;MICHELANGELO/BUONARROTI (VIA);;06/02/2014;
Allarme Sociale;Altro;8;MADAMA CRISTINA/(PIAZZA);;13/02/2014;
Allarme Sociale;Altro;9;GAVELLO/GIUSEPPE (VIA);;13/02/2014;
Allarme Sociale;Altro;8;BRAMANTE/(CORSO);;14/02/2014;13.29
Allarme Sociale;Altro;8;CANOVA/ANTONIO (VIA);;23/02/2014;
Allarme Sociale;Altro;3;LA THUILE/(VIA);;24/02/2014;
Allarme Sociale;Altro;7;S. GIULIA/(PIAZZA);;28/02/2014;9.00
Allarme Sociale;Altro;4;SVIZZERA/(CORSO);;06/03/2014;9.54
Allarme Sociale;Altro;;;Area Verde;10/03/2014;
Allarme Sociale;Altro;1;FERRARIS/GALILEO (CORSO);;12/03/2014;
Allarme Sociale;Altro;6;ZANDONAI/RICCARDO (VIA);;12/03/2014;
Allarme Sociale;Altro;;;;13/03/2014;
Allarme Sociale;Altro;6;PARELLA/(VIA);;13/03/2014;8.56
Allarme Sociale;Altro;9;ALBENGA/(VIA);;19/03/2014;10.36
Allarme Sociale;Altro;1;ARBARELLO/VINCENZO (PIAZZA);;25/03/2014;
Allarme Sociale;Altro;5;GIACHINO/ERRICO (VIA);;25/03/2014;9.00
Allarme Sociale;Altro;8;VALPERGA/CALUSO (VIA);;26/03/2014;
Allarme Sociale;Altro;4;PARAVIA/ALESSANDRO (VIA);;26/03/2014;9.00
Allarme Sociale;Altro;5;TRAVES/(VIA);;31/03/2014;9.06
Allarme Sociale;Altro;7;CECCHI/ANTONIO (VIA);;31/03/2014;17.38
Allarme Sociale;Altro;8;DANTE/(CORSO);;09/04/2014;
Allarme Sociale;Altro;1;MATTEOTTI/GIACOMO (CORSO);;11/04/2014;
Allarme Sociale;Altro;;;;05/05/2014;14.49
Allarme Sociale;Altro;8;CELLINI/BENVENUTO (VIA);;09/05/2014;
Allarme Sociale;Altro;7;MARIA AUSILIATRICE/(VIA);;12/05/2014;
Allarme Sociale;Altro;2;BALTIMORA/(VIA);;16/05/2014;10.02
Allarme Sociale;Altro;7;MARIA AUSILIATRICE/(VIA);;21/05/2014;
Allarme Sociale;Altro;1;FERRARIS/GALILEO (CORSO);;22/05/2014;
Allarme Sociale;Altro;4;BAVENO/(VIA);;22/05/2014;
Allarme Sociale;Altro;1;PRINCIPE ODDONE/(CORSO);;23/05/2014;9.33
Allarme Sociale;Altro;7;VIGNALE/(VIA);;26/05/2014;10.07
Allarme Sociale;Altro;6;BANFO/ANTONIO (VIA);;27/05/2014;
Allarme Sociale;Altro;3;RENIER/RODOLFO (VIA);;28/05/2014;
Allarme Sociale;Altro;6;VERCELLI/(CORSO);;28/05/2014;
Allarme Sociale;Altro;1;TURATI/FILIPPO (LARGO);;30/05/2014;13.23
Allarme Sociale;Altro;6;S. MAURO/(STRADA);;30/05/2014;13.54
Allarme Sociale;Altro;6;BRANDIZZO/(VIA);;05/06/2014;
Allarme Sociale;Altro;3;MONTE CIMONE/(VIA);;11/06/2014;
Allarme Sociale;Altro;3;MONGINEVRO/(VIA);;13/06/2014;
Allarme Sociale;Altro;6;VERCELLI/(CORSO);;13/06/2014;
Allarme Sociale;Altro;3;BORSELLINO/PAOLO (VIA)/;;19/06/2014;
Allarme Sociale;Altro;5;PALLI/NATALE (VIA);;23/06/2014;
Allarme Sociale;Altro;8;S. VITO REVIGLIASCO/(STRADA);;26/06/2014;
Allarme Sociale;Altro;6;PORTA/CARLO (VIA);;27/06/2014;
Allarme Sociale;Altro;7;NAPOLI/(LUNGO DORA);;30/06/2014;
Allarme Sociale;Atti di vandalismo;1;REGINA MARGHERITA/(CORSO);;23/01/2014;
Allarme Sociale;Atti di vandalismo;7;DELEDDA/GRAZIA (VIA);;27/01/2014;
Allarme Sociale;Atti di vandalismo;1;S. CARLO/(PIAZZA);;29/01/2014;
Allarme Sociale;Atti di vandalismo;3;VANDALINO/(VIA);Area Verde;11/02/2014;
Convivenza Civile;Aggregazioni giovanili;5;ALTESSANO/(STRADA DI);;13/01/2014;
Convivenza Civile;Aggregazioni giovanili;5;GRAMEGNA/LUIGI (VIA);;24/01/2014;9.30
Convivenza Civile;Aggregazioni giovanili;5;VILLAR/(VIA);;07/02/2014;
Convivenza Civile;Aggregazioni giovanili;3;CARRIERA/ROSALBA (VIA);;17/03/2014;
Convivenza Civile;Aggregazioni giovanili;5;VAL DELLA TORRE/(VIA);;14/04/2014;
Convivenza Civile;Aggregazioni giovanili;6;BERTOLLA/(STRADA);;14/04/2014;
Convivenza Civile;Aggregazioni giovanili;;;;21/06/2014;
Convivenza Civile;Altro;1;BOTERO/GIOVANNI (VIA);;07/01/2014;
Convivenza Civile;Altro;7;PINEROLO/(VIA);;07/01/2014;
Convivenza Civile;Altro;1;CARLO FELICE/(PIAZZA);;07/01/2014;12.10
Convivenza Civile;Altro;1;VITTORIO VENETO/(PIAZZA);;08/01/2014;
Convivenza Civile;Altro;7;BRA/(VIA);;08/01/2014;
Convivenza Civile;Altro;2;COSENZA/(CORSO);;09/01/2014;
Convivenza Civile;Altro;2;DEL PRETE/CARLO (VIA);;09/01/2014;
Convivenza Civile;Altro;3;ISONZO/(VIA);;09/01/2014;
Convivenza Civile;Altro;4;COSSA/PIETRO (VIA);;09/01/2014;
Convivenza Civile;Altro;3;FENOGLIO GIUSEPPE (BEPPE) (VIA);;10/01/2014;
Convivenza Civile;Altro;5;SANSOVINO/ANDREA (VIA);;10/01/2014;
Convivenza Civile;Altro;8;PRINCIPE TOMMASO/(VIA);;10/01/2014;
Convivenza Civile;Altro;4;BALME/(VIA);;13/01/2014;
Convivenza Civile;Altro;4;ROSAI/OTTONE(CORSO);;13/01/2014;
Convivenza Civile;Altro;3;RACCONIGI/(CORSO);;14/01/2014;
Convivenza Civile;Altro;10;TAZZOLI/ENRICO (CORSO);;14/01/2014;8.30
Convivenza Civile;Altro;2;LAGNASCO/(VIA);;15/01/2014;
Convivenza Civile;Altro;5;GATTICO/(VIA);;15/01/2014;
Convivenza Civile;Altro;7;PECETTO/(STRADA DI);;15/01/2014;
Convivenza Civile;Altro;9;GIORDANO/BRUNO (VIA);;15/01/2014;
Convivenza Civile;Altro;2;POMA/CARLO (VIA);;15/01/2014;9.33
Convivenza Civile;Altro;6;CERVINO/(VIA);;16/01/2014;
Convivenza Civile;Altro;6;SPONTINI/GASPARE (VIA);;17/01/2014;13.58
Convivenza Civile;Altro;5;LANZO/(VIA);;17/01/2014;14.24
Convivenza Civile;Altro;;;Area Verde;20/01/2014;
Convivenza Civile;Altro;5;CINCINNATO/L. QUINZIO (CORSO);;20/01/2014;
Convivenza Civile;Altro;7;GASSINO/(VIA);;21/01/2014;9.00
Convivenza Civile;Altro;3;D'ANNUNZIO/GABRIELE (VIA);;22/01/2014;
Convivenza Civile;Altro;6;ZANDONAI/RICCARDO (VIA);;22/01/2014;
Convivenza Civile;Altro;10;POMARETTO/(VIA);;22/01/2014;11.50
Convivenza Civile;Altro;1;FERRARIS/GALILEO (CORSO);;22/01/2014;10.53
Convivenza Civile;Altro;1;SAVOIA/(PIAZZA);;23/01/2014;
Convivenza Civile;Altro;5;SOLARI/GIOELE (VIA);;23/01/2014;
Convivenza Civile;Altro;6;S. MAURO/(STRADA);;23/01/2014;
Convivenza Civile;Altro;7;VAL S. MARTINO SUPERIORE/(STRADA);;26/01/2014;17.35
Convivenza Civile;Altro;3;ROSSELLI/CARLO E NELLO (CORSO);;27/01/2014;
Convivenza Civile;Altro;9;CANELLI/(VIA);;27/01/2014;
Convivenza Civile;Altro;9;GUALA/PIETRO FRANCESCO (VIA);;27/01/2014;
Convivenza Civile;Altro;5;PRIMULE/(VIA DELLE);;27/01/2014;11.24
Convivenza Civile;Altro;3;PELLICE/(VIA);;27/01/2014;12.43
Convivenza Civile;Altro;2;TRIPOLI/(VIA);;27/01/2014;10.19
Convivenza Civile;Altro;1;PRINCIPE AMEDEO/(VIA);;28/01/2014;
