Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data Segnalazione;Ora Segnalazione
Allarme Sociale;Altro;5;FERRARA/(CORSO)                                                       ;;04/01/2012;
Allarme Sociale;Altro;6;GOTTARDO/(VIA)                                                        ;Area Verde;11/01/2012;
Allarme Sociale;Altro;3;ISONZO/(VIA)                                                          ;Area Verde;13/01/2012;10.00
Allarme Sociale;Altro;6;ANGLESIO/MARTINO (VIA)                                                ;Area Verde;08/02/2012;11.05
Allarme Sociale;Altro;1;CARLE/GIUSEPPE E ANTONIO (VIA)                                        ;;10/02/2012;
Allarme Sociale;Altro;3;ROCCAFORTE/(VIA)                                                      ;;10/02/2012;
Allarme Sociale;Altro;7;BRA/(VIA)                                                             ;;10/02/2012;
Allarme Sociale;Altro;3;BOGGIO/PIER CARLO (VIA)                                               ;;14/02/2012;
Allarme Sociale;Altro;1;GIULIO/CARLO IGNAZIO (VIA)                                            ;Area Verde;23/02/2012;08.00
Allarme Sociale;Altro;1;PALEOCAPA/PIETRO (PIAZZA)                                             ;;27/02/2012;
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;27/02/2012;08.00
Allarme Sociale;Altro;1;TORRICELLI EVANGELISTA/(VIA)                                          ;;29/02/2012;11.48
Allarme Sociale;Altro;3;FRANCIA/(CORSO)                                                       ;;12/03/2012;10.53
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;13/03/2012;
Allarme Sociale;Altro;1;SACCHI/PAOLO (VIA)                                                    ;;13/03/2012;08.00
Allarme Sociale;Altro;1;ROSINE/(VIA DELLE)                                                    ;;23/03/2012;09.49
Allarme Sociale;Altro;1;CARLO FELICE/(PIAZZA)                                                 ;;27/03/2012;
Allarme Sociale;Altro;8;MARCONI/GUGLIELMO (CORSO)                                             ;;27/03/2012;11.21
Allarme Sociale;Altro;1;PALESTRO/(CORSO)                                                      ;;06/04/2012;
Allarme Sociale;Altro;3;MOLLIERES/(VIA)                                                       ;;11/04/2012;11.19
Allarme Sociale;Altro;7;MONTEU DA PO/(VIA)                                                    ;;13/04/2012;08.00
Allarme Sociale;Altro;4;SVIZZERA/(CORSO)                                                      ;;16/04/2012;
Allarme Sociale;Altro;7;PESARO/(VIA)                                                          ;;16/04/2012;
Allarme Sociale;Altro;1;FERRARIS/GALILEO (CORSO)                                              ;;04/05/2012;12.07
Allarme Sociale;Altro;8;VIRGILIO/(VIALE)                                                      ;;16/05/2012;
Allarme Sociale;Altro;8;NIZZA/(VIA)                                                           ;;17/05/2012;
Allarme Sociale;Altro;1;CASSINI/GIAN DOMENICO (LARGO)                                         ;;21/05/2012;
Allarme Sociale;Altro;5;COSSA/PIETRO (VIA)                                                    ;;23/05/2012;13.28
Allarme Sociale;Altro;1;LAGRANGE/GIUSEPPE LUIGI (PIAZZA)                                      ;;28/05/2012;08.00
Allarme Sociale;Altro;6;GIULIO CESARE/(CORSO)                                                 ;;01/06/2012;
Allarme Sociale;Altro;2;DE BERNARDI/LAMBERTO (VIA)                                            ;;05/06/2012;
Allarme Sociale;Altro;1;PO/(VIA)                                                              ;;05/06/2012;08.00
Allarme Sociale;Altro;1;ROMA/(VIA)                                                            ;;05/06/2012;08.00
Allarme Sociale;Altro;9;PODGORA/(VIA)                                                         ;;05/06/2012;11.54
Allarme Sociale;Altro;8;MADAMA CRISTINA/(PIAZZA)                                              ;;08/06/2012;
Allarme Sociale;Altro;1;CASSINI/GIAN DOMENICO (LARGO)                                         ;;08/06/2012;09.31
Allarme Sociale;Altro;5;FOLIGNO/(VIA)                                                         ;;11/06/2012;
Allarme Sociale;Altro;7;OROPA/(VIA)                                                           ;;12/06/2012;08.27
Allarme Sociale;Altro;7;BRESCIA/(CORSO)                                                       ;;13/06/2012;
Allarme Sociale;Altro;8;FOSCOLO/UGO (VIA)                                                     ;;13/06/2012;
Allarme Sociale;Altro;5;PETTINENGO/(VIA)                                                      ;;13/06/2012;08.00
Allarme Sociale;Altro;9;UNITA' D'ITALIA/(CORSO)                                               ;;15/06/2012;
Allarme Sociale;Altro;5;VERONESE/PAOLO (VIA)                                                  ;;25/06/2012;
Allarme Sociale;Altro;10;AMARI/MICHELE (VIA)                                                   ;;25/06/2012;08.00
Allarme Sociale;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;02/07/2012;
Allarme Sociale;Altro;2;GRAZIOLI/DON BARTOLOMEO (VIA)                                         ;;04/07/2012;
Allarme Sociale;Altro;7;S. GIULIA/(PIAZZA)                                                    ;;09/07/2012;
Allarme Sociale;Altro;3;S. MARIA MAZZARELLO/(VIA)                                             ;Area Verde;09/07/2012;14.00
Allarme Sociale;Altro;1;FERRARIS/GALILEO (CORSO)                                              ;;12/07/2012;09.05
Allarme Sociale;Altro;1;VITTORIO EMANUELE II/(CORSO)                                          ;;16/07/2012;
Allarme Sociale;Altro;10;MILLELIRE/DOMENICO (VIA)                                              ;;17/07/2012;11.28
Allarme Sociale;Altro;2;COSENZA/(CORSO)                                                       ;;07/08/2012;09.40
Allarme Sociale;Altro;2;BALTIMORA/(VIA)                                                       ;;10/08/2012;11.40
Allarme Sociale;Altro;4;GHEMME/(VIA)                                                          ;;16/08/2012;10.09
Allarme Sociale;Altro;3;BARD/(VIA)                                                            ;;04/09/2012;
Allarme Sociale;Altro;1;CARLO FELICE/(PIAZZA)                                                 ;;20/09/2012;10.46
Allarme Sociale;Altro;5;SANSOVINO/ANDREA (VIA)                                                ;;10/10/2012;08.25
Allarme Sociale;Altro;5;RANDACCIO/GIOVANNI (VIA)                                              ;;11/10/2012;
Allarme Sociale;Altro;1;DUCA DEGLI ABRUZZI/(CORSO)                                            ;;31/10/2012;
Allarme Sociale;Altro;7;AGRIGENTO/(LUNGO DORA)                                                ;;08/11/2012;13.54
Allarme Sociale;Altro;4;GHIACCIAIE/(STRADA DELLE)                                             ;;19/11/2012;
Allarme Sociale;Altro;8;PELLICO/SILVIO (VIA)                                                  ;;22/11/2012;
Allarme Sociale;Altro;5;COPPINO/MICHELE (VIA)                                                 ;;26/11/2012;
Allarme Sociale;Altro;7;RAVENNA/(VIA)                                                         ;;12/12/2012;
Allarme Sociale;Altro;6;TARANTO/(CORSO)                                                       ;;19/12/2012;08.00
Allarme Sociale;Altro;2;BOSTON/(VIA)                                                          ;;27/12/2012;12.37
Allarme Sociale;Altro;5;GIACHINO/ERRICO (VIA)                                                 ;;17/01/2013;
Allarme Sociale;Altro;1;GARIBALDI/GIUSEPPE (VIA)                                              ;;23/01/2013;
Allarme Sociale;Altro;7;BORROMINI/FRANCESCO (PIAZZA)                                          ;;23/01/2013;
Allarme Sociale;Altro;6;FORONI/JACOPO (VIA)                                                   ;;23/01/2013;08.00
Allarme Sociale;Altro;10;MONASTIR/(VIA)                                                        ;;07/02/2013;
Allarme Sociale;Altro;1;CASTELLO/(PIAZZA)                                                     ;;13/02/2013;
Allarme Sociale;Altro;;;Area Verde;21/02/2013;
Allarme Sociale;Altro;7;BRESCIA/(CORSO)                                                       ;;07/03/2013;
Allarme Sociale;Altro;6;QUITTENGO/(VIA)                                                       ;;19/04/2013;
Allarme Sociale;Altro;4;MOSSO/ANGELO (VIA)                                                    ;;29/04/2013;
Allarme Sociale;Altro;2;DINA/GIACOMO (VIA)                                                    ;;02/05/2013;
Allarme Sociale;Altro;3;S. MARIA MAZZARELLO/(VIA)                                             ;;03/05/2013;
Allarme Sociale;Altro;7;CADORE/(CORSO)                                                        ;;30/05/2013;09.02
Allarme Sociale;Altro;2;COSENZA/(CORSO)                                                       ;;03/06/2013;
Allarme Sociale;Altro;5;PRIMULE/(VIA DELLE)                                                   ;;14/06/2013;
Allarme Sociale;Altro;3;S. MARIA MAZZARELLO/(VIA)                                             ;;25/06/2013;
Allarme Sociale;Altro;4;APPIO CLAUDIO/(CORSO)                                                 ;Area Verde;26/06/2013;08.00
Allarme Sociale;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;04/07/2013;
Allarme Sociale;Altro;4;COSSA/PIETRO (VIA)                                                    ;Area Verde;15/07/2013;
Allarme Sociale;Altro;4;BURONZO/(VIA)                                                         ;;16/07/2013;
Allarme Sociale;Altro;3;RIVALTA/(VIA)                                                         ;Area Verde;17/07/2013;10.16
Allarme Sociale;Altro;3;ROSSELLI/CARLO E NELLO (CORSO)                                        ;Area Verde;17/07/2013;10.16
Allarme Sociale;Altro;5;FEA/LEONARDO (VIA)                                                    ;;22/07/2013;08.00
Allarme Sociale;Altro;5;REISS ROMOLI/GUGLIELMO (VIA)                                          ;;22/07/2013;14.04
Allarme Sociale;Altro;3;BERTA/AUGUSTO (VIA)                                                   ;;23/07/2013;11.25
Allarme Sociale;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;25/07/2013;11.47
Allarme Sociale;Altro;4;ANGIOLINO/(VIA)                                                       ;;02/08/2013;10.38
Allarme Sociale;Altro;4;GAMBA/ENRICO (CORSO)                                                  ;;06/08/2013;11.28
Allarme Sociale;Altro;1;SACCHI/PAOLO (VIA)                                                    ;;06/08/2013;16.51
Allarme Sociale;Altro;1;VITTORIO EMANUELE II/(CORSO)                                          ;;13/08/2013;
Allarme Sociale;Altro;6;MONTE ROSA/(VIA)                                                      ;;29/08/2013;
Allarme Sociale;Altro;5;USSEGLIO/LEOPOLDO (VIA)                                               ;;13/09/2013;
Allarme Sociale;Altro;1;S. CHIARA/(VIA)                                                       ;;16/09/2013;
Allarme Sociale;Altro;5;TRAVERSELLA/(VIA)                                                     ;;22/09/2013;
Allarme Sociale;Altro;1;GIOBERTI/VINCENZO (VIA)                                               ;;23/09/2013;
Allarme Sociale;Altro;1;S. CHIARA/(VIA)                                                       ;;30/09/2013;
Allarme Sociale;Altro;5;LAMPORO/(VIA)                                                         ;;03/10/2013;
Allarme Sociale;Altro;1;CAIROLI/(CORSO)                                                       ;;04/10/2013;
Allarme Sociale;Altro;8;MEDAGLIE D'ORO/(VIALE)                                                ;;04/10/2013;
Allarme Sociale;Altro;8;BRAMANTE/(CORSO)                                                      ;;09/10/2013;
Allarme Sociale;Altro;8;VITTORIO EMANUELE II/(CORSO)                                          ;;15/10/2013;
Allarme Sociale;Altro;8;POLONIA/(CORSO)                                                       ;;04/11/2013;
Allarme Sociale;Altro;6;VERONESE/PAOLO (VIA)                                                  ;;08/11/2013;
Allarme Sociale;Altro;4;CAPUA/(VIA)                                                           ;;11/11/2013;
Allarme Sociale;Altro;6;GERMAGNANO/(VIA)                                                      ;;12/11/2013;
Allarme Sociale;Altro;6;PACINI/GIOVANNI (VIA)                                                 ;;22/11/2013;
Allarme Sociale;Altro;2;FRINCO/(VIA)                                                          ;;25/11/2013;
Allarme Sociale;Altro;;;;02/12/2013;
Allarme Sociale;Altro;5;COLAUTTI/ARTURO (VIA)                                                 ;;02/12/2013;
Allarme Sociale;Altro;;;;03/12/2013;
Allarme Sociale;Altro;9;RICHELMY/PROSPERO (VIA)                                               ;;04/12/2013;
Allarme Sociale;Altro;;;;05/12/2013;
Allarme Sociale;Altro;1;REGINA MARGHERITA/(CORSO)                                             ;;05/12/2013;
Allarme Sociale;Altro;4;BELLARDI/LUDOVICO (VIA)                                               ;;12/12/2013;
Allarme Sociale;Altro;1;VITTORIO EMANUELE II/(CORSO)                                          ;;23/12/2013;11.50
Allarme Sociale;Altro;3;MONTE CUCCO/(CORSO)                                                   ;;31/12/2013;
Allarme Sociale;Atti di vandalismo;7;VERCELLI/(CORSO)                                                      ;;03/01/2012;14.03
Allarme Sociale;Atti di vandalismo;5;VEROLENGO/(VIA)                                                       ;Area Verde;05/01/2012;
Allarme Sociale;Atti di vandalismo;4;FRANCIA/(CORSO)                                                       ;Area Verde;13/03/2012;14.24
Allarme Sociale;Atti di vandalismo;1;REPUBBLICA/(PIAZZA DELLA)                                             ;;14/03/2012;
Allarme Sociale;Atti di vandalismo;6;TOLLEGNO/(VIA)                                                        ;;16/03/2012;
Allarme Sociale;Atti di vandalismo;3;CARSO/(VIA)                                                           ;Area Verde;30/03/2012;
Allarme Sociale;Atti di vandalismo;6;VERCELLI/(CORSO)                                                      ;;24/05/2012;
Allarme Sociale;Atti di vandalismo;3;OSASCO/(VIA)                                                          ;Area Verde;28/05/2012;
Allarme Sociale;Atti di vandalismo;8;MURATORI/LODOVICO ANTONIO (VIA)                                       ;Area Verde;28/05/2012;08.00
Allarme Sociale;Atti di vandalismo;5;SCIALOJA/ANTONIO E VITTORIO (VIA)                                     ;;15/06/2012;
Allarme Sociale;Atti di vandalismo;1;GIULIO/CARLO IGNAZIO (VIA)                                            ;Area Verde;22/06/2012;12.11
Allarme Sociale;Atti di vandalismo;7;BELGIO/(CORSO)                                                        ;;26/06/2012;10.20
Allarme Sociale;Atti di vandalismo;4;PIANEZZA/(VIA)                                                        ;;28/06/2012;
Allarme Sociale;Atti di vandalismo;1;S. SECONDO/(VIA)                                                      ;;31/07/2012;13.50
Allarme Sociale;Atti di vandalismo;3;COL DI LANA/(VIA)                                                     ;;29/08/2012;
Allarme Sociale;Atti di vandalismo;5;ORVIETO/(VIA)                                                         ;;21/09/2012;11.51
Allarme Sociale;Atti di vandalismo;3;OSASCO/(VIA)                                                          ;Area Verde;08/10/2012;
Allarme Sociale;Atti di vandalismo;6;CAVAGNOLO/(VIA)                                                       ;;21/01/2013;
Allarme Sociale;Atti di vandalismo;4;PARAVIA/ALESSANDRO (VIA)                                              ;;20/02/2013;
Allarme Sociale;Atti di vandalismo;;;Area Verde;02/03/2013;
Allarme Sociale;Atti di vandalismo;3;MARTINI MAURI/ENRICO (VIA)                                            ;;27/03/2013;
Allarme Sociale;Atti di vandalismo;9;VENTIMIGLIA/(VIA)                                                     ;;15/04/2013;
Allarme Sociale;Atti di vandalismo;7;FIRENZE/(LUNGO DORA)                                                  ;;27/05/2013;
Allarme Sociale;Atti di vandalismo;3;FREJUS/(VIA)                                                          ;;28/05/2013;
Allarme Sociale;Atti di vandalismo;2;BOSTON/(VIA)                                                          ;;17/07/2013;
Allarme Sociale;Atti di vandalismo;1;AMENDOLA/GIOVANNI (VIA)                                               ;;06/09/2013;
Allarme Sociale;Atti di vandalismo;2;TAZZOLI/ENRICO (CORSO)                                                ;;11/09/2013;10.56
Allarme Sociale;Atti di vandalismo;1;CITTADELLA/(VIA DELLA)                                                ;;20/11/2013;
Convivenza Civile;Aggregazioni giovanili;7;NOVARA/(CORSO)                                                        ;Area Verde;02/01/2012;
Convivenza Civile;Aggregazioni giovanili;6;MAGRA/(STRADA DELLA)                                                  ;;30/01/2012;
Convivenza Civile;Aggregazioni giovanili;4;MOSSO/ANGELO (VIA)                                                    ;;27/02/2012;
Convivenza Civile;Aggregazioni giovanili;2;POMA/CARLO (VIA)                                                      ;;09/03/2012;
Convivenza Civile;Aggregazioni giovanili;7;AGRIGENTO/(LUNGO DORA)                                                ;;12/03/2012;
Convivenza Civile;Aggregazioni giovanili;4;ROSAI/OTTONE(CORSO)                                                   ;;14/03/2012;
Convivenza Civile;Aggregazioni giovanili;5;ROVASENDA GIUSEPPE DI (VIA)                                           ;Area Verde;28/03/2012;09.53
Convivenza Civile;Aggregazioni giovanili;3;MODANE/(VIA)                                                          ;;02/04/2012;
Convivenza Civile;Aggregazioni giovanili;7;DAMIANO/LUIGI (VIA)                                                   ;;03/04/2012;
Convivenza Civile;Aggregazioni giovanili;2;GRIOLI/DON GIOVANNI (VIA)                                             ;;13/04/2012;
Convivenza Civile;Aggregazioni giovanili;9;CORSICA/(CORSO)                                                       ;;13/04/2012;
Convivenza Civile;Aggregazioni giovanili;5;LANZO/(STRADA)                                                        ;;03/05/2012;11.19
Convivenza Civile;Aggregazioni giovanili;4;BELLARDI/LUDOVICO (VIA)                                               ;;11/05/2012;08.00
Convivenza Civile;Aggregazioni giovanili;7;DAMIANO/LUIGI (VIA)                                                   ;Area Verde;14/05/2012;
Convivenza Civile;Aggregazioni giovanili;2;DE CANAL/BERNARDO (VIA)                                               ;Area Verde;01/06/2012;
Convivenza Civile;Aggregazioni giovanili;4;BORGOSESIA/(VIA)                                                      ;;12/06/2012;
Convivenza Civile;Aggregazioni giovanili;9;LAVAGNA/(VIA)                                                         ;;14/06/2012;
Convivenza Civile;Aggregazioni giovanili;9;UNITA' D'ITALIA/(CORSO)                                               ;;15/06/2012;11.00
Convivenza Civile;Aggregazioni giovanili;7;CARDINALE ALIMONDA/GAETANO (VIA)                                      ;;29/06/2012;13.31
Convivenza Civile;Aggregazioni giovanili;3;MALTA/(VIA)                                                           ;;04/07/2012;08.00
Convivenza Civile;Aggregazioni giovanili;5;COSSA/PIETRO (VIA)                                                    ;;06/07/2012;13.44
Convivenza Civile;Aggregazioni giovanili;1;S. FRANCESCO DA PAOLA/(VIA)                                           ;;10/07/2012;
Convivenza Civile;Aggregazioni giovanili;5;REFRANCORE/(VIA)                                                      ;Area Verde;10/07/2012;
Convivenza Civile;Aggregazioni giovanili;10;PORTOFINO/(VIA)                                                       ;;24/07/2012;
Convivenza Civile;Aggregazioni giovanili;2;BONFANTE/PIETRO (VIA)                                                 ;;30/07/2012;
Convivenza Civile;Aggregazioni giovanili;3;VANDALINO/(VIA)                                                       ;;03/08/2012;
Convivenza Civile;Aggregazioni giovanili;4;ROSAI/OTTONE(CORSO)                                                   ;;06/08/2012;
Convivenza Civile;Aggregazioni giovanili;6;SCOTELLARO/ROCCO (VIA)                                                ;;09/08/2012;07.10
Convivenza Civile;Aggregazioni giovanili;6;VITTIME DI BOLOGNA/(VIA)                                              ;;23/08/2012;14.26
Convivenza Civile;Aggregazioni giovanili;4;RISORGIMENTO/(PIAZZA)                                                 ;;29/08/2012;
Convivenza Civile;Aggregazioni giovanili;5;BRUSA/EMILIO (VIA)                                                    ;Area Verde;03/09/2012;
Convivenza Civile;Aggregazioni giovanili;9;TUNISI/(VIA)                                                          ;Area Verde;07/09/2012;08.00
Convivenza Civile;Aggregazioni giovanili;5;ALTESSANO/(STRADA DI)                                                 ;;25/09/2012;
Convivenza Civile;Aggregazioni giovanili;2;GRIOLI/DON GIOVANNI (VIA)                                             ;;27/09/2012;
Convivenza Civile;Aggregazioni giovanili;7;MASSERANO/(VIA)                                                       ;;10/10/2012;
Convivenza Civile;Aggregazioni giovanili;9;LAVAGNA/(VIA)                                                         ;;18/10/2012;
Convivenza Civile;Aggregazioni giovanili;9;VINOVO/(VIA)                                                          ;;26/10/2012;
Convivenza Civile;Aggregazioni giovanili;5;STAMPALIA/(PIAZZA)                                                    ;;09/11/2012;08.00
Convivenza Civile;Aggregazioni giovanili;;;;14/11/2012;
Convivenza Civile;Aggregazioni giovanili;9;ALASSIO/(VIA)                                                         ;;05/12/2012;
Convivenza Civile;Aggregazioni giovanili;4;CEVA/(VIA)                                                            ;;27/01/2013;
Convivenza Civile;Aggregazioni giovanili;6;PACINI/GIOVANNI (VIA)                                                 ;;07/02/2013;
Convivenza Civile;Aggregazioni giovanili;5;ROVASENDA GIUSEPPE DI (VIA)                                           ;;01/03/2013;
Convivenza Civile;Aggregazioni giovanili;6;CAVAGNOLO/(VIA)                                                       ;Area Verde;15/03/2013;
Convivenza Civile;Aggregazioni giovanili;9;MONTI/AUGUSTO (VIALE)                                                 ;Area Verde;27/03/2013;18.17
Convivenza Civile;Aggregazioni giovanili;5;VILLARI/PASQUALE (PIAZZA)                                             ;;03/05/2013;
Convivenza Civile;Aggregazioni giovanili;5;VILLAR/(VIA)                                                          ;;10/06/2013;10.00
Convivenza Civile;Aggregazioni giovanili;7;REGGIO/(VIA)                                                          ;;12/06/2013;
Convivenza Civile;Aggregazioni giovanili;7;CIGNA/FRANCESCO (LARGO)                                               ;Area Verde;19/06/2013;16.39
Convivenza Civile;Aggregazioni giovanili;5;LUINI/BERNARDINO (VIA)                                                ;Area Verde;04/07/2013;23.02
Convivenza Civile;Aggregazioni giovanili;;;;09/07/2013;
Convivenza Civile;Aggregazioni giovanili;3;CARRIERA/ROSALBA (VIA)                                                ;;02/09/2013;
Convivenza Civile;Aggregazioni giovanili;6;ROSSI/ERNESTO (VIA)                                                   ;Area Verde;02/09/2013;
Convivenza Civile;Aggregazioni giovanili;8;SOMMACAMPAGNA/(VIA)                                                   ;Area Verde;13/09/2013;
Convivenza Civile;Aggregazioni giovanili;3;RACCONIGI/(CORSO)                                                     ;;25/09/2013;
Convivenza Civile;Aggregazioni giovanili;7;REGGIO/(VIA)                                                          ;;04/10/2013;11.45
Convivenza Civile;Aggregazioni giovanili;5;PARENZO/(VIA)                                                         ;;05/11/2013;
Convivenza Civile;Aggregazioni giovanili;3;RENIER/RODOLFO (VIA)                                                  ;;24/11/2013;17.01
Convivenza Civile;Aggregazioni giovanili;1;MILANO/(VIA)                                                          ;;24/12/2013;
Convivenza Civile;Altro;5;CALUSO/(VIA)                                                          ;;02/01/2012;10.23
Convivenza Civile;Altro;1;CASSINI/GIAN DOMENICO (VIA)                                           ;;05/01/2012;
Convivenza Civile;Altro;3;VANDALINO/(VIA)                                                       ;;05/01/2012;
Convivenza Civile;Altro;3;FIDIA/(VIA)                                                           ;;05/01/2012;08.39
Convivenza Civile;Altro;1;MARIA VITTORIA/(VIA)                                                  ;;09/01/2012;
Convivenza Civile;Altro;3;FRANCIA/(CORSO)                                                       ;;11/01/2012;10.00
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;13/01/2012;
Convivenza Civile;Altro;6;TARANTO/(CORSO)                                                       ;;16/01/2012;
Convivenza Civile;Altro;8;BRAMANTE/(CORSO)                                                      ;;16/01/2012;
Convivenza Civile;Altro;1;MARIA TERESA/(PIAZZA)                                                 ;;18/01/2012;13.38
Convivenza Civile;Altro;9;PIO VII/(VIA)                                                         ;;26/01/2012;
Convivenza Civile;Altro;1;GARIBALDI/GIUSEPPE (VIA)                                              ;;30/01/2012;
Convivenza Civile;Altro;1;S. SECONDO/(VIA)                                                      ;;30/01/2012;
Convivenza Civile;Altro;9;GENOVA/(VIA)                                                          ;;30/01/2012;
Convivenza Civile;Altro;5;BREGLIO/(VIA)                                                         ;;01/02/2012;22.29
Convivenza Civile;Altro;5;MORTARA/(CORSO)                                                       ;;02/02/2012;
Convivenza Civile;Altro;8;GIURIA/PIETRO (VIA)                                                   ;;02/02/2012;08.05
Convivenza Civile;Altro;6;IVREA/(VIA)                                                           ;;06/02/2012;09.03
Convivenza Civile;Altro;1;CASELLE/(VIA)                                                         ;;08/02/2012;08.45
Convivenza Civile;Altro;1;GARIBALDI/GIUSEPPE (VIA)                                              ;;08/02/2012;14.21
Convivenza Civile;Altro;6;CRISPI/FRANCESCO (PIAZZA)                                             ;;09/02/2012;
Convivenza Civile;Altro;5;BARACCA/FRANCESCO (VIA)                                               ;;10/02/2012;
Convivenza Civile;Altro;8;BELFIORE/(VIA)                                                        ;;10/02/2012;
Convivenza Civile;Altro;5;PERVINCHE/(VIA DELLE)                                                 ;;14/02/2012;
Convivenza Civile;Altro;6;BELLACOMBA/(STRADA)                                                   ;;14/02/2012;
Convivenza Civile;Altro;6;MALONE/(VIA)                                                          ;;14/02/2012;08.00
Convivenza Civile;Altro;3;VERZUOLO/(VIA)                                                        ;;14/02/2012;12.54
Convivenza Civile;Altro;5;BADINI CONFALONIERI/ALFONSO (VIA)                                     ;;15/02/2012;
Convivenza Civile;Altro;8;BRAMANTE/(CORSO)                                                      ;;15/02/2012;
Convivenza Civile;Altro;5;SANSOVINO/ANDREA (VIA)                                                ;;17/02/2012;
Convivenza Civile;Altro;4;NAZZARO/VINCENZO (VIA)                                                ;;17/02/2012;10.05
Convivenza Civile;Altro;2;CAPRERA/(VIA)                                                         ;;21/02/2012;
Convivenza Civile;Altro;9;NIZZA/(VIA)                                                           ;;21/02/2012;
Convivenza Civile;Altro;8;BIDONE/GIORGIO (VIA)                                                  ;;21/02/2012;13.10
Convivenza Civile;Altro;6;MARTORELLI/RENATO (VIA)                                               ;;22/02/2012;
Convivenza Civile;Altro;9;UNIONE SOVIETICA/(CORSO)                                              ;;22/02/2012;08.00
Convivenza Civile;Altro;2;BENE VAGIENNA/(VIA)                                                   ;;22/02/2012;09.43
Convivenza Civile;Altro;3;MONGINEVRO/(VIA)                                                      ;;23/02/2012;
Convivenza Civile;Altro;7;CUNEO/(VIA)                                                           ;;23/02/2012;
Convivenza Civile;Altro;5;LANZO/(STRADA)                                                        ;;23/02/2012;09.22
Convivenza Civile;Altro;1;MILLE/(VIA DEI)                                                       ;;27/02/2012;
Convivenza Civile;Altro;7;BUSCALIONI/CARLO MICHELE (VIA)                                        ;;27/02/2012;
Convivenza Civile;Altro;1;S. FRANCESCO DA PAOLA/(VIA)                                           ;;02/03/2012;
Convivenza Civile;Altro;6;PETRELLA/ERRICO (VIA)                                                 ;;02/03/2012;08.33
Convivenza Civile;Altro;4;FABRIZI/NICOLA (VIA)                                                  ;;05/03/2012;
Convivenza Civile;Altro;5;VILLAR/(VIA)                                                          ;;05/03/2012;
Convivenza Civile;Altro;6;SANTAGATA/LUIGI (VIA)                                                 ;;05/03/2012;
Convivenza Civile;Altro;7;NAPIONE/GIOVANNI FRANCESCO (VIA)                                      ;;07/03/2012;
Convivenza Civile;Altro;1;TURATI/FILIPPO (CORSO)                                                ;;08/03/2012;
Convivenza Civile;Altro;5;VENARIA/(VIA)                                                         ;;08/03/2012;
Convivenza Civile;Altro;2;SIRACUSA/(CORSO)                                                      ;;09/03/2012;08.00
Convivenza Civile;Altro;6;VERNA/(STRADA DELLA)                                                  ;;12/03/2012;
Convivenza Civile;Altro;4;MUSINE'/(VIA)                                                         ;;13/03/2012;09.14
Convivenza Civile;Altro;5;POTENZA/(CORSO)                                                       ;;19/03/2012;
Convivenza Civile;Altro;6;TARTINI/GIUSEPPE (VIA)                                                ;;19/03/2012;
Convivenza Civile;Altro;5;MUGHETTI/(VIALE DEI)                                                  ;;20/03/2012;08.00
Convivenza Civile;Altro;4;S. DONATO/(VIA)                                                       ;;23/03/2012;
Convivenza Civile;Altro;6;SETTIMO/(STRADA DI)                                                   ;;23/03/2012;09.15
Convivenza Civile;Altro;3;PESCHIERA/(CORSO)                                                     ;;26/03/2012;
Convivenza Civile;Altro;2;ROSSELLI/CARLO E NELLO (CORSO)                                        ;;27/03/2012;
Convivenza Civile;Altro;9;MONTEVIDEO/(VIA)                                                      ;;27/03/2012;
Convivenza Civile;Altro;4;PRINCIPESSA CLOTILDE/(VIA)                                            ;;28/03/2012;
Convivenza Civile;Altro;6;GOTTARDO/(VIA)                                                        ;;28/03/2012;12.18
Convivenza Civile;Altro;7;ALESSANDRIA/(VIA)                                                     ;;28/03/2012;11.26
Convivenza Civile;Altro;6;ROSSI/LAURO (VIA)                                                     ;;29/03/2012;12.27
Convivenza Civile;Altro;4;BORGOSESIA/(VIA)                                                      ;;29/03/2012;12.09
Convivenza Civile;Altro;6;ROSSI/LAURO (VIA)                                                     ;;29/03/2012;13.36
Convivenza Civile;Altro;5;SOSPELLO/(VIA)                                                        ;;30/03/2012;
Convivenza Civile;Altro;3;PESCHIERA/(CORSO)                                                     ;;30/03/2012;13.17
Convivenza Civile;Altro;1;CARLE/GIUSEPPE E ANTONIO (VIA)                                        ;;03/04/2012;
Convivenza Civile;Altro;2;MODIGLIANI/AMEDEO (VIA)                                               ;;03/04/2012;08.49
Convivenza Civile;Altro;7;VIGEVANO/(CORSO)                                                      ;;05/04/2012;
Convivenza Civile;Altro;2;ALLAMANO/CANONICO GIUSEPPE (CORSO)                                    ;;06/04/2012;
Convivenza Civile;Altro;9;BAIARDI/PIETRO (VIA)                                                  ;;10/04/2012;
Convivenza Civile;Altro;7;NOVARA/(CORSO)                                                        ;;10/04/2012;13.38
Convivenza Civile;Altro;6;MALONE/(VIA)                                                          ;;13/04/2012;
