WKT_GEOM;ID_AREE;DENOM;AMBITO;TIPO;LOTTO;GESTIONE;COORD_X;COORD_Y
POLYGON ((1398665.634 4993261.765,1398690.347 4993300.321,1398691.331 4993301.486,1398692.561 4993302.427,1398695.377 4993303.847,1398696.954 4993304.313,1398698.613 4993304.434,1398699.712 4993304.319,1398701.104 4993303.919,1398702.812 4993303.16,1398704.442 4993302.228,1398705.421 4993301.479,1398706.515 4993300.279,1398748.887 4993240.821,1398749.384 4993239.998,1398749.553 4993239.149,1398749.215 4993238.545,1398748.628 4993238.066,1398739.7 4993232.563,1398739.338 4993232.496,1398739.099 4993232.655,1398738.97 4993232.903,1398734.319 4993230.078,1398734.516 4993229.87,1398734.58 4993229.601,1398734.399 4993229.296,1398722.434 4993221.921,1398722.185 4993221.869,1398721.928 4993222.028,1398717.389 4993219.254,1398717.365 4993218.797,1398713.531 4993216.434,1398712.176 4993215.852,1398710.74 4993215.56,1398709.448 4993215.558,1398708.146 4993215.894,1398707.296 4993216.309,1398706.074 4993217.178,1398705.123 4993218.233,1398683.486 4993204.987,1398685.499 4993200.877,1398685.622 4993200.116,1398685.381 4993199.35,1398685.037 4993198.994,1398603.414 4993148.418,1398602.414 4993148.073,1398601.316 4993148.135,1398600.62 4993148.397,1398599.723 4993149.087,1398599.162 4993150.029,1398598.993 4993150.997,1398599.122 4993151.977,1398599.373 4993152.571,1398631.021 4993207.79,1398665.634 4993261.765));7978;CORSO REGIO PARCO;CORSO REGIO PARCO / VIA PINDEMONTE;PIAZZALE ALBERATO;6;COMUNALE;1398686,1875;4993226,5
POLYGON ((1392450.724 4985495.581,1392452.259 4985501.215,1392493.889 4985490.099,1392493.152 4985486.902,1392493.257 4985486.504,1392493.553 4985486.213,1392507.126 4985482.395,1392506.665 4985480.677,1392450.724 4985495.581));8976;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO (A NORD DEL CAMPO CALCETTO);BANCHINA ALBERATA;10;COMUNALE;1392479,4375;4985491
POLYGON ((1392847.347 4992903.465,1392852.026 4992917.562,1392862.531 4992916.029,1392853.439 4992888.791,1392852.3 4992885.914,1392850.816 4992883.178,1392849.454 4992881.259,1392847.908 4992879.504,1392841.07 4992879.868,1392840.557 4992879.989,1392840.13 4992880.284,1392840.019 4992880.558,1392840.11 4992881.099,1392844.588 4992895.134,1392847.347 4992903.465));6982;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA;BANCHINA ALBERATA;4;COMUNALE;1392851,25;4992899,75
POLYGON ((1398512.199 4997726.78,1398526.239 4997707.667,1398511.289 4997708.534,1398512.199 4997726.78));5985;VIA PIOPPI;VIA PLATANI / VIALE FALCHERA;VERDE VARIO;6;COMUNALE;1398516,57566667;4997714,327
POLYGON ((1398530.156 4993319.369,1398536.551 4993321.087,1398542.989 4993322.619,1398548.863 4993323.849,1398554.757 4993324.962,1398534.414 4993312.412,1398530.148 4993319.356,1398504.344 4993301.634,1398506.928 4993297.39,1398505.401 4993296.662,1398503.721 4993296.469,1398502.069 4993296.832,1398501.72 4993296.987,1398500.344 4993297.971,1398499.362 4993299.347,1398499.155 4993299.832,1398496.073 4993304.824,1398501.169 4993307.736,1398506.377 4993310.462,1398512.124 4993313.158,1398518.028 4993315.495,1398524.056 4993317.553,1398530.156 4993319.369));7979;VIA MONTEVERDI CLAUDIO;VIA MONTEVERDI CLAUDIO;AIUOLA SPARTITRAFFICO;6;COMUNALE;1398512,25;4993310,5
POLYGON ((1392450.724 4985495.581,1392506.665 4985480.677,1392498.156 4985448.969,1392497.91 4985448.403,1392497.445 4985447.94,1392497.014 4985447.786,1392496.582 4985447.826,1392441.707 4985462.503,1392450.724 4985495.581));8977;VIA CAMPANA FEDERICO;VIA CAMPANA FEDERICO;VERDE SCOLASTICO;10;COMUNALE;1392474,25;4985471,5
POLYGON ((1392921.15 4993128.785,1392936.224 4993127.896,1392871.248 4992930.613,1392856.183 4992932.632,1392921.15 4993128.785));6983;CORSO MONTE GRAPPA;CORSO MONTE GRAPPA;BANCHINA ALBERATA;4;COMUNALE;1392896,25;4993030
POLYGON ((1398365.567 4993260.429,1398381.884 4993252.722,1398471.756 4993307.781,1398464.824 4993319.355,1398468.176 4993321.307,1398475.491 4993309.66,1398475.819 4993308.888,1398475.862 4993308.082,1398475.526 4993307.276,1398474.895 4993306.646,1398382.071 4993249.691,1398381.355 4993249.422,1398380.592 4993249.365,1398379.846 4993249.449,1398379.127 4993249.679,1398363.959 4993256.83,1398365.567 4993260.429));7980;VIA MONTEVERDI CLAUDIO;VIA MONTEVERDI CLAUDIO (PARCHEGGIO);BANCHINA ALBERATA;6;COMUNALE;1398437,625;4993285,5
POLYGON ((1398392.391 4997669.635,1398391.066 4997646.295,1398390.48 4997646.367,1398387.481 4997642.297,1398389.463 4997641.338,1398388.033 4997638.38,1398385.508 4997638.531,1398383.335 4997637.692,1398381.868 4997619.95,1398381.162 4997619.378,1398380.367 4997619.077,1398323.521 4997622.09,1398323.24 4997622.524,1398324.579 4997635.173,1398325.701 4997641.931,1398322.699 4997643.494,1398311.271 4997648.027,1398308.182 4997649.095,1398296.679 4997652.32,1398283.034 4997658.354,1398279.77 4997665.388,1398279.792 4997673.149,1398324.883 4997671.97,1398362.622 4997670.265,1398392.391 4997669.635));5986;VIA BETULLE;VIA BETULLE;GIARDINO;6;COMUNALE;1398353,1875;4997646
POLYGON ((1392566.515 4985778.454,1392622.51 4985763.24,1392617.209 4985743.147,1392621.229 4985741.942,1392607.695 4985692.157,1392580.98 4985699.4,1392554.482 4985706.942,1392536.224 4985711.635,1392538.931 4985721.471,1392531.65 4985723.54,1392544.64 4985771.42,1392563.142 4985766.228,1392566.515 4985778.454));8978;VIA FLEMING ALESSANDRO;VIA FLEMING ALESSANDRO;VERDE SCOLASTICO;10;COMUNALE;1392577,125;4985735,5
