WKT_GEOM;ID_CAR_SHARING;DENOMINAZIONE;UBICAZIONE;URL;TIPO;ID_TIPO;COORD_X;COORD_Y
POINT (1393471.6151062 4983317.78034132);71;Giusti;Via Giusti, di fronte al numero 5;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1393471,6151062;4983317,78034132
POINT (1396242.22737952 4990013.42898563);72;Marconi;Corso Marconi, angolo Via Madama Cristina.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1396242,22737952;4990013,42898563
POINT (1396037.07997317 4983732.1988339);73;Borgo Navile;"Piazza Caduti per la Libert&agrave;";http://www.carcityclub.it/mappa-parcheggi;Classico;5;1396037,07997317;4983732,1988339
POINT (1394285.710187 4992367.29605375);74;Bernini;Corso Tassoni, angolo Piazza Bernini.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1394285,710187;4992367,29605375
POINT (1389967.98115749 4992142.16218826);75;Paradiso;"Corso Francia, di fronte alla Stazione Metro &quot;Paradiso&quot;";http://www.carcityclub.it/mappa-parcheggi;Classico;5;1389967,98115749;4992142,16218826
POINT (1388103.78909675 4990852.05128211);76;Matteotti;Piazza Matteotti, di fronte al numero 39.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1388103,78909675;4990852,05128211
POINT (1387522.97777472 4992596.35230435);77;Repubblica;Piazza della Repubblica, angolo Via Roma.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1387522,97777472;4992596,35230435
POINT (1388616.40669372 4994853.7259583);78;Ikea;Viale Svezia 1, Collegno. Parcheggio di sola sosta, riservato ai veicoli car sharing.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1388616,40669372;4994853,7259583
POINT (1392268.12990363 4978169.42484006);79;Marconi;Piazza Marconi, di fronte al numero 1.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1392268,12990363;4978169,42484006
POINT (1412177.96278237 5034797.84858949);80;Movicentro;Via Torino, area taxi;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1412177,96278237;5034797,84858949
POINT (1412166.6977377 5035419.04569777);81;Vittorio Emanuele;Piazza Vittorio Emanuele, di fronte al numero 21.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1412166,6977377;5035419,04569777
POINT (1412573.30617322 5035382.03523566);82;Freguglia;Piazza Freguglia, di fronte all'Ufficio Postale;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1412573,30617322;5035382,03523566
POINT (1425830.17357277 5045686.94705149);83;Unità d'Italia;Piazza Unità d'Italia.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1425830,17357277;5045686,94705149
