WKT_GEOM;ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;COORD_X;COORD_Y
POINT (1396254.24115305 4991112.24305782);1540;Stalli disabili;1;2009_02319;Nessuna;VIA GOBETTI PIERO;5;20150324000000;;
POINT (1396240.95684562 4991115.51423134);1541;Stalli disabili;1;2015_00737;Nessuna;VIA CAVOUR _BENSO DI_CAMILLO;1;20150324000000;;
POINT (1396800.86278471 4990872.4024519);1542;Stalli disabili;1;ND;Nessuna;VIA S_ MASSIMO;ND;20150324000000;;
POINT (1395879.6786308 4991387.05820607);1543;Stalli disabili;1;2007_04826;Nessuna;PIAZZA SOLFERINO;9;20150326000000;;
POINT (1395868.05494327 4991637.82570971);1544;Stalli disabili;1;ND;Nessuna;VIA CONFIENZA;2;20150326000000;;
POINT (1395979.11688843 4991499.86118307);1547;Stalli disabili;1;ND;Nessuna;VIA S_ FRANCESCO D_ASSISI;28;20150326000000;;
POINT (1396092.01193422 4991369.67365929);1548;Stalli disabili;1;ND;Nessuna;VIA ALFIERI VITTORIO;11;20150326000000;;
POINT (1396482.37726814 4990864.25718824);1549;Stalli disabili;1;ND;Nessuna;VIA DEI MILLE;7;20150326000000;;
POINT (1396444.99934165 4990791.11605676);1550;Stalli disabili;1;ND;Nessuna;VIA MAZZINI GIUSEPPE;16;20150326000000;;
POINT (1397760.14259356 4991373.69497463);1551;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;55;20150326000000;;
POINT (1397683.78670634 4991438.53443346);1552;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;60;20150326000000;;
POINT (1397672.20635491 4991456.16181853);1553;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;47;20150326000000;;
POINT (1397612.22033299 4991519.86065643);1554;Stalli disabili;1;ND;Nessuna;PIAZZA S_ GIULIA;1;20150326000000;;
POINT (1397671.03641876 4991522.8664474);1555;Stalli disabili;1;ND;Nessuna;PIAZZA S_ GIULIA;2;20150326000000;;
POINT (1397509.70690268 4991602.63280165);1556;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;38;20150326000000;;
POINT (1397446.83711062 4991670.6523864);1557;Stalli disabili;1;ND;Nessuna;VIA S_ GIULIA;31;20150326000000;;
POINT (1397344.61716544 4991695.03460211);1558;Stalli disabili;1;ND;Nessuna;VIA TARINO LUIGI;7;20150326000000;;
POINT (1397776.14066847 4991502.32985158);1559;Stalli disabili;1;ND;Nessuna;VIA BALBO CESARE;19;20150326000000;;
POINT (1397862.69853802 4991422.14476416);1560;Stalli disabili;1;ND;Nessuna;VIA BALBO CESARE;31;20150326000000;;
POINT (1397498.15934522 4991367.30133605);1562;Stalli disabili;1;ND;Nessuna;VIA GIULIA DI BAROLO;20;20150327000000;;
POINT (1397584.64226008 4991461.94062877);1563;Stalli disabili;1;ND;Nessuna;VIA GIULIA DI BAROLO;32;20150327000000;;
POINT (1395975.62041066 4990951.20566226);1564;Stalli disabili;1;ND;Nessuna;VIA S_ QUINTINO;2;20150327000000;;
POINT (1395929.67377726 4990937.60002883);1565;Stalli disabili;1;ND;Nessuna;VIA VOLTA ALESSANDRO;4;20150327000000;;
POINT (1398074.540217 4991426.11469204);1567;Stalli disabili;1;ND;Nessuna;VIA SINEO RICCARDO;7;20150327000000;;
POINT (1395462.21668341 4991209.93409544);1568;Stalli disabili;1;ND;Nessuna;CORSO FERRARIS GALILEO;35;20150327000000;;
POINT (1398043.26760225 4991457.29009603);1569;Stalli disabili;1;ND;Nessuna;VIA SINEO RICCARDO;5;20150327000000;;
POINT (1398045.18203794 4991420.07908345);1570;Stalli disabili;1;ND;Nessuna;VIA SINEO RICCARDO;12;20150327000000;;
POINT (1395424.43002802 4991229.53822237);1571;Stalli disabili;1;ND;Nessuna;CORSO FERRARIS GALILEO;26;20150327000000;;
POINT (1395370.66258041 4991271.30104751);1572;Stalli disabili;1;ND;Nessuna;VIA S_ QUINTINO;30;20150327000000;;
POINT (1395314.19320837 4991279.28270479);1573;Stalli disabili;1;ND;Nessuna;VIA AVOGADRO AMEDEO;8;20150327000000;;
POINT (1395221.57308463 4991341.69813761);1574;Stalli disabili;1;ND;Nessuna;VIA S_ QUINTINO;39;20150327000000;;
POINT (1394977.93286316 4991355.35541986);1576;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;102;20150327000000;;
POINT (1395055.067044 4991428.45181595);1577;Stalli disabili;1;ND;Nessuna;VIA S_ ANTONIO DA PADOVA;1;20150327000000;;
POINT (1395008.36976802 4991453.55091889);1578;Stalli disabili;1;ND;Nessuna;VIA S_ ANTONIO DA PADOVA;6;20150327000000;;
POINT (1395003.45076779 4991633.70615168);1579;Stalli disabili;1;ND;Nessuna;VIA GIUSTI GIUSEPPE;8;20150327000000;;
POINT (1395293.21442243 4991872.18083573);1580;Stalli disabili;1;ND;Nessuna;CORSO VINZAGLIO;4;20150327000000;;
POINT (1395753.95414174 4990887.82521447);1581;Stalli disabili;1;2003_00222;Nessuna;VIA GIOBERTI VINCENZO;2;20150327000000;;
POINT (1395750.93374841 4990816.36390648);1582;Stalli disabili;1;ND;Nessuna;VIA MAGENTA;6;20150327000000;;
POINT (1395624.09683928 4990893.02763249);1584;Stalli disabili;1;2002_01876;Nessuna;VIA MAGENTA;12;20150327000000;;
POINT (1395921.60080833 4991920.80867814);1585;Stalli disabili;1;ND;Nessuna;VIA S_ DALMAZZO;9;20150327000000;;
POINT (1395934.4343141 4991754.18527572);1586;Stalli disabili;1;ND;Nessuna;VIA STAMPATORI;ND;20150327000000;;
POINT (1395561.28075762 4990905.5813959);1587;Stalli disabili;1;2008_01896;Nessuna;CORSO RE UMBERTO;18;20150327000000;;
POINT (1395481.19397019 4990862.88385086);1588;Stalli disabili;1;ND;Nessuna;VIA VELA VINCENZO;1;20150327000000;;
POINT (1396219.13924742 4991042.32170372);1589;Stalli disabili;1;ND;Nessuna;VIA GOBETTI PIERO;15;20150327000000;;
POINT (1396133.71026424 4991012.13921538);1590;Stalli disabili;1;ND;Nessuna;VIA GRAMSCI ANTONIO;ND;20150327000000;;
POINT (1395781.71820918 4990586.68409051);1591;Stalli disabili;1;2005_03045;Nessuna;CORSO STATI UNITI;1;20150327000000;;
POINT (1395742.83278832 4990614.41123448);1592;Stalli disabili;1;ND;Nessuna;CORSO STATI UNITI;4;20150327000000;;
POINT (1395786.38001823 4990587.98261249);1593;Stalli disabili;1;ND;Nessuna;CORSO STATI UNITI;2;20150327000000;;
POINT (1396908.50123873 4990537.72608189);1594;Stalli disabili;1;ND;Nessuna;VIA MAZZINI GIUSEPPE;54;20150327000000;;
POINT (1397175.01834379 4990738.51077758);1596;Stalli disabili;1;ND;Nessuna;CORSO CAIROLI;4;20150327000000;;
POINT (1395873.41483296 4990756.2866758);1597;Stalli disabili;1;2002_00239;Nessuna;VIA MAGENTA;1;20150327000000;;
POINT (1397092.20750707 4990608.73803943);1598;Stalli disabili;1;ND;Nessuna;CORSO CAIROLI;12;20150327000000;;
POINT (1397068.11623121 4990565.37510961);1599;Stalli disabili;1;ND;Nessuna;CORSO CAIROLI;16;20150327000000;;
POINT (1396942.12362833 4990349.51026578);1600;Stalli disabili;1;ND;Nessuna;CORSO CAIROLI;32;20150327000000;;
POINT (1395662.40337479 4990775.14254678);1601;Stalli disabili;1;ND;Nessuna;VIA ASSIETTA;13;20150327000000;;
POINT (1396970.34544456 4990608.97911034);1602;Stalli disabili;1;ND;Nessuna;VIA DEI MILLE;31;20150327000000;;
POINT (1396878.94385566 4990658.10587777);1603;Stalli disabili;1;ND;Nessuna;VIA DEI MILLE;25;20150327000000;;
POINT (1396801.12460631 4990692.48593956);1604;Stalli disabili;1;ND;Nessuna;VIA DEI MILLE;34;20150327000000;;
POINT (1397563.65778564 4990717.50153055);1606;Stalli disabili;1;ND;Nessuna;PIAZZA GRAN MADRE DI DIO;2;20150330000000;;
POINT (1397516.76601329 4990621.40283389);1607;Stalli disabili;1;ND;Nessuna;VIA GIOANETTI VITTORIO AMEDEO;5;20150330000000;;
POINT (1398004.88344083 4991028.93957841);1608;Stalli disabili;1;ND;44 F;CORSO CASALE;44;20150330000000;;
POINT (1397249.72666752 4990345.88216705);1609;Stalli disabili;1;ND;Nessuna;CORSO MONCALIERI;19;20150330000000;;
POINT (1397254.71189573 4990113.15835346);1610;Stalli disabili;1;ND;Nessuna;CORSO FIUME;10;20150330000000;;
POINT (1396793.25765713 4990781.5200921);1611;Stalli disabili;1;ND;Nessuna;VIA PROVANA ANDREA;ND;20150331000000;;
POINT (1396891.46439477 4990884.08279483);1613;Stalli disabili;1;ND;Nessuna;PIAZZA CAVOUR;14;20150331000000;;
POINT (1396907.10157437 4990787.37543107);1614;Stalli disabili;1;ND;Nessuna;PIAZZA CAVOUR _BENSO DI_CAMILLO;ND;20150331000000;;
POINT (1397028.00845705 4990701.77779704);1615;Stalli disabili;1;ND;Nessuna;VIA CAVOUR _BENSO DI_CAMILLO;43;20150331000000;;
POINT (1397025.81356506 4990710.73359144);1616;Stalli disabili;1;ND;Nessuna;VIA DELLA ROCCA;ND;20150331000000;;
POINT (1396733.72322785 4990442.77713843);1617;Stalli disabili;1;ND;Nessuna;VIA CALANDRA FRATELLI;23;20150331000000;;
POINT (1396654.08467837 4990427.84117106);1619;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;3;20150331000000;;
POINT (1396224.96055245 4990657.22213579);1620;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;41;20150331000000;;
POINT (1396519.7860619 4990500.63998727);1621;Stalli disabili;1;ND;Nessuna;CORSO VITTORIO EMANUELE II;15;20150331000000;;
POINT (1397795.25191754 4990722.09184743);1622;Stalli disabili;1;1999;Nessuna;VIA SANTAROSA SANTORRE;10;20150331000000;;
POINT (1397113.19840041 4990127.82264267);1624;Stalli disabili;1;ND;Nessuna;VIA VOLTURNO;1;20150331000000;;
POINT (1396198.55442971 4990427.60378316);1625;Stalli disabili;1;ND;Nessuna;VIA S_ ANSELMO;14;20150331000000;;
POINT (1396269.86608681 4990556.17676297);1626;Stalli disabili;1;ND;Nessuna;VIA S_ ANSELMO;3;20150331000000;;
POINT (1396335.2866268 4990469.41481785);1627;Stalli disabili;1;ND;Nessuna;VIA PRINCIPE TOMMASO;4;20150331000000;;
POINT (1396302.70742642 4990408.77574884);1628;Stalli disabili;1;ND;Nessuna;VIA PRINCIPE TOMMASO;8;20150331000000;;
POINT (1396065.42153585 4990510.85398529);1629;Stalli disabili;1;ND;Nessuna;VIA SALUZZO;11;20150331000000;;
POINT (1397160.02841029 4990890.50850461);1630;Stalli disabili;1;ND;Nessuna;VIA DELLA ROCCA;7;20150331000000;;
POINT (1397903.2603183 4990808.15181908);1632;Stalli disabili;1;ND;nd;VIA MARTIRI DELLA LIBERT?;12;20150331000000;;
POINT (1395268.09387061 4990229.6153998);1633;Stalli disabili;1;ND;Nessuna;VIA GOVERNOLO;24;20150401000000;;
POINT (1395341.26651413 4990394.87773752);1635;Stalli disabili;1;ND;Nessuna;CORSO RE UMBERTO;53;20150401000000;;
POINT (1395964.32683546 4989038.82370387);1184;Stalli disabili;1;2002_03695;ND;CORSO D_AZEGLIO MASSIMO;78;20160125000000;;
POINT (1395965.77528147 4989450.29549661);1185;Stalli disabili;1;2001_00714;ND;Via Michelangelo;17;20160111000000;;
POINT (1395986.15486949 4990495.25060806);1189;Stalli disabili;1;2016_80584;ND;VIA NIZZA;15;20160527000000;;
POINT (1395993.73556083 4989362.72971902);1190;Stalli disabili;1;1999_02022;ND;VIA ORMEA;85;20160125000000;;
POINT (1396010.81196043 4989287.97865341);1194;Stalli disabili;1;2003_01930;ND;VIA GIURIA PIETRO;30;20160125000000;;
POINT (1396013.88689336 4987962.60009382);1195;Stalli disabili;1;2005;ND;VIA VILLA GLORI;21;20160111000000;;
