WKT_GEOM;ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;COORD_X;COORD_Y
MULTIPOLYGON (((1396379.139556 4990393.263009,1396345.456228 4990332.134006,1396365.832562 4990321.322073,1396399.042947 4990384.006675,1396379.139556 4990394.094696,1396379.139556 4990393.263009)),((1396361.258283 4990287.638745,1396384.545522 4990276.410969,1396430.704157 4990367.064864,1396409.496135 4990378.708484,1396403.0267 4990381.987513,1396409.080292 4990378.708484,1396361.258283 4990287.638745)),((1396399.042947 4990384.006675,1396403.0267 4990381.987513,1396399.100047 4990384.11445,1396399.042947 4990384.006675)));24;Madama Cristina;piazza Madama Cristina;dal lunedi al sabato;8;1396372,25;4990357,25
POLYGON ((1395691.318173 4989602.227085,1395650.945657 4989459.860844,1395667.944611 4989451.007222,1395707.962983 4989595.852477,1395707.254693 4989597.623201,1395691.318173 4989602.227085));29;Nizza;piazza Nizza;dal lunedi al sabato;8;1395679,5;4989526,5
POLYGON ((1395221.550124 4988005.353393,1395213.903485 4987979.966554,1395337.779023 4987941.733363,1395363.777593 4987898.606324,1395373.871155 4987895.853534,1395400.481456 4987984.554537,1395393.140683 4987987.307327,1395386.105776 4987987.001461,1395344.81393 4987967.731933,1395221.550124 4988005.353393));38;Spezia;corso Spezia, piazza Bozzolo;dal lunedi al sabato;8;1395349,625;4987950,5
POLYGON ((1392118.5232 4985875.609623,1392106.126978 4985859.951237,1392328.606537 4985734.031721,1392334.478431 4985750.342539,1392118.5232 4985875.609623));31;Pavese;via Pavese;dal lunedi al sabato;2;1392222;4985805
MULTIPOLYGON (((1396400.842142 4992468.716849,1396408.274699 4992467.230338,1396414.963999 4992511.825676,1396446.180736 4992493.244285,1396450.64027 4992502.906609,1396417.937022 4992531.150323,1396415.348218 4992533.318355,1396428.501 4992635.551341,1396424.913877 4992637.045975,1396424.316024 4992633.159926,1396422.223536 4992630.768511,1396415.348218 4992580.548799,1396404.287924 4992582.043433,1396393.22763 4992603.26724,1396391.434069 4992614.327534,1396395.320118 4992629.572804,1396409.369681 4992644.519146,1396398.608314 4992650.497684,1396383.960898 4992629.572804,1396382.167336 4992624.491047,1396385.156605 4992599.381191,1396395.619045 4992579.353091,1396405.483631 4992565.303529,1396411.462169 4992557.830357,1396410.565388 4992552.449674,1396408.771827 4992543.481868,1396294.581767 4992555.737869,1396290.695718 4992558.428211,1396274.852594 4992543.481868,1396291.891425 4992522.556988,1396282.923619 4992515.382744,1396343.904699 4992446.928493,1396354.068212 4992449.020981,1396291.293571 4992521.062354,1396314.908793 4992541.688307,1396312.218452 4992546.770064,1396314.609866 4992548.264698,1396409.369681 4992535.70977,1396400.842142 4992468.716849)),((1396351.078943 4992717.158373,1396356.459627 4992749.741401,1396354.964992 4992750.937108,1396352.872504 4992763.790963,1396354.666065 4992763.790963,1396331.050844 4992906.379075,1396326.566941 4992905.781221,1396325.072306 4992918.336149,1396322.680892 4992917.738295,1396312.816305 4992980.512936,1396305.343134 4992979.317228,1396317.898062 4992906.678002,1396339.121869 4992784.416916,1396328.958356 4992783.520136,1396321.485184 4992766.780232,1396338.524015 4992754.52423,1396338.822942 4992715.663739,1396351.078943 4992717.158373)),((1396393.526557 4992663.351539,1396431.789195 4992644.818073,1396456.002271 4992712.076617,1396447.632319 4992713.870178,1396452.116221 4992741.072522,1396466.165784 4992773.057696,1396474.535736 4992791.591161,1396462.877588 4992796.971844,1396441.952708 4992747.349986,1396434.18061 4992705.500226,1396421.027828 4992707.891641,1396417.141779 4992692.945298,1396417.141779 4992693.244224,1396393.526557 4992663.351539)));1;Balon;vie Borgo Dora, Lanino, Mameli, Andreis, Canale Molassi;sabato;7;1396320,1875;4992548,5
POLYGON ((1391494.692848 4988851.245817,1391471.896943 4988817.76433,1391436.990712 4988770.747775,1391434.853596 4988759.349822,1391444.826804 4988736.553916,1391595.84968 4988628.985736,1391635.030143 4988619.724899,1391695.581768 4988615.450667,1391697.006512 4988633.259968,1391634.317771 4988636.821829,1391608.672377 4988641.808433,1391582.314611 4988653.206386,1391467.62271 4988738.691032,1391455.512385 4988752.226101,1391455.512385 4988762.911682,1391460.49899 4988776.446751,1391484.71964 4988807.07875,1391503.241313 4988836.286004,1391508.227917 4988844.122096,1391494.692848 4988851.245817));28;Nitti;via Nitti;mercoledi, venerdi;2;1391462,0625;4988733,5
MULTIPOLYGON (((1392289.700061 4989238.063843,1392286.138201 4989170.388497,1392298.248526 4989168.963753,1392302.522758 4989231.652494,1392289.700061 4989238.063843)),((1392457.107494 4989166.826637,1392306.79699 4989245.187563,1392305.372246 4989233.78961,1392456.395122 4989154.00394,1392457.107494 4989166.826637)));2;Baltimora;vie Baltimora, Castelgomberto;dal lunedi al sabato;2;1392294,375;4989202,5
POLYGON ((1397347.165228 4993850.661121,1397327.05934 4993803.009003,1397239.203129 4993835.298038,1397219.304072 4993842.056208,1397218.928618 4993831.918953,1397242.957668 4993822.532606,1397333.066602 4993791.369932,1397357.095651 4993782.359039,1397391.63741 4993739.932749,1397389.009233 4993735.427302,1397393.890133 4993731.297309,1397402.150119 4993742.560926,1397415.666459 4993762.084528,1397474.237267 4993741.05911,1397477.991806 4993748.568188,1397420.171906 4993769.593606,1397446.453678 4993815.398982,1397439.320054 4993818.027159,1397410.785558 4993772.221784,1397361.601098 4993789.868117,1397341.319735 4993815.588162,1397353.54213 4993848.004079,1397347.165228 4993850.661121));20;Foroni;piazze Foroni, Cerignola, vie Baltea, Monterosa, Santhia';dal lunedi al sabato;6;1397347,4375;4993791
MULTIPOLYGON (((1393339.772435 4991221.856062,1393342.080625 4991039.124426,1393367.855403 4991040.663219,1393365.162515 4991206.083437,1393339.772435 4991221.856062)),((1393354.006268 4991270.020275,1393374.77997 4991257.325235,1393598.597372 4992029.145196,1393577.438972 4992039.916745,1393354.006268 4991270.020275)));35;S.Paolo-Racconigi;corso Racconigi tra corsi Vittorio e Peschiera;dal lunedi al sabato;3;1393353,875;4991126,5
POLYGON ((1393866.165897 4993042.517348,1393752.743866 4992647.742205,1393776.009923 4992640.263829,1393889.84742 4993035.454437,1393866.165897 4993042.517348));39;Svizzera;corso Svizzera tra piazza Perotti e via Bianze';dal lunedi al sabato;4;1393821,25;4992842
