WKT_GEOM;DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1395336.969 4990231.744);AGENZIE AFFARI;ALBATROS;VIA ANDREA MASSENA 60;No;400;10;1;47;10128;1395336.969;4990231.744
POINT (1395825.149 4991167.836);AGENZIE AFFARI;;VIA DON GIOVANNI MINZONI 14;No;126;04;1;14;10121;1395825.149;4991167.836
POINT (1396139.125 4987907.519);AGENZIE AFFARI;IMPRESA ONORANZE E TRASPORTI FUNEBRI LUX;CORSO MONCALIERI 256/F;No;2485;70;8;0;10133;1396139.125;4987907.519
POINT (1396109.498 4987818.448);AGENZIE AFFARI;;CORSO MONCALIERI 266;No;2485;70;8;773;10133;1396109.498;4987818.448
POINT (1399965.138 4994002.763);AGENZIE AFFARI;;STRADA DEL MEISINO 81 int. 38;No;2502;72;7;714;10132;1399965.138;4994002.763
POINT (1396035.273 4987603.326);AGENZIE AFFARI;;CORSO MONCALIERI 286;No;2464;69;8;771;10133;1396035.273;4987603.326
POINT (1396671.309 4990758.795);TRATTENIMENTI;COLORADO;VIA DEI MILLE 24/A;No;249;07;1;0;10123;1396671.309;4990758.795
POINT (1396822.923 4990679.575);AGENZIE AFFARI;PHOTO & CONTEMPORARY;VIA DEI MILLE 36;No;250;07;1;32;10123;1396822.923;4990679.575
POINT (1393615.622 4992904.324);AGENZIE AFFARI;;CORSO LECCE 72;No;1273;29;4;364;10143;1393615.622;4992904.324
POINT (1396877.499 4993812.463);AGENZIE VIAGGIO;;VIA MALONE 2/E;No;1686;38;6;0;10155;1396877.499;4993812.463
POINT (1395121.0815345 4995774.38870057);AGENZIE AFFARI;;VIA G. BATTISTA LULLI 27;No;1920;46;5;0;10148;1395121.0815345;4995774.38870057
POINT (1394230.306 4994920.139);AGENZIE VIAGGIO;TWO QUEENS HOLIDAY;VIA BERNARDINO LUINI 143/A;No;3397;48;5;501;10149;1394230.306;4994920.139
POINT (1395791.75 4990789.311);AGENZIE VIAGGIO;;VIA MAGENTA 5;No;373;10;1;41;10128;1395791.75;4990789.311
POINT (1394246.338 4987640.849);AGENZIE VIAGGIO;BLU TANGO;VIA MADONNA DELLE ROSE 69;No;3450;56;8;797;10134;1394246.338;4987640.849
POINT (1395419.368 4989287.732);AGENZIE AFFARI;PUBLIKOMPASS;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;1395419.368;4989287.732
POINT (1395419.368 4989287.732);AGENZIE VIAGGIO;ALPITORUR INCOMING;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;1395419.368;4989287.732
POINT (1395419.368 4989287.732);AGENZIE VIAGGIO;ALPITOUR;VIA ERNESTO LUGARO 15;No;897;20;8;756;10126;1395419.368;4989287.732
POINT (1397104.428 4994177.39);AGENZIE AFFARI;;VIA LEINI' 56;No;1638;38;6;564;10155;1397104.428;4994177.39
POINT (1391452.993 4986110.864);AGENZIE AFFARI;;VIA LEVONE 10;No;3595;90;2;877;10135;1391452.993;4986110.864
POINT (1396537.373 4991306.881);AGENZIE AFFARI;;VIA MARIA VITTORIA 10/D;No;117;04;1;0;10123;1396537.373;4991306.881
POINT (1396370.509 4989951.691);AGENZIE VIAGGIO;;CORSO GUGLIELMO MARCONI 33;No;361;09;8;733;10125;1396370.509;4989951.691
POINT (1396178.582 4990040.863);AGENZIE VIAGGIO;AVANTI TUTTA;CORSO GUGLIELMO MARCONI 19/B;No;359;09;8;0;10125;1396178.582;4990040.863
POINT (1395513.478 4988643.236);AGENZIE VIAGGIO;LM TOUR;VIA MADAMA CRISTINA 163;No;938;20;8;768;10126;1395513.478;4988643.236
POINT (1393916.503 4991687.6);AGENZIE AFFARI;IL MERCANTICO;VIA LOMBRIASCO 7;No;1428;33;3;230;10139;1393916.503;4991687.6
POINT (1397565.356 4992152.893);AGENZIE AFFARI;;VIA MANTOVA 34;No;1022;23;7;690;10153;1397565.356;4992152.893
POINT (1395925.082 4989437.423);AGENZIE AFFARI;ANGELUS;VIA MADAMA CRISTINA 85/F;No;872;19;8;0;10126;1395925.082;4989437.423
POINT (1392920.603 4991109.965);AGENZIE AFFARI;;VIA ISONZO 43/B;No;1525;34;3;0;10141;1392920.603;4991109.965
POINT (1395150.77 4992267.158);AGENZIE VIAGGIO;AUTHENTIC TRAVEL INTERNATIONAL;CORSO INGHILTERRA 57;No;728;17;3;195;10138;1395150.77;4992267.158
POINT (1395150.77 4992267.158);AGENZIE VIAGGIO;A.T.B. TRAVEL;CORSO INGHILTERRA 57;No;728;17;3;195;10138;1395150.77;4992267.158
POINT (1396664.695 4995337.221);AGENZIE AFFARI;GB CAR;CORSO GROSSETO 75;No;1823;43;5;433;10147;1396664.695;4995337.221
POINT (1394910.03 4991802.76);AGENZIE VIAGGIO;FRANCO ROSSO ITALIA;CORSO INGHILTERRA 17;No;756;17;3;200;10138;1394910.03;4991802.76
POINT (1396130.737 4990793.14);TRATTENIMENTI;THE SHANNON INN;VIA GIUSEPPE LUIGI LAGRANGE 42;No;149;04;1;16;10123;1396130.737;4990793.14
POINT (1391503.404 4990856.176);AGENZIE AFFARI;;VIA LA THUILE 25 bis/B;No;2406;63;3;0;10142;1391503.404;4990856.176
POINT (1397644.371 4990744.507);AGENZIE AFFARI;;PIAZZA GRAN MADRE DI DIO 5/C;No;525;13;8;0;10131;1397644.371;4990744.507
POINT (1394414.002 4996855.506);AGENZIE VIAGGIO;MONDO INVERSO;STRADA LANZO 161;No;2427;66;5;527;10148;1394414.002;4996855.506
POINT (1399849.17 4991495.704);AGENZIE AFFARI;;CORSO LUIGI KOSSUTH 49 int. 12;No;2494;71;7;711;10132;1399849.17;4991495.704
POINT (1396465.5 4995455.523);AGENZIE AFFARI;;VIA GIACOMO GROSSO 7/B;No;3355;43;5;0;10148;1396465.5;4995455.523
POINT (1393188.77395833 4995675.39583333);AGENZIE AFFARI;;CORSO GROSSETO 437;No;2421;65;5;521;10151;1393188.77395833;4995675.39583333
POINT (1394619.23 4996229.395);AGENZIE AFFARI;;VIA LANZO 73 bis/A;No;1902;46;5;0;10148;1394619.23;4996229.395
POINT (1395415.305 4989093.516);AGENZIE AFFARI;;VIA TOMMASO GROSSI 2/A;No;918;20;8;0;10126;1395415.305;4989093.516
POINT (1395167.77635247 4995483.27651571);AGENZIE AFFARI;;CORSO GROSSETO 247;No;1873;45;5;453;10147;1395167.77635247;4995483.27651571
POINT (1392927.627 4990767.749);AGENZIE AFFARI;;VIA ISSIGLIO 76/A;No;1533;34;3;0;10141;1392927.627;4990767.749
POINT (1395925.569 4995409.325);AGENZIE AFFARI;;CORSO GROSSETO 151/C;No;2675;43;5;0;10147;1395925.569;4995409.325
POINT (1393920.678 4993715.812);AGENZIE AFFARI;;STRADA DELLE GHIACCIAIE 52;No;1311;30;5;415;10143;1393920.678;4993715.812
POINT (1395781.584 4992097.278);AGENZIE VIAGGIO;WELCOME;VIA GIUSEPPE GARIBALDI 45;No;187;05;1;23;10122;1395781.584;4992097.278
POINT (1395549.699 4992210.703);AGENZIE VIAGGIO;VERTIGO TRAVEL;VIA GIUSEPPE GARIBALDI 59;No;192;05;1;22;10122;1395549.699;4992210.703
POINT (1390696.176 4992117.05);AGENZIE AFFARI;;VIA ANASTASIO GERMONIO 1;No;2385;63;3;315;10142;1390696.176;4992117.05
POINT (1390698.547 4992059.617);AGENZIE AFFARI;;VIA ANASTASIO GERMONIO 9;No;2385;63;3;315;10142;1390698.547;4992059.617
POINT (1396984.322 4990896.982);AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 39;No;237;06;1;29;10123;1396984.322;4990896.982
POINT (1397199.037 4990782.604);AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 51;No;239;06;1;29;10123;1397199.037;4990782.604
POINT (1397199.037 4990782.604);AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 51;No;239;06;1;29;10123;1397199.037;4990782.604
POINT (1396402.35 4991195.459);AGENZIE AFFARI;;VIA GIOVANNI GIOLITTI 6/C;No;125;04;1;0;10123;1396402.35;4991195.459
POINT (1395283.743 4989830.083);AGENZIE AFFARI;;VIA ANTONIO GENOVESI 2;No;1210;27;1;74;10128;1395283.743;4989830.083
POINT (1395405.953 4990235.755);AGENZIE AFFARI;;VIA VINCENZO GIOBERTI 64/A;No;401;10;1;0;10128;1395405.953;4990235.755
POINT (1394663.375 4992846.94);AGENZIE AFFARI;;VIA LUIGI GALVANI 12 bis/A;No;663;16;4;0;10144;1394663.375;4992846.94
POINT (1395355.916 4990115.539);AGENZIE VIAGGIO;GIOEMA;VIA VINCENZO GIOBERTI 73;No;406;10;1;46;10128;1395355.916;4990115.539
POINT (1395760.153 4990881.084);TRATTENIMENTI;CAFFETTERIA PICCADILLY;VIA VINCENZO GIOBERTI 1/C;No;367;10;1;0;10128;1395760.153;4990881.084
POINT (1395446.729 4988219.828);AGENZIE AFFARI;;VIA GENOVA 23/C;No;2230;57;8;0;10126;1395446.729;4988219.828
POINT (1395612.274 4994325.788);AGENZIE VIAGGIO;MUG VIAGGI;VIA ERRICO GIACHINO 73;No;1852;44;5;450;10149;1395612.274;4994325.788
POINT (1393969.333 4987507.741);AGENZIE AFFARI;;PIAZZA TANCREDI GALIMBERTI 4/E;No;2219;56;8;0;10134;1393969.333;4987507.741
POINT (1396627.759 4992732.14);AGENZIE VIAGGIO;AL IHSSAN;CORSO GIULIO CESARE 12/L;No;471;12;7;0;10152;1396627.759;4992732.14
POINT (1395750.703 4994121.08);TRATTENIMENTI;BIRRERIA MANHATTAN;VIA ERRICO GIACHINO 46;No;1856;44;5;451;10149;1395750.703;4994121.08
POINT (1393037.709 4988512.683);AGENZIE VIAGGIO;SEPT JOUR;VIA FILADELFIA 155 int. 15;No;3621;55;2;111;10137;1393037.709;4988512.683
POINT (1398306.843 4991836.243);AGENZIE AFFARI;;VIA ANTONIO FONTANESI 20/G;No;969;22;7;0;10153;1398306.843;4991836.243
POINT (1393379.039 4988485.287);AGENZIE VIAGGIO;QUATTRO PASSI;VIA FILADELFIA 121/B;No;2910;55;2;0;10137;1393379.039;4988485.287
POINT (1392739.28541667 4991423.34479167);AGENZIE VIAGGIO;;VIA GIOVANNI FATTORI 4;No;3662;51;3;271;10141;1392739.28541667;4991423.34479167
POINT (1393926.602 4991747.401);AGENZIE VIAGGIO;;VIA FREJUS 9;No;1428;33;3;230;10139;1393926.602;4991747.401
POINT (1392928.059 4991562.824);AGENZIE VIAGGIO;ARCHÈ TRAVEL;VIA FRASSINETO 49;No;1415;32;3;224;10139;1392928.059;4991562.824
POINT (1391531.832 4991942.512);AGENZIE AFFARI;TEBUS;VIA FIDIA 19;No;2067;51;3;274;10141;1391531.832;4991942.512
POINT (1394164.926 4991274.96);AGENZIE VIAGGIO;SANCARLO VIAGGI;CORSO FRANCESCO FERRUCCI 91;No;770;17bis;3;202;10138;1394164.926;4991274.96
POINT (1395767.447 4988589.052);AGENZIE AFFARI;;VIA PIO FOA' 83/C;No;941;20;8;0;10126;1395767.447;4988589.052
POINT (1394430.657 4998813.237);AGENZIE AFFARI;;STRADA DEL FRANCESE 4;No;2538;76;6;613;10156;1394430.657;4998813.237
POINT (1397542.316 4992075.813);AGENZIE AFFARI;;LUNGO DORA FIRENZE 129;No;1022;23;7;690;10153;1397542.316;4992075.813
POINT (1394996.26 4990388.963);AGENZIE AFFARI;;CORSO GALILEO FERRARIS 70;No;817;18;1;52;10129;1394996.26;4990388.963
POINT (1397242.471 4991467.282);TRATTENIMENTI;PEKOE;VIA GAUDENZIO FERRARI 13/E;No;212;06;1;0;10124;1397242.471;4991467.282
POINT (1395191.166 4989969.631);AGENZIE VIAGGIO;SPADARO GRUPPO INCENTIVE TRAVEL;VIA GAETANO FILANGIERI 14;No;1207;27;1;73;10128;1395191.166;4989969.631
POINT (1394402.515 4988263.105);AGENZIE AFFARI;;VIA ERASMO DA ROTTERDAM 12;No;2919;56;8;804;10134;1394402.515;4988263.105
POINT (1393851.644 4991162.916);AGENZIE AFFARI;;VIA CRISSOLO 12/D;No;1466;33;3;0;10138;1393851.644;4991162.916
POINT (1396478.527 4990905.63);AGENZIE AFFARI;;VIA ANDREA DORIA 10;No;110;03;1;12;10123;1396478.527;4990905.63
