,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
378,ROOFTOP,"Via Niccolò Paganini, 22, 10154 Torino TO, Italy",ChIJw1EFOHhyiEcRkpuLz5ofoV0,"VIA PAGANINI,22, TORINO, Italia",45.08540929999999,7.704685799999999,1,10154,OK,street_address
379,ROOFTOP,"Piazza di Robilant Carlo Generale, 5, 10141 Torino TO, Italy",ChIJV7SWw91siEcRzHEjFfGb20g,"PIAZZA ROBILANT,5, TORINO, Italia",45.06099,7.644819999999999,1,10141,OK,street_address
380,ROOFTOP,"Via Pianezza, 100, 10151 Torino TO, Italy",ChIJkau4SE9siEcRdSsfEqyiwlA,"VIA PIANEZZA 100, TORINO, Italia",45.0944002,7.650256799999999,1,10151,OK,street_address
381,ROOFTOP,"Piazza di Robilant Carlo Generale, 5, 10141 Torino TO, Italy",ChIJV7SWw91siEcRzHEjFfGb20g,"PIAZZA ROBILANT,5, TORINO, Italia",45.06099,7.644819999999999,1,10141,OK,street_address
382,ROOFTOP,"Corso Novara, 65, 10154 Torino TO, Italy",ChIJF9RTmoZtiEcRTxdPIUXZy8M,"CORSO NOVARA,65, TORINO, Italia",45.084002,7.697218899999999,1,10154,OK,street_address
383,ROOFTOP,"Via Lavagna, 8, 10126 Torino TO, Italy",ChIJB8gddLcSiEcRNbK2o3wkG-c,"VIA LAVAGNA, 8, TORINO, Italia",45.03348,7.669299999999999,1,10126,OK,street_address
384,ROOFTOP,"Via Paolo Braccini, 11, 10141 Torino TO, Italy",ChIJdVkeCSFtiEcR3MH6UwYbkvc,"VIA  BRACCINI 11, TORINO, Italia",45.0591951,7.6545136,1,10141,OK,street_address
385,ROOFTOP,"Via Gorizia, 7, 10136 Torino TO, Italy",ChIJO3KrndBsiEcRmhfi_Dk_OGQ,"VIA GORIZIA, 7, TORINO, Italia",45.0531382,7.642672999999998,1,10136,OK,street_address
386,ROOFTOP,"Via Lavagna, 8, 10126 Torino TO, Italy",ChIJB8gddLcSiEcRNbK2o3wkG-c,"VIA LAVAGNA, 8, TORINO, Italia",45.03348,7.669299999999999,1,10126,OK,street_address
387,ROOFTOP,"Corso Venezia, 29, 10147 Torino TO, Italy",ChIJuUX8QL5tiEcRgJbDNqnMiyA,"CORSO  VENEZIA 29, TORINO, Italia",45.0942245,7.6807889,1,10147,OK,street_address
388,ROOFTOP,"Corso Venezia, 29, 10147 Torino TO, Italy",ChIJuUX8QL5tiEcRgJbDNqnMiyA,"CORSO VENEZIA,29, TORINO, Italia",45.0942245,7.6807889,1,10147,OK,street_address
389,ROOFTOP,"Via Rovigo, 19, 10152 Torino TO, Italy",ChIJo4UeI6JtiEcR2_hc32RVNvg,"VIA ROVIGO,19, TORINO, Italia",45.08412999999999,7.67829,1,10152,OK,street_address
390,ROOFTOP,"Via Rovigo, 19, 10152 Torino TO, Italy",ChIJo4UeI6JtiEcR2_hc32RVNvg,"VIA ROVIGO 19, TORINO, Italia",45.08412999999999,7.67829,1,10152,OK,street_address
391,ROOFTOP,"Via Paolo Veronese, 305, 10148 Torino TO, Italy",ChIJea9GWSxsiEcRmjLnrh4TBpc,"VIA  VERONESE 305, TORINO, Italia",45.1110202,7.661804099999999,1,10148,OK,street_address
392,ROOFTOP,"Via Salerno, 60, 10152 Torino TO, Italy",ChIJ5fdRtaNtiEcRrlPd0HD6THw,"VIA SALERNO 60, TORINO, Italia",45.0848244,7.677486999999999,1,10152,OK,street_address
393,ROOFTOP,"Via Salerno, 60, 10152 Torino TO, Italy",ChIJ5fdRtaNtiEcRrlPd0HD6THw,"VIA SALERNO 60, TORINO, Italia",45.0848244,7.677486999999999,1,10152,OK,street_address
394,ROOFTOP,"Via Giulio Carcano, 31, 10154 Torino TO, Italy",ChIJ67sPHmJyiEcR208Xa_UyvnI,"VIA CARCANO, 31, TORINO, Italia",45.0772142,7.7170509,1,10154,OK,street_address
395,RANGE_INTERPOLATED,"Via Castelgomberto, 2, 10137 Torino TO, Italy",Ei5WaWEgQ2FzdGVsZ29tYmVydG8sIDIsIDEwMTM3IFRvcmlubyBUTywgSXRhbGlhIhoSGAoUChIJ9X09UTITiEcRVzvxUL2hyocQAg,"VIA CASTELGOMBERTO,2O, TORINO, Italia",45.04186780000001,7.6320289,1,10137,OK,street_address
396,ROOFTOP,"Via Paolo della Cella, 3, 10148 Torino TO, Italy",ChIJlYU8iMRtiEcRmqcqee_T2dM,"VIA P. DELLA CELLA, 3, TORINO, Italia",45.1048777,7.6786276,1,10148,OK,street_address
397,ROOFTOP,"Via Paolo della Cella, 3, 10148 Torino TO, Italy",ChIJlYU8iMRtiEcRmqcqee_T2dM,"VIA P. DELLA CELLA 3, TORINO, Italia",45.1048777,7.6786276,1,10148,OK,street_address
398,ROOFTOP,"Via Giovanni Paisiello, 42, 10154 Torino TO, Italy",ChIJV_4xd4ltiEcRrT4PRdbgMqY,"V.PAISIELLO 42, TORINO, Italia",45.0908155,7.7010137,1,10154,OK,street_address
399,ROOFTOP,"Via S. Giuseppe Benedetto Cottolengo, 14, 10152 Torino TO, Italy",ChIJV5P03J9tiEcR0LXzbMWxRO4,"V.COTTOLENGO 14, TORINO, Italia",45.0792741,7.680588599999999,1,10152,OK,street_address
400,ROOFTOP,"Via Cumiana, 14, 10141 Torino TO, Italy",ChIJF5GraeZsiEcR8ysAljdMQG4,"V.CUMIANA 14, TORINO, Italia",45.0661666,7.643379299999999,1,10141,OK,street_address
401,ROOFTOP,"Corso Siracusa, 10, 10136 Torino TO, Italy",ChIJ__-vksVsiEcRK_p5wai4oFo,"C.O SIRACUSA 10, TORINO, Italia",45.0547467,7.633800099999999,1,10136,OK,street_address
402,ROOFTOP,"Corso Unione Sovietica, 312, 10135 Torino TO, Italy",ChIJEUq59dgSiEcRbmx6hsp6uhA,"C.O UNIONE SOVIETICA 312, TORINO, Italia",45.031872,7.6446682,1,10135,OK,street_address
403,ROOFTOP,"Via Negarville, 8, 10135 Torino TO, Italy",ChIJYe3Fk24TiEcR_P-U8qN0VvU,"V.NEGARVILLE 30/8, TORINO, Italia",45.0208146,7.611606600000001,1,10135,OK,street_address
404,ROOFTOP,"Via Giovanni Paisiello, 1, 10154 Torino TO, Italy",ChIJAXdj1ohtiEcRoW7jaTN1VTU,"V.PAISIELLO 1, TORINO, Italia",45.0892777,7.6983044,1,10154,OK,street_address
405,ROOFTOP,"Via Livorno, 14, 10144 Torino TO, Italy",ChIJVy88sahtiEcRmxH-vhqBbt0,"V.LIVORNO 14, TORINO, Italia",45.083542,7.667475,1,10144,OK,street_address
406,ROOFTOP,"Corso Casale, 246, 10132 Torino TO, Italy",ChIJHVIE9_ZyiEcRxO7plBO5A94,"C.CASALE 246, TORINO, Italia",45.07298,7.729069999999999,1,10132,OK,street_address
407,ROOFTOP,"Via dei Mille, 19, 10123 Torino TO, Italy",ChIJD5AI5GZtiEcRN2jYKwNcZ34,"V.DEI MILLE 19, TORINO, Italia",45.062107,7.6888973,1,10123,OK,street_address
408,ROOFTOP,"Corso Carlo e Nello Rosselli, 5a, 10128 Torino TO, Italy",ChIJW8HFuTBtiEcR6yzgBJ-2G7M,"CORSO ROSSELLI,108/5/A, TORINO, Italia",45.050703,7.664529199999999,1,10128,OK,street_address
409,ROOFTOP,"Via S. Quintino, 13, 10121 Torino TO, Italy",ChIJ-W6jWhNtiEcRTUrnryUsgCU,"VIA SAN QUINTINO,13f, TORINO, Italia",45.0656078,7.6741112,1,10121,OK,street_address
410,ROOFTOP,"Via Augusto Abegg, 19, 10126 Torino TO, Italy",ChIJaUvl67QSiEcR_yaREwGWsKg,"V.ABEGG 19, TORINO, Italia",45.0403707,7.6719521,1,10126,OK,street_address
411,ROOFTOP,"Via S. Marino, 31, 10134 Torino TO, Italy",ChIJo9mWTtYSiEcRFT_ATZFeoIo,"VIA S.MARINO, 31, TORINO, Italia",45.0367288,7.646859399999999,1,10134,OK,street_address
412,RANGE_INTERPOLATED,"Via delle Verbene, 4, 10151 Torino TO, Italy",Ei1WaWEgZGVsbGUgVmVyYmVuZSwgNCwgMTAxNTEgVG9yaW5vIFRPLCBJdGFsaWEiGhIYChQKEgllAg69E2yIRxGOfV0cqE8QOBAE,"V.VERBENE  4, TORINO, Italia",45.1040976,7.633419300000001,1,10151,OK,street_address
413,ROOFTOP,"Via Gaudenzio Ferrari, 16, 10124 Torino TO, Italy",ChIJ8_gzz3xtiEcRfS7gSjWjxyk,"V.FERRARI 16, TORINO, Italia",45.0688913,7.694338699999999,1,10124,OK,street_address
414,ROOFTOP,"Via Ada Negri, 8, 10121 Torino TO, Italy",ChIJgx7_N9dsiEcRSYjfOf6HKk0,"VIA ADA NEGRI,8, TORINO, Italia",45.0518657,7.643868499999999,1,10121,OK,premise
415,ROOFTOP,"Via Giovanni Plana, 2, 10123 Torino TO, Italy",ChIJa_njx2NtiEcRcAp9_tBJ6t8,"V.PLANA 2, TORINO, Italia",45.0649392,7.693511200000001,1,10123,OK,street_address
416,ROOFTOP,"Via Vittorio Andreis, 18, 10152 Torino TO, Italy",ChIJj4yEap5tiEcRUekvVdR6Sc0,"VIA ANDREIS 18/25, TORINO, Italia",45.0799645,7.682939699999999,1,10152,OK,street_address
417,ROOFTOP,"Via Vestignè, 7, 10155 Torino TO, Italy",ChIJKy7ab5JtiEcRE-0ZgRhzUrU,"VIA VESTIGNE 7, TORINO, Italia",45.0937022,7.692903,1,10155,OK,street_address
418,ROOFTOP,"Corso Regina Margherita, 107, 10122 Torino TO, Italy",ChIJUQl1BHdtiEcRwS_6sa-VniI,"C.so R.MARGHER.107, TORINO, Italia",45.075554,7.6863711,1,10122,OK,street_address
419,ROOFTOP,"Via Sant'Anselmo, 7, 10125 Torino TO, Italy",ChIJBTYxK2htiEcRNmkQwO_w6aY,"VIA S.ANSELMO, 7, TORINO, Italia",45.0601146,7.681794099999999,1,10125,OK,street_address
420,ROOFTOP,"Via Giacinto Pacchiotti, 116, 10146 Torino TO, Italy",ChIJ5aeBqYhsiEcRpbuB76fpWts,"VIA PACCHIOTTI,116, TORINO, Italia",45.0783221,7.6226369,1,10146,OK,street_address
421,ROOFTOP,"Via Giovanni Migliara, 7, 10143 Torino TO, Italy",ChIJN4M0igBtiEcRjlnl_XJxiYE,"V.MIGLIARA 7, TORINO, Italia",45.0792503,7.6590957,1,10143,OK,street_address
422,GEOMETRIC_CENTER,"Corso Trento, 10129 Torino TO, Italy",ChIJvczQcz1tiEcRpuW2MjnIBME,"CORSO TRENTO, TORINO, Italia",45.0602043,7.664555599999999,1,10129,OK,route
423,ROOFTOP,"Strada Comunale Val S. Martino Superiore, 24, 10131 Torino TO, Italy",ChIJR8DUNZNyiEcR6MMqSOUjK3M,"STR.VAL S.MARTINO 24, TORINO, Italia",45.063437,7.718611600000001,2,10131,OK,street_address
424,ROOFTOP,"Via Val della Torre, 61, 10149 Torino TO, Italy",ChIJEelej0xsiEcRJpUv2-hJJa0,"V.VAL DELLA TORRE 61, TORINO, Italia",45.09383510000001,7.657329900000001,1,10149,OK,street_address
425,ROOFTOP,"Via Assietta, 17, 10128 Torino TO, Italy",ChIJ4ZwX2BRtiEcRQnZyrWxT1LU,"V.ASSIETTA 17, TORINO, Italia",45.0628038,7.6732084,1,10128,OK,street_address
426,ROOFTOP,"Via Sant'Anselmo, 7, 10125 Torino TO, Italy",ChIJBTYxK2htiEcRNmkQwO_w6aY,"V.S.ANSELMO 7, TORINO, Italia",45.0601146,7.681794099999999,1,10125,OK,street_address
427,ROOFTOP,"Corso Peschiera, 364A, 10139 Torino TO, Italy",ChIJySyQ_I1siEcRzQ9e3BBOf5g,"C.SO PESCHIERA 364/A, TORINO, Italia",45.0735823,7.6271494,1,10139,OK,street_address
428,ROOFTOP,"Via S. Pio V, 11, 10125 Torino TO, Italy",ChIJu29jI2htiEcRIqlM4LOwsoY,"VIA SAN PIO V,11, TORINO, Italia",45.0603237,7.6828878,1,10125,OK,street_address
