Categoria criminologa,Sottocategoria Criminologica,CIRCOSCRIZ,Localita,Area Verde,Data,Ora
Allarme Sociale,Altro,7,NAPOLI/(LUNGO DORA),,2015-02-11,
Allarme Sociale,Altro,3,MILLIO/FRANCESCO (VIA),,2015-02-12,
Allarme Sociale,Altro,2,SANREMO/(VIA),,2015-02-19,
Allarme Sociale,Altro,5,BRAVIN/GIUSEPPE (VIA),,2015-02-27,
Allarme Sociale,Altro,3,FRANCIA/(CORSO),,2015-03-03,
Allarme Sociale,Altro,9,BENGASI/(PIAZZA),,2015-03-03,
Allarme Sociale,Altro,6,MONTANARO/(VIA),,2015-03-09,
Allarme Sociale,Altro,4,BIANCHI/NICOMEDE (VIA),,2015-03-10,
Allarme Sociale,Altro,8,NIZZA/(VIA),,2015-03-11,
Allarme Sociale,Altro,3,POLLENZO/(VIA),,2015-03-13,
Allarme Sociale,Altro,1,REGINA MARGHERITA/(CORSO),,2015-03-18,
Allarme Sociale,Altro,7,MODENA/(VIA),,2015-03-18,11.05
Allarme Sociale,Altro,2,SANREMO/(VIA),,2015-03-26,12.28
Allarme Sociale,Altro,1,STATUTO/(PIAZZA),,2015-04-02,
Allarme Sociale,Altro,7,CIRIO/FRANCESCO (VIA),,2015-04-13,
Allarme Sociale,Altro,3,MILLIO/FRANCESCO (VIA),,2015-04-15,
Allarme Sociale,Altro,10,BERTANI/AGOSTINO (VIA),,2015-04-15,
Allarme Sociale,Altro,9,CAIO PLINIO/(CORSO),,2015-04-16,
Allarme Sociale,Altro,8,BRAMANTE/(CORSO),,2015-04-17,
Allarme Sociale,Altro,9,PASSO BUOLE/(VIA),,2015-05-28,
Allarme Sociale,Altro,7,BAZZI/GIOVANNI ANTONIO (VIA),,2015-06-04,
Allarme Sociale,Altro,10,BERTANI/AGOSTINO (VIA),,2015-06-04,
Allarme Sociale,Altro,7,CECCHI/ANTONIO (VIA),,2015-06-11,
Allarme Sociale,Altro,3,BORSELLINO/PAOLO (VIA)/,,2015-06-15,
Allarme Sociale,Altro,6,GRESSONEY/(VIA),,2015-06-15,9.3
Allarme Sociale,Altro,6,SOANA/(VIA),,2015-06-15,11.0
Allarme Sociale,Altro,8,D'AZEGLIO/MASSIMO (CORSO),,2015-06-19,14.0
Allarme Sociale,Altro,4,PIANEZZA/(VIA),,2015-06-22,
Allarme Sociale,Altro,10,BERTANI/AGOSTINO (VIA),Area Verde,2015-06-25,
Allarme Sociale,Altro,7,EMILIA/(CORSO),,2015-06-26,
Allarme Sociale,Altro,3,LUSERNA DI RORA'/EMANUELE (VIA),,2015-06-26,12.51
Allarme Sociale,Altro,1,MILLE/(VIA DEI),,2015-06-30,
Allarme Sociale,Altro,7,EMILIA/(CORSO),,2015-06-30,
Allarme Sociale,Atti di vandalismo,,,,2015-03-16,
Allarme Sociale,Atti di vandalismo,9,BENGASI/(PIAZZA),,2015-04-22,
Allarme Sociale,Atti di vandalismo,8,CELLINI/BENVENUTO (VIA),,2015-06-03,14.57
Convivenza Civile,Aggregazioni giovanili,2,OSOPPO/(VIA),Area Verde,2015-01-15,
Convivenza Civile,Aggregazioni giovanili,,,,2015-02-20,
Convivenza Civile,Aggregazioni giovanili,2,OSOPPO/(VIA),,2015-05-05,
Convivenza Civile,Aggregazioni giovanili,6,CHIESA/(VIA ALLA),,2015-06-05,15.41
Convivenza Civile,Aggregazioni giovanili,5,CINCINNATO/L. QUINZIO (CORSO),,2015-06-26,
Convivenza Civile,Altro,1,CARLO ALBERTO/(PIAZZA),,2015-01-02,
Convivenza Civile,Altro,6,FOSSATA/(VIA),,2015-01-05,
Convivenza Civile,Altro,9,CROCE/BENEDETTO (CORSO),,2015-01-05,
Convivenza Civile,Altro,9,CROCE/BENEDETTO (CORSO),,2015-01-05,
Convivenza Civile,Altro,7,NAPOLI/(LUNGO DORA),,2015-01-08,
Convivenza Civile,Altro,7,PRINCIPE ODDONE/(CORSO),,2015-01-08,
Convivenza Civile,Altro,3,CHIOMONTE/(VIA),,2015-01-09,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO),,2015-01-11,
Convivenza Civile,Altro,1,GIORDANA/CARLO (VIA),,2015-01-12,
Convivenza Civile,Altro,7,BRA/(VIA),,2015-01-12,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO),,2015-01-13,
Convivenza Civile,Altro,4,MONTE GRAPPA/(CORSO),,2015-01-13,
Convivenza Civile,Altro,7,CASALE/(CORSO),,2015-01-13,9.39
Convivenza Civile,Altro,,,,2015-01-14,
Convivenza Civile,Altro,1,S. CARLO/(PIAZZA),,2015-01-14,
Convivenza Civile,Altro,5,CASTELDELFINO/(VIA),,2015-01-14,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO),,2015-01-15,
Convivenza Civile,Altro,8,MONTI/VINCENZO (VIA),,2015-01-15,
Convivenza Civile,Altro,7,BELGIO/(CORSO),,2015-01-15,10.14
Convivenza Civile,Altro,1,PASCOLI/GIOVANNI (CORSO),,2015-01-15,12.03
Convivenza Civile,Altro,2,UNIONE SOVIETICA/(CORSO),,2015-01-16,
Convivenza Civile,Altro,3,PALMIERI/PIETRO (VIA),,2015-01-16,
Convivenza Civile,Altro,6,PALESTRINA/PIER LUIGI (VIA),,2015-01-18,
Convivenza Civile,Altro,1,POMBA/GIUSEPPE (VIA),,2015-01-19,
Convivenza Civile,Altro,,,,2015-01-20,
Convivenza Civile,Altro,4,CIBRARIO/LUIGI (VIA),,2015-01-20,
Convivenza Civile,Altro,7,VAL S. MARTINO SUPERIORE/(STRADA),,2015-01-20,
Convivenza Civile,Altro,1,RE UMBERTO/(CORSO),,2015-01-20,16.55
Convivenza Civile,Altro,2,DINA/GIACOMO (VIA),,2015-01-22,
Convivenza Civile,Altro,3,VALDIERI/(VIA),,2015-01-22,
Convivenza Civile,Altro,7,S. PIETRO IN VINCOLI/(VIA),,2015-01-22,
Convivenza Civile,Altro,4,FRANCIA/(CORSO),,2015-01-23,
Convivenza Civile,Altro,6,PALERMO/(CORSO),,2015-01-26,11.0
Convivenza Civile,Altro,9,ARNALDO DA BRESCIA/(VIA),,2015-01-26,11.08
Convivenza Civile,Altro,,,Area Verde,2015-01-29,
Convivenza Civile,Altro,4,CLEMENTE/STEFANO (VIA),,2015-01-30,
Convivenza Civile,Altro,3,VILLA GIUSTI/(VIA),,2015-01-31,
Convivenza Civile,Altro,5,COSSA/PIETRO (VIA),,2015-01-31,
Convivenza Civile,Altro,7,BELLARDO/(STRADA DEL),,2015-02-01,
Convivenza Civile,Altro,7,MARTINI/LORENZO (VIA),,2015-02-01,
Convivenza Civile,Altro,,,,2015-02-02,
Convivenza Civile,Altro,1,BATTISTI/CESARE (VIA),,2015-02-02,
Convivenza Civile,Altro,2,COSENZA/(CORSO),,2015-02-02,
Convivenza Civile,Altro,3,SERAO/MATILDE (VIA),,2015-02-02,
Convivenza Civile,Altro,6,VALPRATO/(VIA),,2015-02-02,
Convivenza Civile,Altro,3,S. MARIA MAZZARELLO/(VIA),,2015-02-02,10.0
Convivenza Civile,Altro,5,SAORGIO/(VIA),,2015-02-02,12.1
Convivenza Civile,Altro,3,ADAMELLO/(VIA),,2015-02-03,
Convivenza Civile,Altro,8,SALUZZO/(VIA),,2015-02-03,
Convivenza Civile,Altro,6,LAZIO/(LUNGO STURA),,2015-02-04,
Convivenza Civile,Altro,5,GROSSETO/(CORSO),,2015-02-06,
Convivenza Civile,Altro,6,BIASONI/(STRADA DEI),,2015-02-06,
Convivenza Civile,Altro,9,LAVAGNA/(VIA),,2015-02-06,
Convivenza Civile,Altro,4,PRINCIPI D'ACAJA/(VIA),,2015-02-09,8.44
Convivenza Civile,Altro,1,RE UMBERTO/(CORSO),,2015-02-10,
Convivenza Civile,Altro,6,VIGEVANO/(CORSO),,2015-02-10,
Convivenza Civile,Altro,8,MONCALIERI/(CORSO),,2015-02-10,
Convivenza Civile,Altro,3,MONTE ORTIGARA/(VIA),,2015-02-12,
Convivenza Civile,Altro,6,S. MAURO/(STRADA),,2015-02-13,
Convivenza Civile,Altro,6,CAMPOBASSO/(VIA),,2015-02-16,
Convivenza Civile,Altro,5,VEROLENGO/(VIA),,2015-02-17,
Convivenza Civile,Altro,6,LAZIO/(LUNGO STURA),,2015-02-17,
Convivenza Civile,Altro,1,VOLTA/ALESSANDRO (VIA),,2015-02-18,
Convivenza Civile,Altro,6,MERCADANTE/SAVERIO (VIA),,2015-02-18,
Convivenza Civile,Altro,7,ANTONELLI/ALESSANDRO (LUNGO PO),,2015-02-18,
Convivenza Civile,Altro,8,TADINI/(STRADA DEI),,2015-02-18,
Convivenza Civile,Altro,8,GALILEO GALILEI/(CORSO),,2015-02-19,
Convivenza Civile,Altro,7,BRESCIA/(CORSO),,2015-02-22,
Convivenza Civile,Altro,3,RACCONIGI/(CORSO),,2015-02-23,
Convivenza Civile,Altro,4,CAPELLI/CARLO (VIA),,2015-02-23,
Convivenza Civile,Altro,7,MONGRENO/(STRADA),,2015-02-23,
Convivenza Civile,Altro,5,BORGARO/(VIA),,2015-02-24,
Convivenza Civile,Altro,6,SETTIMO/(STRADA DI),,2015-02-24,
Convivenza Civile,Altro,,,,2015-02-25,
Convivenza Civile,Altro,1,MARIA VITTORIA/(VIA),,2015-02-25,
Convivenza Civile,Altro,1,ROSSELLI/CARLO E NELLO (CORSO),,2015-02-25,
Convivenza Civile,Altro,8,SALUZZO/(VIA),,2015-02-26,
Convivenza Civile,Altro,1,CAIROLI/(CORSO),,2015-02-27,
Convivenza Civile,Altro,6,FELETTO/(VIA),,2015-02-27,11.45
Convivenza Civile,Altro,4,SVIZZERA/(CORSO),,2015-02-27,12.02
Convivenza Civile,Altro,1,VANCHIGLIA/(VIA),,2015-02-28,
Convivenza Civile,Altro,1,REGINA MARGHERITA/(CORSO),,2015-03-03,
Convivenza Civile,Altro,5,ORVIETO/(VIA),,2015-03-03,
Convivenza Civile,Altro,6,TARANTO/(CORSO),,2015-03-04,
Convivenza Civile,Altro,6,VISTRORIO/(VIA),,2015-03-04,
Convivenza Civile,Altro,1,SACCHI/PAOLO (VIA),,2015-03-05,
Convivenza Civile,Altro,8,PELLICO/SILVIO (VIA),,2015-03-05,
Convivenza Civile,Altro,1,CONFIENZA/(VIA),,2015-03-06,
Convivenza Civile,Altro,5,MAGNANO/(VIA),,2015-03-06,
Convivenza Civile,Altro,8,DANTE/(CORSO),,2015-03-06,
Convivenza Civile,Altro,2,GONIN/FRANCESCO (VIA),,2015-03-09,
Convivenza Civile,Altro,5,STAMPALIA/(PIAZZA),,2015-03-09,
Convivenza Civile,Altro,7,AMALFI/(VIA),,2015-03-09,12.14
Convivenza Civile,Altro,1,S. TOMMASO/(VIA),,2015-03-10,
Convivenza Civile,Altro,10,TAZZOLI/ENRICO (CORSO),,2015-03-10,
Convivenza Civile,Altro,8,DANTE/(CORSO),,2015-03-12,
Convivenza Civile,Altro,3,ISSIGLIO/(VIA),,2015-03-13,
Convivenza Civile,Altro,5,GUBBIO/(VIA),,2015-03-14,
Convivenza Civile,Altro,3,DUCHESSA JOLANDA/(VIA),,2015-03-16,10.4
Convivenza Civile,Altro,2,BAROCCHIO/(STRADA DEL),,2015-03-18,
Convivenza Civile,Altro,2,SEBASTOPOLI/(CORSO),,2015-03-18,
Convivenza Civile,Altro,7,BELGIO/(CORSO),,2015-03-18,
Convivenza Civile,Altro,4,SOSTEGNO/(VIA),,2015-03-19,
Convivenza Civile,Altro,5,GIACHINO/ERRICO (VIA),,2015-03-19,
Convivenza Civile,Altro,6,S. MAURO/(STRADA),,2015-03-19,
Convivenza Civile,Altro,7,PRIOCCA/CLEMENTE DAMIANO (VIA),,2015-03-19,
Convivenza Civile,Altro,6,RIVAROSSA/(VIA),,2015-03-19,9.36
Convivenza Civile,Altro,5,FORLI'/(VIA),Area Verde,2015-03-20,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO),,2015-03-21,
Convivenza Civile,Altro,4,LOCANA/(VIA),,2015-03-22,
Convivenza Civile,Altro,4,TASSONI/ALESSANDRO (CORSO),,2015-03-23,
Convivenza Civile,Altro,7,EMILIA/(CORSO),,2015-03-23,
Convivenza Civile,Altro,4,PRINCIPESSA CLOTILDE/(VIA),,2015-03-23,10.24
Convivenza Civile,Altro,3,S. ANTONINO/(VIA),,2015-03-24,
Convivenza Civile,Altro,6,SETTIMO/(STRADA DI),,2015-03-24,
Convivenza Civile,Altro,8,FALCONIERI/(STRADA DEI),,2015-03-24,
Convivenza Civile,Altro,1,CONSOLATA/(VIA DELLA),,2015-03-25,
Convivenza Civile,Altro,6,GOTTARDO/(VIA),,2015-03-26,
Convivenza Civile,Altro,6,BARBANIA/(VIA),,2015-03-27,
Convivenza Civile,Altro,1,PIGAFETTA/ANTONIO (VIA),,2015-03-30,
Convivenza Civile,Altro,7,EMILIA/(CORSO),,2015-03-30,
Convivenza Civile,Altro,6,CIGNA/FRANCESCO (VIA),Area Verde,2015-03-31,
Convivenza Civile,Altro,2,DE BERNARDI/LAMBERTO (VIA),,2015-04-02,
Convivenza Civile,Altro,8,NIZZA/(VIA),,2015-04-02,
Convivenza Civile,Altro,6,PAVAROLO/(VIA),,2015-04-03,
Convivenza Civile,Altro,4,FRANCIA/(CORSO),,2015-04-08,
Convivenza Civile,Altro,9,SEBASTOPOLI/(CORSO),,2015-04-08,
Convivenza Civile,Altro,1,CAVOUR (VIA),,2015-04-09,
Convivenza Civile,Altro,3,SAFFI/AURELIO (VIA),,2015-04-09,
Convivenza Civile,Altro,5,SANSOVINO/ANDREA (VIA),,2015-04-09,
Convivenza Civile,Altro,4,S. GIOVANNI BOSCO/(VIA),,2015-04-10,
Convivenza Civile,Altro,6,GIULIO CESARE/(CORSO),,2015-04-10,
Convivenza Civile,Altro,1,OZANAM/FEDERICO (VIA),,2015-04-12,
Convivenza Civile,Altro,1,PRINCIPE AMEDEO/(VIA),,2015-04-13,
Convivenza Civile,Altro,8,DANTE/(CORSO),,2015-04-13,
Convivenza Civile,Altro,8,SALUZZO/(VIA),,2015-04-13,
Convivenza Civile,Altro,7,BAVA/EUSEBIO (VIA),,2015-04-15,
Convivenza Civile,Altro,7,BELLARDO/(STRADA DEL),,2015-04-15,
Convivenza Civile,Altro,10,MONASTIR/(VIA),,2015-04-15,
Convivenza Civile,Altro,5,GROSSETO/(CORSO),,2015-04-16,
Convivenza Civile,Altro,2,SANREMO/(VIA),,2015-04-17,
Convivenza Civile,Altro,7,CECCHI/ANTONIO (VIA),,2015-04-17,
Convivenza Civile,Altro,2,ROSSELLI/CARLO E NELLO (CORSO),,2015-04-20,
Convivenza Civile,Altro,5,BONGIOVANNI/EMILIO (VIA),,2015-04-20,
Convivenza Civile,Altro,7,S. SEBASTIANO PO/(VIA),,2015-04-20,
Convivenza Civile,Altro,4,ROSAI/OTTONE(CORSO),,2015-04-21,
Convivenza Civile,Altro,7,BELGIO/(CORSO),,2015-04-21,
Convivenza Civile,Altro,7,CECCHI/ANTONIO (VIA),,2015-04-21,
Convivenza Civile,Altro,4,APPIO CLAUDIO/(CORSO),,2015-04-23,
Convivenza Civile,Altro,4,RISORGIMENTO/(PIAZZA),,2015-04-27,
Convivenza Civile,Altro,6,SOFIA/(PIAZZA),,2015-04-28,
Convivenza Civile,Altro,7,TERAMO/(VIA),,2015-04-29,9.36
Convivenza Civile,Altro,3,RACCONIGI/(CORSO),,2015-04-30,
Convivenza Civile,Altro,4,FRANCIA/(CORSO),,2015-05-04,
Convivenza Civile,Altro,5,CIAMARELLA/(VIA),,2015-05-04,
Convivenza Civile,Altro,7,AOSTA/(VIA),,2015-05-04,
Convivenza Civile,Altro,6,CIMAROSA/DOMENICO (VIA),,2015-05-07,
Convivenza Civile,Altro,8,GALLIARI/BERNARDINO (VIA),,2015-05-07,
Convivenza Civile,Altro,8,S. MARGHERITA/(STRADA),,2015-05-08,
Convivenza Civile,Altro,1,RE UMBERTO/(CORSO),,2015-05-11,
Convivenza Civile,Altro,10,PORTOFINO/(VIA),,2015-05-11,
Convivenza Civile,Altro,6,CEBROSA/(STRADA DELLA),,2015-05-14,
Convivenza Civile,Altro,1,LAGRANGE/GIUSEPPE LUIGI (VIA),,2015-05-15,
Convivenza Civile,Altro,6,CASCINOTTO/(STRADA DEL),,2015-05-15,
Convivenza Civile,Altro,6,FORONI/JACOPO (VIA),,2015-05-15,
Convivenza Civile,Altro,8,THOVEZ/ENRICO (VIALE),,2015-05-16,
Convivenza Civile,Altro,1,MICCA/PIETRO (VIA),,2015-05-18,
Convivenza Civile,Altro,2,SALICETO/(VIA),,2015-05-18,
Convivenza Civile,Altro,3,S. MARIA MAZZARELLO/(VIA),,2015-05-19,
Convivenza Civile,Altro,4,CARRERA/VALENTINO (VIA),,2015-05-19,14.56
Convivenza Civile,Altro,5,ROCCAVIONE CONTE DI/(VIA),,2015-05-21,
Convivenza Civile,Altro,8,SEI VILLE/(STRADA ALLE),,2015-05-21,
Convivenza Civile,Altro,1,STATI UNITI/(CORSO),,2015-05-22,
Convivenza Civile,Altro,6,TOCE/(VIA),,2015-05-22,
Convivenza Civile,Altro,6,CRUTO/ALESSANDRO (VIA),,2015-05-23,
Convivenza Civile,Altro,4,LIVORNO/(VIA),,2015-05-25,
Convivenza Civile,Altro,6,MONTANARO/(VIA),,2015-05-25,
Convivenza Civile,Altro,8,ORMEA/(VIA),,2015-05-25,12.15
Convivenza Civile,Altro,1,VINZAGLIO/(CORSO),,2015-05-26,
Convivenza Civile,Altro,9,SEBASTOPOLI/(CORSO),,2015-05-26,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2015-05-27,
Convivenza Civile,Altro,3,COLLEGNO/GIACINTO (VIA),,2015-05-28,9.04
Convivenza Civile,Altro,8,TIZIANO VECELLIO/(VIA),,2015-05-31,
Convivenza Civile,Altro,1,LAGRANGE/GIUSEPPE LUIGI (VIA),,2015-06-01,
Convivenza Civile,Altro,1,PRINCIPE EUGENIO/(CORSO),,2015-06-03,
Convivenza Civile,Altro,3,FRANCIA/(CORSO),,2015-06-03,
Convivenza Civile,Altro,5,LUINI/BERNARDINO (VIA),,2015-06-03,
Convivenza Civile,Altro,7,GERDIL/SIGISMONDO (VIA),,2015-06-03,
Convivenza Civile,Altro,10,TONALE/(VIA),,2015-06-03,
Convivenza Civile,Altro,1,TASSO/TORQUATO (VIA),,2015-06-03,11.01
Convivenza Civile,Altro,1,CASTELLO/(PIAZZA),,2015-06-03,10.35
Convivenza Civile,Altro,,,,2015-06-04,
Convivenza Civile,Altro,1,PALESTRO/(CORSO),,2015-06-04,
Convivenza Civile,Altro,3,PALMIERI/PIETRO (VIA),,2015-06-04,
Convivenza Civile,Altro,6,AVONDO/VITTORIO (VIA),,2015-06-04,11.0
Convivenza Civile,Altro,7,LESSOLO/(VIA),,2015-06-05,
Convivenza Civile,Altro,8,LOMBROSO/CESARE (VIA),,2015-06-08,
Convivenza Civile,Altro,5,COPPINO/MICHELE (VIA),,2015-06-09,
Convivenza Civile,Altro,6,MERCADANTE/SAVERIO (VIA),,2015-06-09,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO),,2015-06-09,
Convivenza Civile,Altro,8,D'AZEGLIO/MASSIMO (CORSO),,2015-06-09,
Convivenza Civile,Altro,3,VITTORIO EMANUELE II/(CORSO),,2015-06-10,
Convivenza Civile,Altro,9,CERCENASCO/(VIA),,2015-06-10,
Convivenza Civile,Altro,5,BRUSA/EMILIO (VIA),,2015-06-11,
Convivenza Civile,Altro,4,PINELLI/PIERDIONIGI (VIA),,2015-06-12,
Convivenza Civile,Altro,5,FOLIGNO/(VIA),,2015-06-12,
Convivenza Civile,Altro,6,SCARLATTI/ALESSANDRO (VIA),,2015-06-12,
Convivenza Civile,Altro,1,LORIA/ACHILLE (VIA),,2015-06-12,10.11
Convivenza Civile,Altro,3,BRUNELLESCHI/FILIPPO (CORSO),,2015-06-15,
Convivenza Civile,Altro,6,DONATORE DI SANGUE/(PIAZZA DEL),,2015-06-15,
Convivenza Civile,Altro,7,S. GIULIA/(PIAZZA),,2015-06-15,
Convivenza Civile,Altro,7,TOTI/ENRICO (PIAZZA),,2015-06-15,
Convivenza Civile,Altro,,,Area Verde,2015-06-15,9.0
Convivenza Civile,Altro,6,BOLOGNA/(VIA),,2015-06-15,9.39
Convivenza Civile,Altro,6,SETTIMO/(STRADA DI),,2015-06-16,
Convivenza Civile,Altro,6,CRUTO/ALESSANDRO (VIA),,2015-06-16,7.51
Convivenza Civile,Altro,7,S. GIULIA/(VIA),,2015-06-16,8.47
Convivenza Civile,Altro,3,RACCONIGI/(CORSO),,2015-06-17,
Convivenza Civile,Altro,9,ALASSIO/(VIA),,2015-06-17,
Convivenza Civile,Altro,5,BORSI/GIOSUE' (VIA),,2015-06-17,15.43
Convivenza Civile,Altro,6,AGLIE'/(VIA),,2015-06-19,
Convivenza Civile,Altro,8,FIUME/(CORSO),,2015-06-19,
Convivenza Civile,Altro,7,GASSINO/(VIA),,2015-06-20,15.4
Convivenza Civile,Altro,6,PALESTRINA/PIER LUIGI (VIA),,2015-06-22,
Convivenza Civile,Altro,2,CASTELGOMBERTO/(VIA),,2015-06-23,
Convivenza Civile,Altro,2,FILADELFIA/(VIA),,2015-06-23,
Convivenza Civile,Altro,2,FILADELFIA/(VIA),,2015-06-23,
Convivenza Civile,Altro,3,CASALIS/GOFFREDO (VIA),,2015-06-26,
Convivenza Civile,Altro,9,SEBASTOPOLI/(CORSO),,2015-06-26,
Convivenza Civile,Altro,1,VINZAGLIO/(CORSO),,2015-06-29,
Convivenza Civile,Altro,7,POLIZIANO/(VIA),,2015-06-29,
Convivenza Civile,Altro,6,CROCE ROSSA ITALIANA (C.R.I.)/(PIAZZALE),,2015-06-29,15.3
Convivenza Civile,Altro,1,S. SECONDO/(VIA),,2015-06-30,8.25
Convivenza Civile,Comportamenti molesti,1,MICCA/PIETRO (VIA),,2015-01-10,
Convivenza Civile,Comportamenti molesti,7,OROPA/(VIA),,2015-01-16,
Convivenza Civile,Comportamenti molesti,6,VERCELLI/(CORSO),,2015-01-21,
Convivenza Civile,Comportamenti molesti,7,EMILIA/(CORSO),,2015-01-22,
Convivenza Civile,Comportamenti molesti,8,ADUA/(PIAZZALE),,2015-02-09,13.3
Convivenza Civile,Comportamenti molesti,10,GARRONE FRATELLI (VIA),,2015-03-05,
Convivenza Civile,Comportamenti molesti,9,CANELLI/(VIA),,2015-03-13,12.1
Convivenza Civile,Comportamenti molesti,3,POLLENZO/(VIA),,2015-04-07,
Convivenza Civile,Comportamenti molesti,8,BELFIORE/(VIA),,2015-04-12,
Convivenza Civile,Comportamenti molesti,1,GARIBALDI/GIUSEPPE (VIA),,2015-04-19,
Convivenza Civile,Comportamenti molesti,6,ULIVI/(VIA DEGLI),,2015-04-23,
Convivenza Civile,Comportamenti molesti,1,S. SECONDO/(VIA),,2015-04-24,
Convivenza Civile,Comportamenti molesti,9,CORRADINO/CORRADO (VIA),,2015-04-29,13.37
Convivenza Civile,Comportamenti molesti,1,CONSOLATA/(PIAZZA DELLA),,2015-05-11,
Convivenza Civile,Comportamenti molesti,3,MONGINEVRO/(VIA),,2015-05-15,
Convivenza Civile,Comportamenti molesti,4,TELESIO/BERNARDINO (CORSO),,2015-05-18,
Convivenza Civile,Comportamenti molesti,10,PALMA DI CESNOLA/LUIGI (VIA),,2015-05-26,11.04
Convivenza Civile,Comportamenti molesti,3,BRUNELLESCHI/FILIPPO (CORSO),,2015-05-26,11.44
Convivenza Civile,Comportamenti molesti,8,D'AZEGLIO/MASSIMO (CORSO),Area Verde,2015-06-06,
Convivenza Civile,Comportamenti molesti,2,OSOPPO/(VIA),,2015-06-08,
Convivenza Civile,Comportamenti molesti,6,GOTTARDO/(VIA),,2015-06-08,
Convivenza Civile,Comportamenti molesti,7,BUNIVA/MICHELE (VIA),,2015-06-08,
Convivenza Civile,Comportamenti molesti,1,BASILICA/(VIA DELLA),,2015-06-11,11.3
Convivenza Civile,Comportamenti molesti,5,COSSA/PIETRO (VIA),,2015-06-12,
Convivenza Civile,Comportamenti molesti,6,ALFANO/FRANCO (VIA),,2015-06-16,
Convivenza Civile,Comportamenti molesti,4,PEYRON/AMEDEO (PIAZZA),,2015-06-18,7.32
Convivenza Civile,Comportamenti molesti,4,FOSSANO/(VIA),,2015-06-25,
Convivenza Civile,Comportamenti molesti,4,LESSONA/MICHELE (VIA),,2015-06-26,15.2
Convivenza Civile,Comportamenti molesti,6,ANGLESIO/MARTINO (VIA),,2015-06-26,15.3
Convivenza Civile,Disturbi Cani,9,CARAMAGNA/(VIA),,2015-01-02,
Convivenza Civile,Disturbi Cani,4,SOBRERO/ASCANIO (VIA),,2015-01-05,
Convivenza Civile,Disturbi Cani,3,FIDIA/(VIA),,2015-01-09,
Convivenza Civile,Disturbi Cani,5,COPPINO/MICHELE (VIA),,2015-01-09,
Convivenza Civile,Disturbi Cani,4,RIVARA/(VIA),,2015-01-20,
Convivenza Civile,Disturbi Cani,6,CHERUBINI/LUIGI SALVATORE (VIA),,2015-01-30,
Convivenza Civile,Disturbi Cani,3,MONTE CUCCO/(CORSO),,2015-02-10,
Convivenza Civile,Disturbi Cani,5,LANZO/(VIA),,2015-02-10,
Convivenza Civile,Disturbi Cani,10,RISMONDO/FRANCESCO (VIA),,2015-02-11,
Convivenza Civile,Disturbi Cani,3,INGHILTERRA/(CORSO),,2015-02-12,12.11
Convivenza Civile,Disturbi Cani,1,PRINCIPE AMEDEO/(VIA),,2015-02-13,
Convivenza Civile,Disturbi Cani,1,LEGNANO/(VIA),,2015-02-16,
Convivenza Civile,Disturbi Cani,6,VILLARETTO/(STRADA DEL),,2015-02-20,
Convivenza Civile,Disturbi Cani,2,PASQUE/PIEMONTESI 1655/(VIA)/,,2015-02-23,
Convivenza Civile,Disturbi Cani,6,GHIRLANDAIO/(PIAZZA),,2015-03-02,
Convivenza Civile,Disturbi Cani,8,BERTHOLLET/CLAUDIO LUIGI (VIA),,2015-03-10,
Convivenza Civile,Disturbi Cani,7,ARTISTI/(VIA),,2015-03-12,
Convivenza Civile,Disturbi Cani,6,CHERUBINI/LUIGI SALVATORE (VIA),Area Verde,2015-03-18,
Convivenza Civile,Disturbi Cani,5,BREGLIO/(VIA),,2015-03-25,
Convivenza Civile,Disturbi Cani,7,KOSSUTH/LUIGI (CORSO),,2015-03-26,
Convivenza Civile,Disturbi Cani,5,FORLI'/(VIA),,2015-03-27,
Convivenza Civile,Disturbi Cani,,,Area Verde,2015-04-02,
Convivenza Civile,Disturbi Cani,8,FEBO/(VIA),Area Verde,2015-04-17,
Convivenza Civile,Disturbi Cani,2,RICALDONE/(VIA),,2015-04-20,
Convivenza Civile,Disturbi Cani,5,BREGLIO/(VIA),,2015-05-06,
Convivenza Civile,Disturbi Cani,5,BIBIANA/(VIA),,2015-05-16,
Convivenza Civile,Disturbi Cani,8,MADAMA CRISTINA/(PIAZZA),,2015-05-21,
Convivenza Civile,Disturbi Cani,5,COSSA/PIETRO (VIA),,2015-06-09,
Convivenza Civile,Disturbi Cani,2,BISTAGNO/(VIA),,2015-06-11,
Convivenza Civile,Disturbi Cani,5,BORGARO/(VIA),,2015-06-11,
Convivenza Civile,Disturbi Cani,5,PEONIE/(VIA DELLE),,2015-06-11,
Convivenza Civile,Disturbi Cani,3,BOSSOLASCO/(VIA),,2015-06-12,
Convivenza Civile,Disturbi Cani,7,BEINASCO/(VIA),,2015-06-17,11.19
Convivenza Civile,Disturbi Cani,2,FRINCO/(VIA),,2015-06-18,
Convivenza Civile,Disturbi Cani,3,ASIAGO/(VIA),,2015-06-25,
Convivenza Civile,Disturbi Cani,6,VERNA/(STRADA DELLA),,2015-06-29,
