Categoria criminologa,Sottocategoria Criminologica,CIRCOSCRIZ,Localita,Area Verde,Data,Ora
Convivenza Civile,Altro,6,LEMMI/FRANCESCO (VIA),,2016-01-15,12.56
Convivenza Civile,Altro,7,VERCELLI/(CORSO),,2016-01-15,12.56
Convivenza Civile,Altro,6,CAVAGLIA'/ENRICO (VIA),,2016-01-16,
Convivenza Civile,Altro,1,MAZZINI/GIUSEPPE (VIA),,2016-01-18,
Convivenza Civile,Altro,7,OSLAVIA/(VIA),,2016-01-18,
Convivenza Civile,Altro,1,CESARE AUGUSTO/(PIAZZA),,2016-01-18,12.47
Convivenza Civile,Altro,4,BALME/(VIA),,2016-01-20,
Convivenza Civile,Altro,4,CARRERA/VALENTINO (VIA),,2016-01-20,
Convivenza Civile,Altro,7,SIENA/(LUNGO DORA),,2016-01-20,
Convivenza Civile,Altro,6,PUCCINI/GIACOMO (VIA),,2016-01-20,9.42
Convivenza Civile,Altro,5,GROSSETO/(CORSO),,2016-01-21,
Convivenza Civile,Altro,5,BREGLIO/(VIA),,2016-01-21,9.5
Convivenza Civile,Altro,7,TRAFORO DI PINO/(STRADA AL),,2016-01-21,9.5
Convivenza Civile,Altro,1,LAMARMORA/ALFONSO (VIA),,2016-01-22,
Convivenza Civile,Altro,8,BRAMANTE/(CORSO),,2016-01-22,
Convivenza Civile,Altro,9,VIGLIANI/ONORATO (VIA),,2016-01-22,
Convivenza Civile,Altro,5,PRIMULE/(VIA DELLE),,2016-01-22,11.31
Convivenza Civile,Altro,6,GERMAGNANO/(VIA),,2016-01-24,
Convivenza Civile,Altro,4,MARTINETTO/(VIA),,2016-01-25,
Convivenza Civile,Altro,6,CHIESA/DAMIANO (VIA),,2016-01-25,
Convivenza Civile,Altro,9,BENGASI/(PIAZZA),,2016-01-25,
Convivenza Civile,Altro,6,SANTHIA'/(VIA),,2016-01-25,13.5
Convivenza Civile,Altro,4,BIANCHI/NICOMEDE (VIA),,2016-01-26,
Convivenza Civile,Altro,3,SANFRONT/(VIA),,2016-01-26,9.07
Convivenza Civile,Altro,6,CHERUBINI/LUIGI SALVATORE (VIA),,2016-01-26,15.53
Convivenza Civile,Altro,1,S. FRANCESCO D'ASSISI/(VIA),,2016-01-27,
Convivenza Civile,Altro,7,CARMAGNOLA/(VIA),,2016-01-27,8.26
Convivenza Civile,Altro,7,CASALE/(CORSO),,2016-01-27,12.33
Convivenza Civile,Altro,7,BELGIO/(CORSO),,2016-01-29,9.35
Convivenza Civile,Altro,3,ROSSELLI/CARLO E NELLO (CORSO),,2016-02-01,
Convivenza Civile,Altro,1,BOLZANO/(CORSO),,2016-02-02,
Convivenza Civile,Altro,1,MINZONI/DON GIOVANNI (VIA),,2016-02-02,
Convivenza Civile,Altro,3,AVIGLIANA/(VIA),,2016-02-02,
Convivenza Civile,Altro,,,,2016-02-03,
Convivenza Civile,Altro,2,GAIDANO/PAOLO (VIA),,2016-02-03,
Convivenza Civile,Altro,6,MARTORELLI/RENATO (VIA),,2016-02-03,
Convivenza Civile,Altro,2,FRATTINI/PIETRO (VIA),,2016-02-04,
Convivenza Civile,Altro,8,ORMEA/(VIA),,2016-02-04,
Convivenza Civile,Altro,8,RIBET/GIOVANNI (VIA),,2016-02-04,
Convivenza Civile,Altro,1,CASTELFIDARDO/(CORSO),,2016-02-05,
Convivenza Civile,Altro,1,SAVOIA/(PIAZZA),,2016-02-05,10.45
Convivenza Civile,Altro,1,GOVERNOLO/(VIA),,2016-02-07,18.27
Convivenza Civile,Altro,3,PESCHIERA/(CORSO),,2016-02-08,
Convivenza Civile,Altro,7,PEDROTTI/CARLO (VIA),,2016-02-08,
Convivenza Civile,Altro,7,ALESSANDRIA/(VIA),,2016-02-10,
Convivenza Civile,Altro,1,DE NICOLA/ENRICO (CORSO),,2016-02-11,9.31
Convivenza Civile,Altro,5,PIANEZZA/(VIA),,2016-02-13,
Convivenza Civile,Altro,10,DROSSO/(STRADA DEL),,2016-02-13,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO),,2016-02-15,
Convivenza Civile,Altro,9,PIACENZA/(VIA),,2016-02-15,9.29
Convivenza Civile,Altro,3,CARSO/(VIA),,2016-02-16,
Convivenza Civile,Altro,1,S. FRANCESCO D'ASSISI/(VIA),,2016-02-17,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2016-02-17,
Convivenza Civile,Altro,3,GENOLA/(VIA),,2016-02-18,
Convivenza Civile,Altro,1,SOLFERINO/(PIAZZA),,2016-02-19,
Convivenza Civile,Altro,6,SANTHIA'/(VIA),,2016-02-19,
Convivenza Civile,Altro,7,AOSTA/(VIA),,2016-02-19,
Convivenza Civile,Altro,4,BORGOSESIA/(VIA),,2016-02-19,17.31
Convivenza Civile,Altro,6,BERTOLLA/(STRADA),,2016-02-21,
