DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;QUARTIERE;geometry;LATITUDE;LONGITUDE
TRATTENIMENTI;COOK AUSTRALIAN CAFÈ;VIA URBANO RATTAZZI 2/H;No;142;04;1;0;10123;;POINT (7.681760080253358 45.0636179676921);45.063617967692096;7.681760080253358
AGENZIE AFFARI;;VIA GUGLIELMO REISS ROMOLI 130;No;2440;67;5;534;10148;;POINT (7.684805738416356 45.10968629250261);45.10968629250261;7.6848057384163555
TRATTENIMENTI;BAR AUGUSTUS;VIA ROMA 86;No;90;03;1;9;10121;;POINT (7.683371526247074 45.06905698248931);45.06905698248931;7.683371526247074
AGENZIE VIAGGIO;CLUB MEDITERRANEE;VIA ROMA 360;No;139;04;1;16;10121;;POINT (7.680191851291299 45.06467513176613);45.06467513176613;7.6801918512912986
AGENZIE VIAGGIO;SIRAMANI;CORSO RE UMBERTO 12;No;317;08;1;36;10121;;POINT (7.674237835359964 45.0653304769319);45.065330476931905;7.674237835359964
AGENZIE VIAGGIO;EXTRATOUR;CORSO RE UMBERTO 12;No;317;08;1;36;10121;;POINT (7.674237835359964 45.0653304769319);45.065330476931905;7.674237835359964
AGENZIE VIAGGIO;;CORSO RE UMBERTO 35 bis;No;381;10;1;42;10128;;POINT (7.67220234974883 45.06145986208747);45.06145986208747;7.67220234974883
AGENZIE VIAGGIO;;CORSO RE UMBERTO 74;No;1206;27;1;68;10128;;POINT (7.667515903877638 45.05589359084664);45.05589359084664;7.667515903877638
AGENZIE VIAGGIO;;CORSO RE UMBERTO 74;No;1206;27;1;68;10128;;POINT (7.667515903877638 45.05589359084664);45.05589359084664;7.667515903877638
AGENZIE VIAGGIO;P & H TRAVEL INCOMING;CORSO RE UMBERTO 126;No;1226;27;1;71;10128;;POINT (7.662676758250208 45.05129545306658);45.05129545306658;7.662676758250208
AGENZIE AFFARI;;VIA QUINCINETTO 30;No;2436;66;5;531;10148;;POINT (7.661607644285359 45.11410205649662);45.11410205649662;7.661607644285359
AGENZIE AFFARI;;PIAZZA REBAUDENGO CONTI 10/B;No;1758;41;6;0;10155;;POINT (7.695775123406717 45.10263579055226);45.10263579055226;7.695775123406717
AGENZIE VIAGGIO;SILLIS VIAGGI;VIA RIVALTA 32;No;1558;35;3;268;10141;;POINT (7.651505345458269 45.05645913551418);45.05645913551418;7.651505345458269
AGENZIE VIAGGIO;GENGIS KHAM;VIA RODOLFO RENIER 3;No;1563;35;3;262;10141;;POINT (7.646123452472063 45.05777105151981);45.057771051519815;7.646123452472063
TRATTENIMENTI;MOOD CAFÉ;PIAZZA DELLA REPUBBLICA 6;No;4;01;1;2;10122;;POINT (7.684165112270658 45.07564343644037);45.075643436440366;7.684165112270658
TRATTENIMENTI;RISTORANTE ROMOLETTO;PIAZZA DELLA REPUBBLICA 8;No;4;01;1;2;10122;;POINT (7.68459645562977 45.07580322667017);45.07580322667017;7.68459645562977
AGENZIE VIAGGIO;CASAVOYAGEURS;PIAZZA DELLA REPUBBLICA 10/A;No;4;01;1;0;10122;;POINT (7.684661542074848 45.07589891691325);45.07589891691325;7.684661542074848
AGENZIE AFFARI;IL CIELO;CORSO RACCONIGI 134;No;1539;34;3;256;10141;;POINT (7.644897971051975 45.06288189606057);45.062881896060574;7.644897971051975
AGENZIE VIAGGIO;ZALUN VIAGGI;CORSO RACCONIGI 136/C;No;1539;34;3;0;10141;;POINT (7.644905018806801 45.06269923703094);45.06269923703094;7.644905018806801
AGENZIE VIAGGIO;VIAGGI SOLIDALI;PIAZZA DELLA REPUBBLICA 14/B;No;510;12;7;0;10152;;POINT (7.685169385456151 45.07708967090385);45.07708967090385;7.685169385456151
AGENZIE VIAGGIO;ATLAS IFRANE;PIAZZA DELLA REPUBBLICA 24/C;No;510;12;7;0;10152;;POINT (7.68460708304162 45.0779478274081);45.077947827408096;7.6846070830416195
AGENZIE VIAGGIO;LUNEDIANA VIAGGI;CORSO RACCONIGI 150;No;1540;34;3;256;10141;;POINT (7.644952429999543 45.06162501055606);45.061625010556064;7.6449524299995435
AGENZIE AFFARI;;CORSO REGIO PARCO 2;No;518;12;7;648;10153;;POINT (7.690416714120456 45.07488382420762);45.07488382420762;7.690416714120456
AGENZIE VIAGGIO;DELLA ROCCA VIAGGI;VIA DELLA ROCCA 2;No;233;06;1;29;10123;;POINT (7.694018776071412 45.06445721536254);45.064457215362545;7.694018776071412
AGENZIE AFFARI;;CORSO S. MAURIZIO 51;No;442;11;7;644;10124;;POINT (7.695465812991369 45.06922678638813);45.06922678638813;7.695465812991369
TRATTENIMENTI;RISTORANTE PIZZERIA ROSSELLI;CORSO CARLO E NELLO ROSSELLI 155 int. 3;No;1574;35;3;261;10141;;POINT (7.645979542484088 45.05472809472762);45.05472809472762;7.645979542484088
AGENZIE AFFARI;CDM;CORSO CARLO E NELLO ROSSELLI 169/I;No;1573;35;3;0;10141;;POINT (7.641774876506831 45.05615486082747);45.05615486082747;7.6417748765068305
AGENZIE AFFARI;;VIA S. BERNARDINO 2;No;1499;33;3;245;10141;;POINT (7.648659826256521 45.06203482054762);45.062034820547616;7.648659826256521
AGENZIE AFFARI;;VIA S. BERNARDINO 17;No;1497;33;3;244;10141;;POINT (7.645823417956835 45.06211074155042);45.06211074155042;7.6458234179568345
AGENZIE AFFARI;;VIA S. BERNARDINO 31;No;1540;34;3;256;10141;;POINT (7.644107939782557 45.06221348577942);45.06221348577942;7.644107939782557
TRATTENIMENTI;CAFFE' SAN CARLO;PIAZZA S. CARLO 156;No;115;04;1;13;10121;;POINT (7.68234783716993 45.06830144593883);45.06830144593883;7.68234783716993
TRATTENIMENTI;CAFFÈ TORINO;PIAZZA S. CARLO 204;No;115;04;1;13;10121;;POINT (7.681801835464202 45.06754071406509);45.06754071406509;7.681801835464202
AGENZIE AFFARI;;STRADA S. MAURO 226;No;2580;79;6;627;10156;;POINT (7.75065763572267 45.10248482432426);45.10248482432426;7.7506576357226695
TRATTENIMENTI;ON AIR;VIA S. CHIARA 24 bis/C;No;12;01;1;0;10122;;POINT (7.680040656651447 45.07567278579669);45.07567278579669;7.680040656651447
AGENZIE AFFARI;;VIA S. CHIARA 60;No;152;05;1;17;10122;;POINT (7.671058697710565 45.07873726271608);45.07873726271608;7.671058697710565
AGENZIE AFFARI;MASNA';PIAZZA S. GIULIA 2/A;No;425;11;7;0;10124;;POINT (7.699709187455424 45.06944739989756);45.06944739989756;7.699709187455424
AGENZIE VIAGGIO;SHAMS TRAVEL;STRADA S. MAURO 184/C;No;2578;79;6;0;10156;;POINT (7.745701715976766 45.10174010224847);45.10174010224847;7.745701715976766
TRATTENIMENTI;MONDOZERO;VIA S. DOMENICO 7;No;24;01;1;1;10122;;POINT (7.681010580932396 45.07444806215579);45.07444806215579;7.681010580932396
AGENZIE AFFARI;;VIA S. DONATO 5;No;667;16;4;331;10144;;POINT (7.668313424933824 45.0778881568552);45.0778881568552;7.668313424933824
TRATTENIMENTI;COPACABANA;VIA S. MARINO 31;No;2177;55;2;120;10134;;POINT (7.646655567177993 45.03682711489537);45.03682711489537;7.646655567177993
AGENZIE AFFARI;;VIA S. DONATO 40 bis/E;No;657;16;4;0;10144;;POINT (7.66467070921329 45.08033943858565);45.080339438585646;7.66467070921329
AGENZIE AFFARI;;VIA S. DONATO 75/B;No;661;16;4;0;10144;;POINT (7.659039549632693 45.08243618787804);45.08243618787804;7.659039549632693
AGENZIE AFFARI;;VIA NORBERTO ROSA 13 scala A;No;1748;40;6;587;10154;;POINT (7.713679474855465 45.08966565826493);45.08966565826493;7.713679474855465
AGENZIE AFFARI;;VIA ROSARIO SANTA FE' 31/A;No;2209;56;8;0;10134;;POINT (7.652984299098195 45.03437261553461);45.03437261553461;7.652984299098195
TRATTENIMENTI;ZERO' S KAFE';VIA S. AGOSTINO 8/D;No;30;01;1;0;10122;;POINT (7.679483222990238 45.07403418848996);45.07403418848996;7.679483222990238
TRATTENIMENTI;LA NOTTOLA;VIA S. AGOSTINO 17/C;No;15;01;1;0;10122;;POINT (7.680257032863018 45.07520625697605);45.07520625697605;7.680257032863018
TRATTENIMENTI;QUARANTA;VIA DELLE ROSINE 16/A;No;236;06;1;0;10123;;POINT (7.690985771531389 45.06455926634106);45.064559266341064;7.6909857715313885
TRATTENIMENTI;HAFA CAFÉ;VIA S. AGOSTINO 23/C;No;12;01;1;0;10122;;POINT (7.680527685182547 45.07559031699233);45.075590316992326;7.680527685182547
AGENZIE VIAGGIO;TOURING CLUB ITALIANO;VIA S. FRANCESCO D'ASSISI 3;No;42;01;1;1;10122;;POINT (7.680630169713752 45.07211299666412);45.07211299666412;7.680630169713752
AGENZIE AFFARI;;VIA S. FRANCESCO DA PAOLA 14/A;No;94;03;1;0;10123;;POINT (7.687968153507323 45.06711449950126);45.06711449950126;7.687968153507323
AGENZIE AFFARI;AUTOARIANNA;CORSO CARLO E NELLO ROSSELLI 75;No;1195;26;1;67;10129;;POINT (7.657593802942419 45.05258011376904);45.05258011376904;7.657593802942419
AGENZIE VIAGGIO;KHAN TRAVEL;VIA S. ANSELMO 8;No;327;09;8;726;10125;;POINT (7.681717926875906 45.06017106908924);45.06017106908924;7.681717926875906
AGENZIE VIAGGIO;;VIA S. SECONDO 11;No;379;10;1;41;10128;;POINT (7.675218287826686 45.0617890306269);45.061789030626905;7.675218287826686
AGENZIE AFFARI;LA PASSIONE PER IL VINTAGE;VIA S. SECONDO 13/B;No;379;10;1;0;10128;;POINT (7.675104032058254 45.06162994154118);45.06162994154118;7.675104032058254
AGENZIE AFFARI;;VIA S. SECONDO 14;No;378;10;1;41;10128;;POINT (7.675033899229017 45.06175290941156);45.06175290941156;7.6750338992290175
AGENZIE AFFARI;;VIA S. SECONDO 17/A;No;384;10;1;0;10128;;POINT (7.67458992114805 45.06090961983671);45.060909619836714;7.67458992114805
AGENZIE AFFARI;PASTORINO S.R.L.;CORSO SEBASTOPOLI 227;No;3830;59;2;151;10137;;POINT (7.637850942454432 45.04724457070683);45.04724457070683;7.637850942454432
AGENZIE VIAGGIO;LET'S VISIT NETWORK;VIA SALUZZO 3;No;319;09;8;724;10125;;POINT (7.680396086666412 45.06143829082319);45.06143829082319;7.680396086666412
AGENZIE AFFARI;;VIA S. OTTAVIO 45/A;No;432;11;7;0;10124;;POINT (7.696504711026792 45.07053013812532);45.07053013812532;7.696504711026792
AGENZIE AFFARI;;VIA S. PAOLO 9/E;No;3292;33;3;0;10138;;POINT (7.653783453276865 45.06460296649746);45.06460296649746;7.653783453276865
AGENZIE VIAGGIO;;VIA S. PAOLO 65/A;No;1507;33;3;0;10141;;POINT (7.649200579323549 45.06211871572262);45.06211871572262;7.649200579323549
AGENZIE AFFARI;;VIA S. PIO V 4/A;No;326;09;8;0;10125;;POINT (7.680600349649698 45.06107942412886);45.061079424128856;7.680600349649698
AGENZIE AFFARI;;PIAZZA SABOTINO 8/I;No;1471;33;3;0;10139;;POINT (7.648976994272629 45.06528552604851);45.065285526048505;7.648976994272629
AGENZIE AFFARI;;VIA SAPRI 54 int. 56;No;3647;89;2;875;10127;;POINT (7.65221047429914 45.01138037370466);45.01138037370466;7.65221047429914
AGENZIE AFFARI;SAMARCANDA E DINTORNI;VIA S. PIO V 18/A;No;328;09;8;0;10125;;POINT (7.683005154475103 45.06021316561657);45.06021316561657;7.683005154475103
AGENZIE VIAGGIO;;VIA S. QUINTINO 1 bis/C;No;146;04;1;0;10121;;POINT (7.677732387831287 45.06435886084602);45.06435886084602;7.677732387831287
AGENZIE VIAGGIO;;VIA PAOLO SACCHI 62/D;No;407;10;1;0;10128;;POINT (7.671869834057897 45.05565178296808);45.05565178296808;7.671869834057897
AGENZIE VIAGGIO;DECATHLON;VIA AURELIO SAFFI 9 bis;No;1357;31;3;206;10138;;POINT (7.652096074333706 45.07489508358336);45.074895083583364;7.652096074333706
AGENZIE VIAGGIO;IKEBANA;VIA SAGRA DI S. MICHELE 36/A;No;2079;51;3;0;10141;;POINT (7.63080906772121 45.07149774208186);45.07149774208186;7.63080906772121
AGENZIE AFFARI;;VIA ANDREA SANSOVINO 205 int. 8;No;2432;66;5;529;10151;;POINT (7.648918801611132 45.10789937170875);45.10789937170875;7.648918801611132
AGENZIE VIAGGIO;CISALPINA VIAGGI;CORSO SIRACUSA 105;No;2328;59;2;147;10137;;POINT (7.634721088693768 45.04538941759657);45.045389417596574;7.634721088693768
TRATTENIMENTI;LE ROI;VIA STRADELLA 8;No;1722;39;6;572;10155;;POINT (7.679340561623291 45.09080433012085);45.09080433012085;7.679340561623291
TRATTENIMENTI;NOTORIUS;VIA STRADELLA 10/D;No;1722;39;6;0;10155;;POINT (7.679464269635575 45.0909345023171);45.0909345023171;7.679464269635575
TRATTENIMENTI;SABOR LATINO;VIA STRADELLA 10;No;1722;39;6;572;10155;;POINT (7.679513330096669 45.09101902789892);45.091019027898916;7.679513330096669
TRATTENIMENTI;RISTORANTE DELLE ALPI;VIA GIOVANNI SEGANTINI 15;No;1973;48;5;488;10151;;POINT (7.649603960251034 45.10097142385705);45.10097142385705;7.649603960251034
TRATTENIMENTI;OSCAR PUB;CORSO SPEZIA 53 bis/E;No;2242;57;8;0;10126;;POINT (7.674530503637703 45.03657915206712);45.03657915206712;7.674530503637703
AGENZIE AFFARI;;STRADA DI SETTIMO 73;No;2568;79;6;630;10156;;POINT (7.724457784793509 45.10086577031378);45.10086577031378;7.7244577847935085
AGENZIE AFFARI;;STRADA DI SETTIMO 78/A;No;3705;79;6;0;10156;;POINT (7.724808491074306 45.10101074344322);45.10101074344322;7.724808491074306
TRATTENIMENTI;KARIBA PUB;STRADA DI SETTIMO 138;No;3706;79;6;633;10156;;POINT (7.727048182708303 45.10519056055876);45.10519056055876;7.727048182708303
AGENZIE AFFARI;;STRADA DI SETTIMO 157;No;2561;79;6;625;10156;;POINT (7.727601603764719 45.10696824569052);45.10696824569052;7.727601603764719
AGENZIE AFFARI;;STRADA DI SETTIMO 236;No;2562;79;6;625;10156;;POINT (7.730820978991263 45.11297395409621);45.11297395409621;7.730820978991263
TRATTENIMENTI;JOY & JOY;CORSO GERMANO SOMMEILLER 22;No;407;10;1;46;10128;;POINT (7.670995781519675 45.05568043495046);45.05568043495046;7.670995781519675
TRATTENIMENTI;;CORSO SICILIA 6;No;2475;70;8;773;10133;;POINT (7.683668490791896 45.04341445354302);45.04341445354302;7.683668490791896
AGENZIE AFFARI;;LUNGO DORA SIENA 8/G;No;519;12;7;0;10153;;POINT (7.691898381671916 45.07497064648098);45.074970646480985;7.691898381671916
AGENZIE AFFARI;;CORSO TOSCANA 191/D;No;2422;65;5;0;10151;;POINT (7.639817477849629 45.10177436542487);45.101774365424866;7.639817477849629
AGENZIE VIAGGIO;PATAGONIA WORLD;CORSO ALESSANDRO TASSONI 24;No;692;16;4;338;10143;;POINT (7.656585487774774 45.07932962270968);45.07932962270968;7.656585487774774
TRATTENIMENTI;CHATHAM;VIA G. BATTISTA TIEPOLO 8/D;No;909;20;8;0;10126;;POINT (7.682280425460561 45.04538881156178);45.04538881156178;7.6822804254605614
AGENZIE AFFARI;CIMMOCOMUNICATION;VIA TRIPOLI 102;No;2144;53;2;98;10137;;POINT (7.644728437247128 45.04348922482458);45.043489224824576;7.644728437247128
AGENZIE VIAGGIO;IL MONDO IN VALIGIA;CORSO BERNARDINO TELESIO 18;No;2041;50;4;396;10146;;POINT (7.625474269061231 45.07634810659147);45.07634810659147;7.625474269061231
AGENZIE VIAGGIO;VIAGGIA CON STILE SAS & C.;CORSO SVIZZERA 30;No;1291;29;4;360;10143;;POINT (7.649967559868339 45.07865837922822);45.078658379228216;7.649967559868339
AGENZIE AFFARI;;CORSO SVIZZERA 153;No;1953;47;4;381;10149;;POINT (7.65870975819748 45.08902229524685);45.08902229524685;7.65870975819748
AGENZIE VIAGGIO;GRAYDEE;CORSO SVIZZERA 185;No;1951;47;4;381;10149;;POINT (7.660751651845953 45.09058751054345);45.09058751054345;7.660751651845953
AGENZIE AFFARI;;CORSO SVIZZERA 185;No;1951;47;4;381;10149;;POINT (7.660751651845953 45.09058751054345);45.09058751054345;7.660751651845953
AGENZIE VIAGGIO;TUTTI A BORDO;CORSO TRAPANI 54;No;1395;32;3;214;10139;;POINT (7.640042788912416 45.07155165821769);45.071551658217686;7.640042788912416
TRATTENIMENTI;;VIA TERNI 25/D;No;1961;48;5;0;10149;;POINT (7.661953110437698 45.10195551461675);45.101955514616755;7.661953110437698
AGENZIE AFFARI;;VIA TANARO 33;No;3037;77;6;620;10156;;POINT (7.709945611530109 45.12379040433834);45.123790404338344;7.7099456115301095
AGENZIE VIAGGIO;CERCAVACANZE;CORSO TRAPANI 225;No;1542;35;3;83;10141;;POINT (7.635382058773123 45.05856511584246);45.05856511584246;7.635382058773123
AGENZIE AFFARI;;CORSO UNIONE SOVIETICA 252;No;3444;55;2;119;10134;;POINT (7.647990710902219 45.03441260235792);45.034412602357925;7.647990710902219
TRATTENIMENTI;GARDEN;STRADA VAL SALICE 4/A;No;2605;85;8;0;10131;;POINT (7.706117293613101 45.05282018307009);45.05282018307009;7.706117293613101
TRATTENIMENTI;;STRADA VAL SALICE 5/A;No;2533;75;8;0;10131;;POINT (7.70662526300371 45.05282482708062);45.05282482708062;7.70662526300371
AGENZIE AFFARI;;CORSO UNIONE SOVIETICA 427;No;2778;90;2;896;10135;;POINT (7.635744169557996 45.0222827195574);45.0222827195574;7.635744169557996
AGENZIE VIAGGIO;LIMON TRAVELS & TOURS;CORSO VERCELLI 79;No;1728;39;6;574;10155;;POINT (7.689355792123912 45.09139965648308);45.091399656483084;7.689355792123912
AGENZIE AFFARI;;CORSO VERCELLI 79;No;1728;39;6;574;10155;;POINT (7.689355792123912 45.09139965648308);45.091399656483084;7.689355792123912
AGENZIE AFFARI;ALICE;CORSO VERCELLI 90/E;No;1655;38;6;0;10155;;POINT (7.690054618196809 45.09232398796316);45.092323987963155;7.690054618196809
AGENZIE AFFARI;GIUBILEO;CORSO UNIONE SOVIETICA 545/C;No;2784;90;2;0;10135;;POINT (7.628547228406686 45.0162297268535);45.0162297268535;7.628547228406686
AGENZIE VIAGGIO;UBIQ;VIA ABATE ANTONIO VASSALLI-EANDI 19;No;736;17;3;193;10138;;POINT (7.662641518836035 45.07515193849179);45.075151938491786;7.662641518836035
AGENZIE VIAGGIO;;VIA ABATE ANTONIO VASSALLI-EANDI 26;No;723;17;3;193;10138;;POINT (7.661750648077243 45.07522631195209);45.07522631195209;7.661750648077243
AGENZIE AFFARI;;VIA ABATE ANTONIO VASSALLI-EANDI 37;No;734;17;3;192;10138;;POINT (7.659648840939833 45.07503711259543);45.07503711259543;7.659648840939833
AGENZIE AFFARI;;VIA TUNISI 50;No;2194;56;8;801;10134;;POINT (7.65735992734063 45.03992747656767);45.03992747656767;7.65735992734063
AGENZIE VIAGGIO;TRAVELQUICK;VIA VINCENZO VELA 33;No;790;18;1;49;10128;;POINT (7.66462489828785 45.06601057891401);45.06601057891401;7.66462489828785
AGENZIE AFFARI;;CORSO FILIPPO TURATI 39/B;No;1230;28;1;0;10128;;POINT (7.667644378253022 45.05135051466484);45.05135051466484;7.667644378253022
AGENZIE AFFARI;;VIA VALPRATO 68;No;1709;39;6;572;10155;;POINT (7.682391218354646 45.09330757220361);45.093307572203614;7.682391218354646
AGENZIE VIAGGIO;E-WAY TRAVEL;VIA VALPRATO 68;No;1709;39;6;572;10155;;POINT (7.682391218354646 45.09330757220361);45.093307572203614;7.682391218354646
AGENZIE AFFARI;;CORSO VENEZIA 7/B;No;1812;42;5;0;10147;;POINT (7.679085303290829 45.09231579976498);45.09231579976498;7.679085303290829
AGENZIE AFFARI;STUDIO DE PATTA;VIA VEROLENGO 42 int. 2;No;1850;44;5;508;10149;;POINT (7.6684856103798 45.09551627151816);45.095516271518164;7.6684856103798005
TRATTENIMENTI;COCCOLE;PIAZZA PASQUALE VILLARI 16;No;1883;45;5;456;10149;;POINT (7.663530511881893 45.10037251731704);45.10037251731704;7.663530511881893
AGENZIE VIAGGIO;TERRE LONTANE;VIA VEROLENGO 70;No;1848;44;5;508;10149;;POINT (7.66521194391257 45.09540812594493);45.09540812594493;7.66521194391257
TRATTENIMENTI;BAR INCONTRI;VIA ONORATO VIGLIANI 35 int. 13;No;2734;61;8;856;10135;;POINT (7.640383942205591 45.02219896133332);45.02219896133332;7.640383942205591
AGENZIE VIAGGIO;TURNOVA;CORSO VINZAGLIO 29;No;307;08;1;39;10121;;POINT (7.667579937166508 45.06847053088771);45.06847053088771;7.667579937166508
TRATTENIMENTI;LAB;PIAZZA VITTORIO VENETO 13 scala B;No;225;06;1;27;10124;;POINT (7.695743998201433 45.06538639437528);45.06538639437528;7.695743998201433
AGENZIE VIAGGIO;VERTEX ENTREPRISE;PIAZZA VITTORIO VENETO 14;No;234;06;1;27;10123;;POINT (7.694685401225272 45.06458034893974);45.06458034893974;7.694685401225272
AGENZIE VIAGGIO;WIND ROSE TOUR;VIA ONORATO VIGLIANI 161;No;2978;61;2;904;10127;;POINT (7.652739647383083 45.017661871305);45.017661871305;7.652739647383083
AGENZIE VIAGGIO;RAJATABLA VIAGGI;VIA AMERIGO VESPUCCI 9;No;1218;27;1;71;10128;;POINT (7.667523164727724 45.05396850618393);45.05396850618393;7.667523164727724
AGENZIE AFFARI;REBAUDENGO & C;CORSO VERCELLI 243/A;No;3556;68;6;0;10155;;POINT (7.696252884266607 45.10580451704767);45.10580451704767;7.696252884266607
AGENZIE AFFARI;;VIA VILLA GIUSTI 7/G;No;2407;63;3;0;10142;;POINT (7.623182263027314 45.06307112095145);45.06307112095145;7.623182263027314
AGENZIE AFFARI;;VIA VILLA GLORI 6;No;2481;70;8;773;10133;;POINT (7.68075299222342 45.03725327371323);45.03725327371323;7.68075299222342
AGENZIE AFFARI;;VIA CANDIDO VIBERTI 1;No;2879;51;3;271;10141;;POINT (7.637032979051167 45.06907271542919);45.06907271542919;7.637032979051167
AGENZIE VIAGGIO;DOUKKAL TOUR DI SAADIA DOUKKAL;VIA VIBO' 31/A;No;1805;42;5;0;10147;;POINT (7.677470843197211 45.09469835102594);45.09469835102594;7.677470843197211
AGENZIE VIAGGIO;LA VITA VIAGGI;VIA VILLAR 54/B;No;1792;42;5;418;10147;;POINT (7.675315008553795 45.0964866846982);45.0964866846982;7.675315008553795
AGENZIE AFFARI;CARROZZERIA NUOVA LAJOLO;STRADA VILLAR DORA 237 int. 3;No;1980;48;5;494;10151;;POINT (7.644730857234322 45.09897421672827);45.09897421672827;7.644730857234322
AGENZIE AFFARI;LA ROSA DEI VENTI;CORSO VITTORIO EMANUELE II 39/A;No;320;09;8;0;10125;;POINT (7.6819795203659 45.06138763075135);45.06138763075135;7.6819795203659
AGENZIE AFFARI;;CORSO VITTORIO EMANUELE II 53;No;375;10;1;41;10125;;POINT (7.678802190198957 45.06246823352137);45.06246823352137;7.678802190198957
AGENZIE AFFARI;;CORSO VITTORIO EMANUELE II 53;No;375;10;1;41;10125;;POINT (7.678802190198957 45.06246823352137);45.06246823352137;7.678802190198957
AGENZIE VIAGGIO;AGENZIE 365;CORSO VITTORIO EMANUELE II 53;No;375;10;1;41;10125;;POINT (7.678802190198957 45.06246823352137);45.06246823352137;7.678802190198957
AGENZIE AFFARI;;CORSO VITTORIO EMANUELE II 86;No;315;08;1;39;10121;;POINT (7.670388346472148 45.0661100149222);45.066110014922195;7.670388346472148
AGENZIE AFFARI;;CORSO VITTORIO EMANUELE II 92;No;314;08;1;39;10121;;POINT (7.66875596369674 45.06668717923439);45.066687179234385;7.66875596369674
TRATTENIMENTI;RISTORANTE MILLEGUSTI;STRADA DI ALTESSANO 146/A;No;3827;66;5;0;10151;;POINT (7.645574474052743 45.11040234944419);45.110402349444186;7.645574474052743
AGENZIE AFFARI;;VIA VITTORIO ANDREIS 7/B;No;490;12;7;0;10152;;POINT (7.683589685155791 45.07946501866812);45.07946501866812;7.683589685155791
AGENZIE AFFARI;;VIA ZUMAGLIA 21;No;1347;30;4;379;10145;;POINT (7.643635641189183 45.07818438785177);45.07818438785177;7.643635641189183
AGENZIE AFFARI;SOLUZIONEAUTO S.R.L.;STRADA DELL' AEROPORTO 9;No;2436;66;5;530;10148;;POINT (7.663126299740082 45.11221088505901);45.112210885059014;7.663126299740082
AGENZIE AFFARI;PAX;CORSO GIOVANNI AGNELLI 104;No;2175;55;2;125;10137;;POINT (7.643940557516077 45.03657040252006);45.036570402520056;7.643940557516077
AGENZIE AFFARI;UNICREDIT BANCA SPA;CORSO GIOVANNI AGNELLI 118;No;2179;55;2;126;10137;;POINT (7.64318021201001 45.03550383926888);45.03550383926888;7.64318021201001
AGENZIE VIAGGIO;MENPHIS VIAGGI;CORSO GIOVANNI AGNELLI 115;No;2180;55;2;121;10134;;POINT (7.643746592280566 45.03518112537289);45.035181125372894;7.643746592280566
AGENZIE AFFARI;;VIA ANDORNO 34;No;978;22;7;672;10153;;POINT (7.710503566120019 45.07209321789981);45.07209321789981;7.710503566120019
AGENZIE VIAGGIO;SAVANA VIAGGI;VIA VENTI SETTEMBRE 51;No;63;01;1;4;10121;;POINT (7.681912030009781 45.06936940258635);45.069369402586354;7.681912030009781
AGENZIE VIAGGIO;BBC SERVICES SRL MISSIONARY & VOLUNTARY TRAVEL;VIA VENTI SETTEMBRE 58;No;90;03;1;9;10121;;POINT (7.682249035453188 45.069500585532);45.069500585532005;7.682249035453188
AGENZIE AFFARI;;VIA G. ANTONIO AMADEO 2;No;2476;70;8;773;10133;;POINT (7.68412468831343 45.04262724927592);45.042627249275924;7.68412468831343
AGENZIE AFFARI;;VIA ALDO BARBARO 21;No;1285;29;4;358;10143;;POINT (7.655036783586731 45.07910404337152);45.07910404337152;7.655036783586731
AGENZIE VIAGGIO;;VIA ARSENALE 38;No;145;04;1;14;10121;;POINT (7.676991389312295 45.06444786257512);45.06444786257512;7.676991389312295
AGENZIE AFFARI;UNICREDIT BANCA SPA;VIA ARSENALE 23;No;120;04;1;13;10121;;POINT (7.678921463079575 45.06683886493479);45.06683886493479;7.6789214630795755
AGENZIE VIAGGIO;QUICK VIAGGI S.R.L.;VIA ARSENALE 25;No;128;04;1;13;10121;;POINT (7.678832242892184 45.0666861095427);45.0666861095427;7.6788322428921845
AGENZIE VIAGGIO;WALLACE TURISMO & CO.;VIA ASSIETTA 6/E;No;373;10;1;0;10128;;POINT (7.675644777450591 45.06217321012478);45.06217321012478;7.675644777450591
AGENZIE VIAGGIO;WALLACE TURISMO & CO.;VIA ASSIETTA 6/E;No;373;10;1;0;10128;;POINT (7.675644777450591 45.06217321012478);45.06217321012478;7.675644777450591
AGENZIE AFFARI;;VIA GIUSEPPE BARBAROUX 12/L;No;43;01;1;0;10122;;POINT (7.681773063328353 45.07153238823223);45.07153238823223;7.681773063328353
AGENZIE AFFARI;;VIA GIUSEPPE BARBAROUX 13/A;No;51;01;1;0;10122;;POINT (7.681393662800796 45.07161516046113);45.07161516046113;7.681393662800796
AGENZIE AFFARI;;VIA BALTIMORA 4;No;2142;53;2;94;10137;;POINT (7.647901166560965 45.04279088721992);45.04279088721992;7.647901166560965
AGENZIE VIAGGIO;AGENZIA DI VIAGGIO SONG JIAWEN;VIA ARSENALE 40;No;145;04;1;14;10121;;POINT (7.676864385604532 45.06427272165371);45.06427272165371;7.6768643856045315
AGENZIE AFFARI;;VIA ASIAGO 26/B;No;3006;63;3;0;10142;;POINT (7.615441178755505 45.0701460527267);45.0701460527267;7.615441178755505
AGENZIE AFFARI;;VIA DELL' ARCIVESCOVADO 9;No;128;04;1;13;10121;;POINT (7.679105740701125 45.06663307712221);45.066633077122205;7.679105740701125
